source_sentence	target_sentence	annotation
The Government makes two errors in urging the adoption of a per se rule that a defendant with no viable defense cannot show prejudice from the denial of his right to trial.	The Government contends that Lee cannot show prejudice from accepting a plea where his only hope at trial was that something unexpected and unpredictable might occur that would lead to acquittal.	Shift-in-View
Unlike the Government, this Court cannot say that it would be irrational for someone in Lee's position to risk additional prison time in exchange for holding on to some chance of avoiding deportation.	The Government argues that Lee cannot "convince the court that a decision to reject the plea bargain would have been rational under the circumstances," Padilla v. Kentucky, 559 U. S. 356, 372, since deportation would almost certainly result from a trial.	Shift-in-View
His attorney assured him there was nothing to worry about--the Government would not deport him if he pleaded guilty.	Although he has lived in this country for most of his life, Lee is not a United States citizen, and he feared that a criminal conviction might affect his status as a lawful permanent resident.	Shift-in-View
The attorney told Lee that he would not be deported as a result of pleading guilty.	Lee informed his attorney of his noncitizen status and repeatedly asked him whether he would face deportation as a result of the criminal proceedings.	Shift-in-View
As we held in Hill v. Lockhart, when a defendant claims that his counsel's deficient performance deprived him of a trial by causing him to accept a plea, the defendant can show prejudice by demonstrating a "reasonable probability that, but for counsel's errors, he would not have pleaded guilty and would have insisted on going to trial."	We instead consider whether the defendant was prejudiced by the "denial of the entire judicial proceeding . . . to which he had a right."	Shift-in-View
He says he accordingly would have rejected any plea leading to deportation--even if it shaved off prison time--in favor of throwing a "Hail Mary" at trial.	Here Lee alleges that avoiding deportation was the determinative factor for him; deportation after some time in prison was not meaningfully different from deportation after somewhat less time.	Shift-in-View
When the judge inquired "[h]ow does it affect your decision," Lee responded "I don't understand," and turned to his attorney for advice.	Lee demonstrated as much at his plea colloquy: When the judge warned him that a conviction "could result in your being deported," and asked "[d]oes that at all affect your decision about whether you want to plead guilty or not," Lee answered "Yes, Your Honor."	Shift-in-View
We cannot agree that it would be irrational for a defendant in Lee's position to reject the plea offer in favor of trial.	The Government contends that Lee cannot make that showing because he was going to be deported either way; going to trial would only result in a longer sentence before that inevitable consequence.	Shift-in-View
As an initial matter, I remain of the view that the Sixth Amendment to the Constitution does not "requir[e] counsel to provide accurate advice concerning the potential removal consequences of a guilty plea."	Neither the Sixth Amendment nor this Court's precedents support that conclusion.	Shift-in-View
I would therefore affirm the Court of Appeals on the ground that the Sixth Amendment does not apply to the allegedly ineffective assistance in this case.	As an initial matter, I remain of the view that the Sixth Amendment to the Constitution does not "requir[e] counsel to provide accurate advice concerning the potential removal consequences of a guilty plea."	Shift-in-View
The Court and both of the parties agree that the prejudice inquiry in this context is governed by Strickland v. Washington, 466 U. S. 668 (1984).	Because the Court today announces a novel standard for prejudice at the plea stage, I further dissent on the separate ground that its standard does not follow from our precedents.	Shift-in-View
In sum, the proper inquiry requires a defendant to show both that he would have rejected his plea and gone to trial and that he would likely have obtained a more favorable result in the end.	Thus, a defendant cannot show prejudice where it is " 'inconceivable' " not only that he would have gone to trial, but also " 'that if he had done so he either would have been acquitted or, if convicted, would nevertheless have been given a shorter sentence than he actually received.' "	Shift-in-View
It focused as well on the weight of the evidence against the defendant and the fact that he likely would not have obtained a more favorable result at trial, regardless of whether he succeeded at the suppression hearing.	In analyzing the prejudice issue, the Court did not focus solely on whether the suppression hearing would have turned out differently, or whether the defendant would have chosen to go to trial.	Shift-in-View
It instead has made clear that the prejudice inquiry is the same as in Strickland, which requires a defendant to establish that he would have been better off in the end had his counsel not erred.	In those circumstances, the Court has not held that the prejudice inquiry focuses on whether that stage of the proceeding would have ended differently.	Shift-in-View
Guilty pleas "rarely" give rise to the "concern that unfair procedures may have resulted in the conviction of an innocent defendant."	In any event, the Court in Hill recognized that guilty pleas are themselves generally reliable.	Shift-in-View
The Court has warned that "the prospect of collateral challenges" threatens to undermine these important values.	This Court has shown special solicitude for the plea process, which brings "stability" and "certainty" to "the criminal justice system."	Shift-in-View
