source_sentence	target_sentence	annotation
Lee has demonstrated that he was prejudiced by his counsel's erroneous advice.	Applying the two-part test for ineffective assistance claims from Strickland v. Washington, 466 U. S. 668, the Sixth Circuit concluded that, while the Government conceded that Lee's counsel had performed deficiently, Lee could not show that he was prejudiced by his attorney's erroneous advice.	Shift-in-View
The Government contends that Lee cannot show prejudice from accepting a plea where his only hope at trial was that something unexpected and unpredictable might occur that would lead to acquittal.	Lee contends that he can make this showing because he never would have accepted a guilty plea had he known the result would be deportation.	Shift-in-View
We instead consider whether the defendant was prejudiced by the "denial of the entire judicial proceeding . . . to which he had a right."	That is because, while we ordinarily "apply a strong presumption of reliability to judicial proceedings," "we cannot accord" any such presumption "to judicial proceedings that never took place."	Shift-in-View
Here Lee knew, correctly, that his prospects of acquittal at trial were grim, and his attorney's error had nothing to do with that.	That is true when the defendant's decision about going to trial turns on his prospects of success and those are affected by the attorney's error--for instance, where a defendant alleges that his lawyer should have but did not seek to suppress an improperly obtained confession.	Shift-in-View
Lee insists he would have gambled on trial, risking more jail time for whatever small chance there might be of an acquittal that would let him remain in the United States.2 The Government responds that, since Lee had no viable defense at trial, he would almost certainly have lost and found himself still subject to deportation, with a lengthier prison sentence to boot.	Lee, on the other hand, argues he can establish prejudice under Hill because he never would have accepted a guilty plea had he known that he would be deported as a result.	Shift-in-View
In reaching this conclusion, the Court relies almost exclusively on the single line from Hill that "the defendant must show that there is a reasonable probability that, but for counsel's errors, he would not have pleaded guilty and would have insisted on going to trial."	The majority misapplies this Court's precedents when it concludes that a defendant may establish prejudice by showing only that "he would not have pleaded guilty and would have insisted on going to trial," without showing that "the result of that trial would have been different than the result of the plea bargain."	Shift-in-View
The Court did not, however, further hold that a defendant can establish prejudice by making that showing alone.	In Hill, the Court concluded that the defendant had not made that showing, so it rejected his claim.	Shift-in-View
But that caveat says nothing about the application of the presumption of reliability when a defendant can make that threshold showing.	I agree that such an inquiry is not always necessary--it is not necessary where, as in Hill, the defendant cannot show at the threshold that he would have rejected his plea and chosen to go to trial.	Shift-in-View
But Tharpe never raised this argument in state court, so the state court did not err in failing to accept it.	In his reply brief in support of certiorari in this Court, Tharpe argues that he did not have to raise his claim of juror bias on direct appeal.	Shift-in-View
When he nonetheless challenged the restitution amount before the Eleventh Circuit, the Government argued that he had forfeited his right to do so by failing to file a second notice of appeal.	Petitioner did not file a second notice of appeal from the amended judgment.	Shift-in-View
Rather, he argued on appeal that the amount imposed is unlawful.	Even if the District Court's acknowledgment in the initial judgment that restitution was mandatory could qualify as a "sentence" that the District Court "announced" under Rule 4(b)(2), petitioner has never disputed that restitution is mandatory for his offense.	Shift-in-View
Even if describing restitution as mandatory could qualify as a "sentence" that the District Court "announced" under Rule 4(b)(2), petitioner has never disputed that restitution is mandatory for his offense.	The court did not announce the restitution amount (or even hold a hearing on the issue) until months later.	Shift-in-View
