(UNITED STATES, v. BECKLES is, 2017)
(November 28 2016, Decided at_time, March 6 2017)
(Petitioner Beckles, was, convicted)
(Petitioner Beckles, was, convicted of possession of firearm by convicted felon)
(Petitioner Beckles, was, convicted of possession by convicted felon)
(Petitioner Beckles, was, convicted of possession of firearm by felon)
(Petitioner Beckles, was convicted by, 18 U. S. C. § 922)
(Petitioner Beckles, was convicted of, possession of firearm)
(Petitioner Beckles, was convicted of, possession)
(Petitioner Beckles, was convicted by, convicted felon)
(Petitioner Beckles, was convicted by, felon)
(Petitioner Beckles, was, convicted of possession by felon)
(he, was, eligible)
(he, was eligible as, career offender under United States)
(he, was, eligible for sentencing enhancement as career offender under United States under § 4B1 .2)
(he, was, eligible for sentencing enhancement as career offender under United States)
(he, was, eligible for sentencing enhancement under § 4B1 .2)
(he, was eligible as, career offender)
(he, was, eligible as career offender under United States under § 4B1 .2)
(he, was, eligible as career offender under § 4B1 .2)
(his offense, qualified as, crime)
(he, was eligible under, § 4B1 .2)
(his offense, qualified as, crime of violence)
(he, was, eligible for sentencing enhancement as career offender under § 4B1 .2)
(he, was eligible for, sentencing enhancement)
(he, was, eligible for sentencing enhancement as career offender)
(District Court, sentenced, petitioner)
(District Court, sentenced petitioner as, career offender)
(Petitioner, vacate, his sentence)
(Petitioner, filed, postconviction motion)
(District Court, denied, motion)
(Petitioner, next filed petition for, writ)
(Petitioner, filed, petition)
(Petitioner, filed petition for, writ of certiorari)
(Petitioner, next filed petition from, Court)
(Petitioner, filed petition for, writ)
(Petitioner, next filed petition for, writ of certiorari)
(Petitioner, filed petition from, Court)
(Petitioner, next filed, petition)
(Court, held, that)
(his petition, was, pending)
(worded residual clause, is in, Armed Career Criminal Act of 1984)
(1984, of Act is, ACCA)
(Armed Career Criminal Act, in clause is, § 924)
(Court, remanded, petitioner 's case)
(Court, vacated in, light of Johnson)
(Court, vacated in, light)
(petitioner, has, case)
(Eleventh Circuit, distinguishing, ACCA 's unconstitutionally vague clause from residual clause in Guidelines)
(Eleventh Circuit, affirmed again On, remand)
(Eleventh Circuit, distinguishing, ACCA 's residual clause from clause in Guidelines)
(Eleventh Circuit, distinguishing, ACCA 's residual clause from residual clause in Sentencing Guidelines)
(Eleventh Circuit, distinguishing, ACCA 's vague clause from clause)
(Eleventh Circuit, distinguishing, ACCA 's residual clause)
(Eleventh Circuit, distinguishing, ACCA 's vague residual clause from clause)
(Eleventh Circuit, distinguishing, ACCA 's vague clause from residual clause in Sentencing Guidelines)
(Eleventh Circuit, distinguishing, ACCA 's unconstitutionally vague residual clause from residual clause in Guidelines)
(Eleventh Circuit, distinguishing, ACCA 's vague residual clause from residual clause in Guidelines)
(Eleventh Circuit, distinguishing, ACCA 's vague residual clause from clause in Sentencing Guidelines)
(Eleventh Circuit, distinguishing, ACCA 's vague residual clause from residual clause in Sentencing Guidelines)
(Eleventh Circuit, distinguishing, ACCA 's clause from clause in Guidelines)
(Eleventh Circuit, distinguishing, ACCA 's vague clause from clause in Sentencing Guidelines)
(Eleventh Circuit, distinguishing, ACCA 's unconstitutionally vague clause from clause in Sentencing Guidelines)
(Eleventh Circuit, distinguishing, ACCA 's vague clause from residual clause)
(Eleventh Circuit, distinguishing, ACCA 's residual clause from clause in Sentencing Guidelines)
(Eleventh Circuit, distinguishing, ACCA 's vague residual clause from clause in Guidelines)
(Eleventh Circuit, distinguishing, ACCA 's residual clause from residual clause in Guidelines)
(Eleventh Circuit, distinguishing, ACCA 's unconstitutionally vague residual clause from residual clause in Sentencing Guidelines)
(residual clause, is in, Sentencing Guidelines)
(Eleventh Circuit, distinguishing, ACCA 's unconstitutionally vague residual clause from clause in Sentencing Guidelines)
(Eleventh Circuit, distinguishing, ACCA 's clause from residual clause in Guidelines)
(Eleventh Circuit, distinguishing, ACCA 's vague clause from residual clause in Guidelines)
(Eleventh Circuit, distinguishing, ACCA 's unconstitutionally vague clause from residual clause in Sentencing Guidelines)
(Eleventh Circuit, distinguishing, ACCA 's unconstitutionally vague clause from clause)
(Eleventh Circuit, distinguishing, ACCA 's unconstitutionally vague clause)
(Eleventh Circuit, distinguishing, ACCA 's vague clause from clause in Guidelines)
