(UNITED STATES, v. HONEYCUTT is, 2017)
(March 29 2017, Decided at_time, June 5 2017)
(Terry Honeycutt, managed, sales)
(Terry Honeycutt, managed, sales for Tennessee hardware store owned by his brother)
(Terry Honeycutt, managed, sales for Tennessee hardware store)
(Terry Honeycutt, managed, sales for Tennessee hardware store owned)
(his, brother, Tony Honeycutt)
(Terry Honeycutt, managed, inventory)
(1984, of Act is, proceeds)
(they, were indicted for, drug crimes)
(they, were indicted for, federal drug crimes)
(they, were, indicted)
(Government, sought, judgments against brother)
(Tony, pleaded, guilty)
(Terry, went to, trial)
(Terry, was, convicted)
(69,751.98, of judgment is, outstanding conspiracy profits)
(District Court, hold, him)
(Government, sought, conspiracy profits)
(Government, sought, judgment)
(Government, sought, outstanding conspiracy profits)
(controlling interest, is in, store)
(District Court, hold jointly, him)
(Government, asked, District Court)
(he, was, salaried)
(reasoning, enter, forfeiture judgment)
(reasoning, enter, forfeiture judgment against Terry)
(District Court, declined, reasoning)
(brothers, were and liable for, conspiracy proceeds)
(brothers, were jointly and severally liable for, conspiracy proceeds)
(brothers, were jointly and liable for, conspiracy proceeds)
(brothers, were, as co-conspirators and severally liable for conspiracy proceeds)
(brothers, were liable for, conspiracy proceeds)
(brothers, were, as co-conspirators and liable for conspiracy proceeds)
(Sixth Circuit, reversed, holding)
(brothers, were, as co-conspirators liable for conspiracy proceeds)
(brothers, were, as co-conspirators jointly and severally liable for conspiracy proceeds)
(brothers, were, as co-conspirators jointly and liable for conspiracy proceeds)
(brothers, were and severally liable for, conspiracy proceeds)
(defendant, acquired as, result)
(defendant, actually acquired as, result)
(forfeiture pursuant, is, limited)
(forfeiture, is, limited)
(brother, in, store)
(ownership interest, is in, his brother 's store)
(§ 853, crime, itself)
(It, defines, forfeitable property)
(It, also defines property in, solely terms of personal possession)
(It, also defines, forfeitable property)
(It, defines property in, terms of personal possession)
(It, also defines property in, terms of personal possession)
(It, also defines, property)
(It, also defines property in, terms)
(It, defines property in, solely terms)
(It, also defines property in, solely terms of possession)
(It, also defines property in, solely terms)
(It, defines property in, solely terms of personal possession)
(It, defines property in, solely terms of possession)
(It, also defines property in, terms of possession)
(It, defines, property)
(It, defines property in, terms of possession)
(It, defines property in, terms)
(Section 853, forfeiture to, property)
(Section 853, provision at, issue)
(usage, supports, conclusion)
(common usage, supports, conclusion)
(defendant, obtains, property)
(accord, is with, reading)
(liability, is contrary to, also provisions of § 853)
(Joint, is contrary to, other provisions of § 853)
(several liability, is contrary to, several provisions)
(Joint, is contrary to, other provisions)
(several liability, is contrary to, also several provisions)
(several liability, is contrary to, other provisions of § 853)
(liability, is contrary to, several other provisions)
(liability, is contrary to, also several other provisions of § 853)
(several liability, is contrary to, provisions of § 853)
(Joint, is contrary to, also several other provisions of § 853)
(Joint, is contrary to, provisions)
(liability, is contrary to, also provisions)
(Joint, is contrary to, also several other provisions)
(several liability, is contrary to, also several provisions of § 853)
(several liability, is contrary to, several other provisions)
(several liability, is contrary to, also other provisions of § 853)
(several liability, is contrary to, provisions)
(several liability, is contrary to, other provisions)
(liability, is contrary to, also several other provisions)
(Joint, is contrary to, several other provisions)
(Joint, is contrary to, also other provisions)
(several liability, is contrary to, also several other provisions of § 853)
(liability, is contrary to, provisions of § 853)
(liability, is contrary to, several provisions of § 853)
(Joint, is contrary to, also several provisions of § 853)
(Joint, is contrary to, several provisions of § 853)
(liability, is contrary to, also several provisions)
(liability, is contrary to, several other provisions of § 853)
(liability, is contrary to, provisions)
(several liability, is contrary to, also provisions)
(liability, is contrary to, also other provisions)
(liability, is contrary to, other provisions)
(liability, is contrary to, other provisions of § 853)
(liability, is contrary to, also other provisions of § 853)
(Joint, is contrary to, also other provisions of § 853)
(Joint, is contrary to, also several provisions)
(several liability, is contrary to, also several other provisions)
(Joint, is contrary to, also provisions)
(Joint, is contrary to, also provisions of § 853)
(liability, is contrary to, several provisions)
(several liability, is contrary to, also other provisions)
(Joint, is contrary to, several other provisions of § 853)
(Joint, is contrary to, several provisions)
(Joint, is contrary to, provisions of § 853)
(several liability, is contrary to, also provisions of § 853)
(liability, is contrary to, also several provisions of § 853)
(several liability, is contrary to, several provisions of § 853)
(several liability, is contrary to, several other provisions of § 853)
(asset, preserve, availability of property)
(pretrial asset, preserve, availability of property forfeitable)
(pretrial asset, preserve, availability of property)
(asset, preserve, availability of property forfeitable)
(asset, preserve, availability of property forfeitable under subsection)
(asset, preserve, availability)
(pretrial asset, preserve, availability)
(pretrial asset, preserve, availability of property forfeitable under subsection)
(defendant, acquired property during, period of violation)
(property, is subject, only Government proves)
(property, is subject to, forfeiture)
(defendant, acquired, property)
(property, is subject, Government proves)
(defendant, acquired property during, period)
(property, is, subject)
(statute, has, application to tainted property acquired by defendant)
(provisions, reinforce, statute 's application to property)
(provisions, reinforce, statute 's application to property acquired by defendant)
(provisions, reinforce, statute 's application to property acquired)
(provisions, reinforce, statute 's application to tainted property acquired)
(provisions, reinforce, statute 's application)
(provisions, reinforce, statute 's application to tainted property acquired by defendant)
(provisions, reinforce, statute 's application to tainted property)
(liability, would also render, § 853)
(Joint, would render, futile § 853)
(liability, would render, § 853)
(several liability, would render, p)
(Joint, would render, p)
