(VERNON MADISON, v. CORRECTIONS is, 2017)
(Vernon Madison, ago crept up behind, police officer Julius Schulte)
(Vernon Madison, shot, him)
(Vernon Madison, shot twice, him)
(Vernon Madison, crept up behind, police officer Julius Schulte)
(Alabama jury, found, Madison guilty of capital murder)
(Madison, guilty of, capital murder)
(Alabama jury, found, Madison guilty)
(trial court, sentenced, him)
(he, petitioned trial court for, suspension of his death sentence)
(Madison, has, execution)
(he, petitioned trial court for, suspension)
(he, petitioned trial court In, 2016)
(he, petitioned trial court, Madison 's execution neared)
(he, petitioned, trial court)
(he, become due to, recent strokes)
(he, become due to, strokes)
(he, become due to, several recent strokes)
(he, become, incompetent)
(he, become due to, several strokes)
(court, 's psychologist is, Dr. Karl Kirkland)
(court, has, appointed psychologist)
(Alabama, seeking, retribution for his criminal act)
(Alabama, seeking, retribution against him for his act)
(Alabama, seeking, retribution for his act)
(Alabama, retribution for, his criminal act)
(Alabama, retribution against, him)
(Alabama, seeking, retribution against him)
(Alabama, retribution for, his act)
(Dr. Kirkland, Asked at, hearing)
(Alabama, seeking, retribution against him for his criminal act)
(Alabama, seeking, retribution)
(Madison, by, counsel)
(Madison, has, strokes)
(Madison, understand, nature of proceeding)
(he, understands, sentence)
(sentence, meaning of, death sentence)
(Madison, understand, nature of pending proceeding)
(Madison, is, able)
(he, meaning of, death sentence)
(Madison, understand, nature)
(he, specifically meaning of, death sentence)
(he, is in, prison)
(he, was, tried)
(sentence, specifically meaning of, death sentence)
(he, knows because of, murder)
(Dr. Goff, In, opinion)
(he, sequence of, events)
(he, sequence of, events from offense to his arrest to trial)
(Madison does understan, is In, Dr. Goff 's opinion)
(he, sequence of, events from offense)
(he, sequence of, events from offense to his arrest)
(Dr. Goff 's opinion, In understan is, d)
(Madison, has, petition)
(trial court, denied, Madison 's petition)
(Court, under, decisions in Ford)
(Court 's decisions, is in, Ford)
(Madison, make, showing)
(he, going, executed)
(he, is, when executed)
(State, seeking, retribution)
(he, is, executed)
(he, be, executed)
(Madison, filed, petition)
(Madison, filed petition for, writ of habeas corpus in Federal District Court)
(Madison, filed petition for, writ of habeas corpus)
(Madison, filed petition for, writ in Federal District Court)
(writ, is in, Federal District Court)
(Madison, filed petition for, writ)
(state trial court 's adjudication, involved, unreasonable application)
(Madison, was based on, unreasonable determination of facts in light)
(Madison, was based on, unreasonable determination in light of evidence presented in state court)
(Madison, is entitled, only contrary)
(state trial court 's adjudication, involved application, determined by Court else)
(state trial court 's adjudication, involved, application of Federal law)
(state trial court 's adjudication, involved application, determined by Court)
(Madison, was based on, unreasonable determination)
(Madison, was based on, determination in light)
(Madison, was based on, determination of facts in light of evidence presented in state court)
(Madison, was based on, unreasonable determination of facts)
(Madison, was based on, determination of facts in light of evidence presented)
(Madison, was based on, unreasonable determination of facts in light of evidence presented in state court)
(Madison, was based on, determination)
(Madison, was based on, determination of facts in light)
(state trial court 's adjudication, involved, unreasonable application of clearly established Federal law)
(state trial court, has, adjudication of incompetence claim)
(state trial court 's adjudication, involved, application of clearly established Federal law)
(state trial court 's adjudication, involved, unreasonable application of established Federal law)
(Madison, was based on, determination of facts in light of evidence)
(unreasonable determination, is in, light of evidence presented)
(Madison, is entitled As, state prisoner)
(Madison, is entitled, contrary)
(Madison, was based on, unreasonable determination in light of evidence)
(Madison, was based on, unreasonable determination of facts in light of evidence presented)
(Madison, is, entitled)
(Madison, was based on, determination of facts)
(state trial court 's adjudication, involved, unreasonable application of Federal law)
(state trial court 's adjudication, was, only contrary)
(Madison, was based on, unreasonable determination in light of evidence presented)
(state trial court 's adjudication, was, contrary)
(Madison, was based on, determination in light of evidence presented)
(Madison, was based on, determination in light of evidence)
(Madison, was based on, unreasonable determination in light)
(Madison, was based on, unreasonable determination of facts in light of evidence)
(Madison, was based on, determination in light of evidence presented in state court)
(state trial court 's adjudication, involved, application)
(state trial court 's adjudication, involved application, determined)
(state trial court 's adjudication, involved, application of established Federal law)
(Madison, was, based)
(state court, has, decision)
(state court 's decision, so lacking in, justification)
(habeas petitioner, meets, standard)
(error, was beyond, possibility for fairminded disagreement)
(state court 's decision, lacking in, justification)
(District Court, concluding, that state court)
(Madison, has, petition)
(District Court, denied, Madison 's petition)
(Eleventh Circuit, granted, certificate)
(Eleventh Circuit, granted, certificate of appealability)
(Eleventh Circuit, reversed over, Judge Jordan 's dissent)
(Judge Jordan, over, dissent)
(Eleventh Circuit, reversed on, appeal)
(majority, In, view)
(Madison, is, competent)
(Eleventh Circuit, held On, basis)
(Madison, be, executed)
(trial court, has, conclusion)
(he, being executed as, punishment)
(Court, addressed question In, Panetti)
(Eighth Amendment, forbids, execution)
(he, being, executed)
(he, being executed as, punishment for crime)
(Court, addressed, question)
(prisoner, is, incompetent)
(prisoner, be, executed)
(prisoner, be executed because of, failure remember)
(state court, has, decision)
(state court 's decision, founded on, unreasonable assessment)
(state court 's decision, founded on, assessment)
(state court 's decision, founded on, assessment evidence)
(state court 's decision, founded before, it)
(state court 's decision, founded on, unreasonable assessment evidence)
(he, was tried for, murder)
(he, was, tried)
(court, has, finding)
(Testimony, supported, court 's finding)
(Alabama, will put, him)
(state court 's determinations, give rise to, error)
(state court, has, determinations of law)
(103, at Richter is, supra)
(Madison 's claim, must fail Under, standard)
(Madison 's claim, must fail Under, deferential standard)
(Madison, has, claim to federal habeas relief)
(respondent, has, motion)
(petition, are, granted)
(judgment, is, reversed)
(It, is, ordered)
(It, is, so ordered)
(DUNN, DEPARTMENT OF, CORRECTIONS)
(Justice Sotomayor, join, concurring)
(Justice Breyer, join, concurring)
(disability, leaves, him)
(issue, is, substantial)
(State, administer, death penalty)
(issue, would warrant, full airing)
(issue, would warrant, airing)
(restraints, imposed by, Antiterrorism)
(restraints, imposed by, Antiterrorism 1996)
(I, join, Court per curiam disposition)
(I, join, Court per curiam disposition of case)
(I, join, Court)
(I, join Court With, understanding)
(JEFFERSON DUNN, DEPARTMENT OF, CORRECTIONS MADISON)
(I, join, Court per curiam disposition of case for reason)
(I, join, Court for reason set forth in Justice Ginsburg 's concurrence)
(I, join, Court for reason set in Justice Ginsburg 's concurrence)
(I, join, Court per curiam disposition for reason set in Justice Ginsburg 's concurrence)
(I, join, Court for reason set)
(I, join, Court per curiam disposition of case for reason set in Justice Ginsburg 's concurrence)
(I, join, Court per curiam disposition)
(I, join, Court per curiam disposition of case)
(Justice Ginsburg, in, concurrence)
(I, join, Court per curiam disposition for reason set forth in Justice Ginsburg 's concurrence)
(I, join, Court for reason)
(I, join, Court per curiam disposition of case for reason set forth)
(I, join, Court per curiam disposition for reason)
(I, join, Court for reason set forth)
(I, join, Court per curiam disposition for reason set forth)
(I, join, Court)
(I, join, Court per curiam disposition for reason set)
(I, join, Court per curiam disposition of case for reason set)
(I, join, Court per curiam disposition of case for reason set forth in Justice Ginsburg 's concurrence)
(I, underline, fact)
(basic problems, is with, administration of death penalty itself)
(problem, concerns, unconscionably long periods)
(problem, concerns, periods)
(problem, concerns, periods of time)
(problem, concerns, unconscionably long periods of time)
(problem, concerns, unconscionably periods of time)
(problem, concerns, long periods)
(problem, concerns, unconscionably periods)
(prisoners, awaiting, execution)
(problem, concerns, long periods of time)
(Court, once said, I have previously noted)
(Court, once said, I have noted)
(delays, is in, execution)
(Court, said, I have previously noted)
(Court, said, I have noted)
(delay, was delay of, four weeks)
(delay, is in, Medley)
(delay, was, delay)
(Medley description, apply with, even greater force in case)
(greater force, is in, case of delays)
(Medley description, apply with, even greater force in case of delays)
(Medley description, apply with, force)
(Medley description, apply with, force in case)
(Medley description, apply with, greater force in case of delays)
(Medley description, apply with, greater force in case)
(Medley description, apply with, even greater force)
(Medley description, apply with, greater force)
(Medley description, apply with, force in case of delays)
(respondent, was, convicted)
(He, was, sentenced)
(He, transferred in, September 1985)
(He, transferred to, Alabama 's William C. Holman Correctional Facility)
(He, was sentenced to, death)
(Alabama, to, William C. Holman Correctional Facility)
(Mr. Madison, is, now old)
(Mr. Madison, is old, 67 years)
(Mr. Madison, is now old, 67 years)
(Mr. Madison, is, old)
(He, has lived, nearly half of his life)
(He, has lived on, death row)
(He, has lived, nearly half)
(He, has lived half on, death row)
(He, has lived, half of his life)
(He, has lived, half)
(He, is, blind)
(He, is, legally blind)
(His speech, is, slurred)
(He, is, incontinent)
(His disability, leaves, him)
(Mr. Madison, Moreover is one among, number)
(Mr. Madison, Moreover is one among, growing number)
(imprisonment, average period of was, In 1987 just seven years)
(period, was over, In 1987 just seven years)
(average period, was over, seven years)
(period, was over, seven years)
(average period, was over, just seven years)
(seven years, is In, 1987)
(imprisonment, period of was, just seven years)
(period, was over, In 1987 seven years)
(imprisonment, period of was, In 1987 just seven years)
(period, was over, just seven years)
(imprisonment, period of was, In 1987 seven years)
(average period, was over, In 1987 seven years)
(imprisonment, average period of was, seven years)
(imprisonment, period of was, seven years)
(imprisonment, average period of was, just seven years)
(imprisonment, average period of was, In 1987 seven years)
(average period, was over, In 1987 just seven years)
(Statistical Tables 14, rev. at_time, Dec. 19 2014)
(delay, was, later about 11 years)
(delay, was, later in 1997 about 11 years)
(average delay, was, in 1997 about 11 years)
(delay, was, about 11 years)
(average delay, was, later in 1997 about 11 years)
(average delay, was, later about 11 years)
(11 years, is in, 1997)
(average delay, was, decade later about 11 years)
(average delay, was, about 11 years)
(delay, was, decade later in 1997 about 11 years)
(average delay, was, decade later in 1997 about 11 years)
(delay, was, decade later about 11 years)
(delay, was, in 1997 about 11 years)
(average delay, rose In, 2007)
(delay, rose In, 2007)
(death row, is In, 2017)
(Death Penalty Information Center, online at, https://deathpenaltyinfo.org/ execution-list-2017)
(Alabama, has executed, three individuals)
(cruelty, periods between, death sentence)
(lengthy periods, can deepen, cruelty)
(periods, undermining, its penological rationale)
(cruelty, lengthy periods of, imprisonment)
(cruelty, periods of, imprisonment)
(lengthy periods, undermining, its rationale)
(lengthy periods, can deepen, cruelty of death penalty)
(we, may well have, consider)
(periods, undermining, its rationale)
(lengthy periods, undermining, its penological rationale)
(periods, can deepen, cruelty of death penalty)
(we, may have, consider)
(cruelty, lengthy periods between, death sentence)
(periods, can deepen, cruelty)
(inevitability, is in, light of constitutional requirements needed)
(___, at Glossip is, supra)
(___, at Glossip is, supra)
(JEFFERSON DUNN, DEPARTMENT OF, CORRECTIONS MADISON)
(Vernon Madison, ago crept up behind, police officer Julius Schulte)
(Vernon Madison, shot, him)
(Vernon Madison, shot twice, him)
(Vernon Madison, crept up behind, police officer Julius Schulte)
(Alabama jury, found, Madison guilty of capital murder)
(Madison, guilty of, capital murder)
(Alabama jury, found, Madison guilty)
(trial court, sentenced, him)
(he, petitioned trial court for, suspension of his death sentence)
(Madison, has, execution)
(he, petitioned trial court for, suspension)
(he, petitioned trial court In, 2016)
(he, petitioned trial court, Madison 's execution neared)
(he, petitioned, trial court)
(he, become due to, recent strokes)
(he, become due to, strokes)
(he, become due to, several recent strokes)
(he, become, incompetent)
(he, become due to, several strokes)
(court, 's psychologist is, Dr. Karl Kirkland)
(court, has, appointed psychologist)
(Alabama, seeking, retribution for his criminal act)
(Alabama, seeking, retribution against him for his act)
(Alabama, seeking, retribution for his act)
(Alabama, retribution for, his criminal act)
(Alabama, retribution against, him)
(Alabama, seeking, retribution against him)
(Alabama, retribution for, his act)
(Dr. Kirkland, Asked at, hearing)
(Alabama, seeking, retribution against him for his criminal act)
(Alabama, seeking, retribution)
(Madison, by, counsel)
(Madison, has, strokes)
(Madison, understand, nature of proceeding)
(he, understands, sentence)
(sentence, meaning of, death sentence)
(Madison, understand, nature of pending proceeding)
(Madison, is, able)
(he, meaning of, death sentence)
(Madison, understand, nature)
(he, specifically meaning of, death sentence)
(he, is in, prison)
(he, was, tried)
(sentence, specifically meaning of, death sentence)
(he, knows because of, murder)
(Dr. Goff, In, opinion)
(he, sequence of, events)
(he, sequence of, events from offense to his arrest to trial)
(Madison does understan, is In, Dr. Goff 's opinion)
(he, sequence of, events from offense)
(he, sequence of, events from offense to his arrest)
(Dr. Goff 's opinion, In understan is, d)
(Madison, has, petition)
(trial court, denied, Madison 's petition)
(Court, under, decisions in Ford)
(Court 's decisions, is in, Ford)
(Madison, make, showing)
(he, going, executed)
(he, is, when executed)
(State, seeking, retribution)
(he, is, executed)
(he, be, executed)
(Madison, filed, petition)
(Madison, filed petition for, writ of habeas corpus in Federal District Court)
(Madison, filed petition for, writ of habeas corpus)
(Madison, filed petition for, writ in Federal District Court)
(writ, is in, Federal District Court)
(Madison, filed petition for, writ)
(state trial court 's adjudication, involved, unreasonable application)
(Madison, was based on, unreasonable determination of facts in light)
(Madison, was based on, unreasonable determination in light of evidence presented in state court)
(Madison, is entitled, only contrary)
(state trial court 's adjudication, involved application, determined by Court else)
(state trial court 's adjudication, involved, application of Federal law)
(state trial court 's adjudication, involved application, determined by Court)
(Madison, was based on, unreasonable determination)
(Madison, was based on, determination in light)
(Madison, was based on, determination of facts in light of evidence presented in state court)
(Madison, was based on, unreasonable determination of facts)
(Madison, was based on, determination of facts in light of evidence presented)
(Madison, was based on, unreasonable determination of facts in light of evidence presented in state court)
(Madison, was based on, determination)
(Madison, was based on, determination of facts in light)
(state trial court 's adjudication, involved, unreasonable application of clearly established Federal law)
(state trial court, has, adjudication of incompetence claim)
(state trial court 's adjudication, involved, application of clearly established Federal law)
(state trial court 's adjudication, involved, unreasonable application of established Federal law)
(Madison, was based on, determination of facts in light of evidence)
(unreasonable determination, is in, light of evidence presented)
(Madison, is entitled As, state prisoner)
(Madison, is entitled, contrary)
(Madison, was based on, unreasonable determination in light of evidence)
(Madison, was based on, unreasonable determination of facts in light of evidence presented)
(Madison, is, entitled)
(Madison, was based on, determination of facts)
(state trial court 's adjudication, involved, unreasonable application of Federal law)
(state trial court 's adjudication, was, only contrary)
(Madison, was based on, unreasonable determination in light of evidence presented)
(state trial court 's adjudication, was, contrary)
(Madison, was based on, determination in light of evidence presented)
(Madison, was based on, determination in light of evidence)
(Madison, was based on, unreasonable determination in light)
(Madison, was based on, unreasonable determination of facts in light of evidence)
(Madison, was based on, determination in light of evidence presented in state court)
(state trial court 's adjudication, involved, application)
(state trial court 's adjudication, involved application, determined)
(state trial court 's adjudication, involved, application of established Federal law)
(Madison, was, based)
(state court, has, decision)
(state court 's decision, so lacking in, justification)
(habeas petitioner, meets, standard)
(error, was beyond, possibility for fairminded disagreement)
(state court 's decision, lacking in, justification)
(District Court, concluding, that state court)
(Madison, has, petition)
(District Court, denied, Madison 's petition)
(Eleventh Circuit, granted, certificate)
(Eleventh Circuit, granted, certificate of appealability)
(Eleventh Circuit, reversed over, Judge Jordan 's dissent)
(Judge Jordan, over, dissent)
(Eleventh Circuit, reversed on, appeal)
(majority, In, view)
(Madison, is, competent)
(Eleventh Circuit, held On, basis)
(Madison, be, executed)
(trial court, has, conclusion)
(he, being executed as, punishment)
(Court, addressed question In, Panetti)
(Eighth Amendment, forbids, execution)
(he, being, executed)
(he, being executed as, punishment for crime)
(Court, addressed, question)
(prisoner, is, incompetent)
(prisoner, be, executed)
(prisoner, be executed because of, failure remember)
(state court, has, decision)
(state court 's decision, founded on, unreasonable assessment)
(state court 's decision, founded on, assessment)
(state court 's decision, founded on, assessment evidence)
(state court 's decision, founded before, it)
(state court 's decision, founded on, unreasonable assessment evidence)
(he, was tried for, murder)
(he, was, tried)
(court, has, finding)
(Testimony, supported, court 's finding)
(Alabama, will put, him)
(state court 's determinations, give rise to, error)
(state court, has, determinations of law)
(103, at Richter is, supra)
(Madison 's claim, must fail Under, standard)
(Madison 's claim, must fail Under, deferential standard)
(Madison, has, claim to federal habeas relief)
(respondent, has, motion)
(petition, are, granted)
(judgment, is, reversed)
(It, is, ordered)
(It, is, so ordered)
(JEFFERSON DUNN, DEPARTMENT OF, CORRECTIONS MADISON)
(Justice Sotomayor, join, concurring)
(Justice Breyer, join, concurring)
(disability, leaves, him)
(issue, is, substantial)
(State, administer, death penalty)
(issue, would warrant, full airing)
(issue, would warrant, airing)
(restraints, imposed by, Antiterrorism)
(restraints, imposed by, Antiterrorism 1996)
(I, join, Court per curiam disposition)
(I, join, Court per curiam disposition of case)
(I, join, Court)
(I, join Court With, understanding)
(JEFFERSON DUNN, DEPARTMENT OF, CORRECTIONS MADISON)
(I, join, Court per curiam disposition of case for reason)
(I, join, Court for reason set forth in Justice Ginsburg 's concurrence)
(I, join, Court for reason set in Justice Ginsburg 's concurrence)
(I, join, Court per curiam disposition for reason set in Justice Ginsburg 's concurrence)
(I, join, Court for reason set)
(I, join, Court per curiam disposition of case for reason set in Justice Ginsburg 's concurrence)
(I, join, Court per curiam disposition)
(I, join, Court per curiam disposition of case)
(Justice Ginsburg, in, concurrence)
(I, join, Court per curiam disposition for reason set forth in Justice Ginsburg 's concurrence)
(I, join, Court for reason)
(I, join, Court per curiam disposition of case for reason set forth)
(I, join, Court per curiam disposition for reason)
(I, join, Court for reason set forth)
(I, join, Court per curiam disposition for reason set forth)
(I, join, Court)
(I, join, Court per curiam disposition for reason set)
(I, join, Court per curiam disposition of case for reason set)
(I, join, Court per curiam disposition of case for reason set forth in Justice Ginsburg 's concurrence)
(I, underline, fact)
(basic problems, is with, administration of death penalty itself)
(problem, concerns, unconscionably long periods)
(problem, concerns, periods)
(problem, concerns, periods of time)
(problem, concerns, unconscionably long periods of time)
(problem, concerns, unconscionably periods of time)
(problem, concerns, long periods)
(problem, concerns, unconscionably periods)
(prisoners, awaiting, execution)
(problem, concerns, long periods of time)
(Court, once said, I have previously noted)
(Court, once said, I have noted)
(delays, is in, execution)
(Court, said, I have previously noted)
(Court, said, I have noted)
(delay, was delay of, four weeks)
(delay, is in, Medley)
(delay, was, delay)
(Medley description, apply with, even greater force in case)
(greater force, is in, case of delays)
(Medley description, apply with, even greater force in case of delays)
(Medley description, apply with, force)
(Medley description, apply with, force in case)
(Medley description, apply with, greater force in case of delays)
(Medley description, apply with, greater force in case)
(Medley description, apply with, even greater force)
(Medley description, apply with, greater force)
(Medley description, apply with, force in case of delays)
(respondent, was, convicted)
(He, was, sentenced)
(He, transferred in, September 1985)
(He, transferred to, Alabama 's William C. Holman Correctional Facility)
(He, was sentenced to, death)
(Alabama, to, William C. Holman Correctional Facility)
(Mr. Madison, is, now old)
(Mr. Madison, is old, 67 years)
(Mr. Madison, is now old, 67 years)
(Mr. Madison, is, old)
(He, has lived, nearly half of his life)
(He, has lived on, death row)
(He, has lived, nearly half)
(He, has lived half on, death row)
(He, has lived, half of his life)
(He, has lived, half)
(He, is, blind)
(He, is, legally blind)
(His speech, is, slurred)
(He, is, incontinent)
(His disability, leaves, him)
(Mr. Madison, Moreover is one among, number)
(Mr. Madison, Moreover is one among, growing number)
(imprisonment, average period of was, In 1987 just seven years)
(period, was over, In 1987 just seven years)
(average period, was over, seven years)
(period, was over, seven years)
(average period, was over, just seven years)
(seven years, is In, 1987)
(imprisonment, period of was, just seven years)
(period, was over, In 1987 seven years)
(imprisonment, period of was, In 1987 just seven years)
(period, was over, just seven years)
(imprisonment, period of was, In 1987 seven years)
(average period, was over, In 1987 seven years)
(imprisonment, average period of was, seven years)
(imprisonment, period of was, seven years)
(imprisonment, average period of was, just seven years)
(imprisonment, average period of was, In 1987 seven years)
(average period, was over, In 1987 just seven years)
(Statistical Tables 14, rev. at_time, Dec. 19 2014)
(delay, was, later about 11 years)
(delay, was, later in 1997 about 11 years)
(average delay, was, in 1997 about 11 years)
(delay, was, about 11 years)
(average delay, was, later in 1997 about 11 years)
(average delay, was, later about 11 years)
(11 years, is in, 1997)
(average delay, was, decade later about 11 years)
(average delay, was, about 11 years)
(delay, was, decade later in 1997 about 11 years)
(average delay, was, decade later in 1997 about 11 years)
(delay, was, decade later about 11 years)
(delay, was, in 1997 about 11 years)
(average delay, rose In, 2007)
(delay, rose In, 2007)
(death row, is In, 2017)
(Death Penalty Information Center, online at, https://deathpenaltyinfo.org/ execution-list-2017)
(Alabama, has executed, three individuals)
(cruelty, periods between, death sentence)
(lengthy periods, can deepen, cruelty)
(periods, undermining, its penological rationale)
(cruelty, lengthy periods of, imprisonment)
(cruelty, periods of, imprisonment)
(lengthy periods, undermining, its rationale)
(lengthy periods, can deepen, cruelty of death penalty)
(we, may well have, consider)
(periods, undermining, its rationale)
(lengthy periods, undermining, its penological rationale)
(periods, can deepen, cruelty of death penalty)
(we, may have, consider)
(cruelty, lengthy periods between, death sentence)
(periods, can deepen, cruelty)
(inevitability, is in, light of constitutional requirements needed)
(___, at Glossip is, supra)
(___, at Glossip is, supra)
