(November 29 2016, Decided at_time, March 28 2017)
(Moore, was, when old)
(Moore, was, when 20 years old)
(Petitioner Moore, was convicted of, capital murder)
(Moore, was old, 20 years)
(Petitioner Moore, sentenced to, death)
(Petitioner Moore, was, convicted)
(Moore, was, old)
(his death sentence, violated, Eighth Amendment 's proscription)
(his death sentence, violated, Eighth Amendment 's proscription of punishments)
(state, habeas, court)
(Moore, qualified as, disabled)
(his death sentence, therefore violated, Eighth Amendment 's proscription of cruel punishments)
(his death sentence, therefore violated, Eighth Amendment 's proscription)
(Eighth Amendment, has, proscription of cruel punishments)
(his death sentence, therefore violated, Eighth Amendment 's proscription of punishments)
(his death sentence, violated, Eighth Amendment 's proscription of cruel punishments)
(Moore, qualified as, intellectually disabled)
(court, consulted, standards)
(court, consulted, diagnostic standards)
(Moore, has, IQ scores)
(average, indicated, intellectual disability)
(average, indicated, mild intellectual disability)
(average, indicated, mild disability)
(average, indicated, disability)
(court, relying on, testimony)
(court, relying on, testimony from mental-health professionals)
(significant adaptive deficits, is in, three skill sets)
(Criminal Appeals, of Court is, CCA)
(Moore, be granted, relief)
(habeas court, recommended to, Texas Court)
(habeas court, recommended Based on, its findings)
(habeas court, recommended to, CCA)
(habeas court, recommended to, Texas Court of Criminal Appeals)
(CCA, adopt, judgment)
(CCA, adopt, judgment recommended by habeas court)
(CCA, adopt, judgment recommended)
(it, recited without, seven factors relevant to intellectual-disability inquiry)
(it, recited without, seven factors relevant to inquiry)
(Briseno, also incorporated, AAMR-9 's requirement)
(deficits, be related to, intellectual-functioning deficits)
(AAMR-9, has, requirement)
(adaptive deficits, be, related)
(it, recited without, seven factors)
(it, recited without, seven evidentiary factors relevant)
(deficits, be, related)
(adaptive deficits, be related to, intellectual-functioning deficits)
(deficits, be related to, deficits)
(adaptive deficits, be related to, deficits)
(Briseno, incorporated, AAMR-9 's requirement)
(it, recited without, seven evidentiary factors relevant to inquiry)
(it, recited without, seven evidentiary factors relevant to intellectual-disability inquiry)
(it, recited without, seven factors relevant)
(it, recited without, seven evidentiary factors)
(Moore, of, IQ scores)
(his strengths, undercut, adaptive weaknesses)
(his adaptive strengths, undercut, adaptive weaknesses)
(CCA, continued, even he had)
(CCA, continued, he had)
