(October 4 2016, Decided at_time, November 29 2016)
(issue-preclusion component, contest of, issue of fact)
(issue-preclusion component, second contest of, issue)
(issue-preclusion component, contest of, issue)
(issue-preclusion component, second contest of, issue of fact)
(he, seeks, shield)
(he, shield from, reconsideration)
(prior jury, by, verdict of acquittal)
(burden, is on, defendant demonstrate)
(he, seeks, shield from reconsideration)
(inconsistent verdicts, is in, question)
(same jury, reach, verdict on count turning on issue of ultimate fact)
(same jury, reach, verdict on different count turning on same issue)
(jury, reach, verdict on count turning on issue of fact)
(jury, reach, verdict on count turning)
(jury, reach, verdict on count turning on issue of ultimate fact)
(jury, reach, verdict on different count turning on same issue of ultimate fact)
(same jury, reach, verdict on count turning on issue of fact)
(jury, reach, verdict)
(jury, reach, verdict on different count turning on same issue of fact)
(same jury, reach, verdict on count)
(same jury, reach, verdict on count turning)
(same jury, reach, verdict)
(jury, reach, verdict on count turning on same issue)
(jury, reach, verdict on different count turning on issue of ultimate fact)
(jury, reach, verdict on different count turning on issue of fact)
(jury, has, verdict of acquittal)
(jury, reach, verdict on different count turning on issue)
(jury, reach, verdict on count turning on same issue of fact)
(same jury, reach, verdict on count turning on issue)
(same jury, reach, verdict on different count turning on issue of ultimate fact)
(same jury, reach, verdict on different count turning)
(jury, reach, verdict on different count)
(Issue preclusion, does attend, jury 's verdict)
(Issue preclusion, does however attend, jury 's verdict)
(Issue preclusion, does however attend, jury 's verdict of acquittal)
(same jury, reach, verdict on count turning on same issue of fact)
(same jury, reach, verdict on count turning on same issue)
(same jury, reach, verdict on count turning on same issue of ultimate fact)
(jury, reach, verdict on different count turning)
(same jury, reach, verdict on different count turning on issue of fact)
(jury, reach, verdict on different count turning on same issue)
(same jury, reach, verdict on different count turning on same issue of fact)
(same jury, reach, verdict on different count turning on issue)
(same jury, reach, verdict on different count)
(same jury, is in, same proceeding)
(same jury, reach, verdict on different count turning on same issue of ultimate fact)
(Issue preclusion, does attend, jury 's verdict of acquittal)
(jury, reach, verdict on count turning on issue)
(jury, reach, verdict on count turning on same issue of ultimate fact)
(jury, reach, verdict on count)
(jury, is in, violation of 18 U. S. C. § 666)
(jury, Simultaneously acquitted, them)
(§ 666, traveling in, commerce)
(§ 666, traveling in, interstate commerce)
(jury, acquitted, them)
(jury 's verdicts, were inconsistent, only issue at trial was)
(other elements, were, undisputed)
(jury 's verdicts, were inconsistent, issue at trial was)
(jury 's verdicts, were, inconsistent)
(jury 's verdicts, were inconsistent, issue was)
(jury 's verdicts, were inconsistent, only issue was)
(elements, were, undisputed)
(jury, has, verdicts)
(petitioners ' convictions, were vacated Unlike, guilty verdicts in Powell)
(petitioners ' convictions, were, Unlike verdicts however later vacated on appeal)
(petitioners ' convictions, were vacated on, appeal)
(petitioners ' convictions, were later vacated Unlike, verdicts)
(petitioners ' convictions, however were later vacated because of, error in judge 's instructions unrelated to verdicts ' inconsistency)
(judge, in, instructions unrelated to inconsistency)
(petitioners ' convictions, were, Unlike verdicts however vacated on appeal)
(petitioners ' convictions, were later vacated because of, error in judge 's instructions unrelated to verdicts ' inconsistency)
(petitioners ' convictions, were, Unlike guilty verdicts in Powell later vacated on appeal)
(petitioners ' convictions, were, Unlike verdicts in Powell however vacated on appeal)
(petitioners ' convictions, were vacated Unlike, verdicts in Powell)
(petitioners ' convictions, however were vacated Unlike, verdicts in Powell)
(petitioners ' convictions, however were later vacated Unlike, verdicts in Powell)
(petitioners ' convictions, were, Unlike verdicts vacated on appeal)
(petitioners ' convictions, however were vacated because of, error in judge 's instructions)
(petitioners ' convictions, however were later vacated because of, error)
(petitioners ' convictions, were later vacated Unlike, guilty verdicts in Powell)
(petitioners ' convictions, were, Unlike guilty verdicts in Powell however later vacated on appeal)
(petitioners ' convictions, were, Unlike verdicts in Powell vacated on appeal)
(petitioners ' convictions, were, Unlike guilty verdicts however later vacated on appeal)
(petitioners ' convictions, however were later vacated Unlike, verdicts)
(petitioners ' convictions, were later vacated because of, error)
(petitioners ' convictions, however were later vacated Unlike, guilty verdicts)
(petitioners ' convictions, were, Unlike verdicts in Powell later vacated on appeal)
(petitioners ' convictions, were, Unlike guilty verdicts vacated on appeal)
(guilty verdicts, is in, Powell)
(petitioners ' convictions, were, Unlike guilty verdicts however vacated on appeal)
