(UNITED STATES, v. SALMAN is, 2016)
(October 5 2016, Decided at_time, December 6 2016)
(Securities Exchange Act, of Section is, b)
(persons, are forbidden, tipping inside information)
(persons, are, also forbidden)
(persons, are also forbidden, tipping)
(persons, are also forbidden, tipping inside information for trading)
(persons, are also forbidden, tipping inside information to others for trading)
(persons, tipping inside, information for trading)
(persons, tipping inside, information to others for trading)
(persons, are forbidden, tipping)
(persons, are forbidden, tipping inside information to others)
(persons, are also forbidden, tipping inside information)
(persons, tipping inside, information)
(persons, are also forbidden, tipping inside information to others)
(persons, are forbidden, tipping inside information for trading)
(persons, are, forbidden)
(persons, are forbidden, tipping inside information to others for trading)
(persons, tipping inside, information to others)
(tipper, has, duty)
(its disclosure, breached, tipper 's duty)
(tipper, has, disclosure breaches)
(463 U. S. 646, is In, Dirks)
(benefit, be, inferred)
(tipper, receives, something of value)
(tipper, receives something in, exchange)
(tipper, makes, gift)
(tipper, makes, gift to trading)
(tipper, makes, gift of confidential information)
(makes, gift to, trading relative)
(makes, gift to, trading)
(makes, gift of, confidential information)
(tipper, something of, value)
(tipper, makes, gift of information)
(tipper, makes, gift to trading relative)
(tipper, makes, gift of confidential information to trading relative)
(tipper, receives, something)
(tipper, makes, gift of confidential information to trading)
(tipper, makes, gift of information to trading)
(tipper, makes, gift of information to trading relative)
(tipper, receives something in, exchange for tip)
(makes, gift of, information)
(personal benefit, be, inferred)
(Petitioner Salman, was indicted for, securities-fraud crimes for trading)
(his, brother, former investment banker at Citigroup)
(Petitioner Salman, was indicted for, federal securities-fraud crimes for trading)
(Petitioner Salman, was indicted for, securities-fraud crimes)
(Petitioner Salman, was indicted for, crimes)
(Petitioner Salman, was indicted for, federal crimes for trading)
(his, brother, Maher Kara)
(Petitioner Salman, was, indicted)
(Petitioner Salman, was indicted for, federal securities-fraud crimes)
(his brother, banker at, Citigroup)
(Petitioner Salman, was indicted for, federal crimes)
(Petitioner Salman, was indicted for, crimes for trading)
(him, expected, trade on it)
(he, shared inside, information with his brother Michael)
(he, benefit, him)
(him, expected, him)
(Maher, testified at, Salman 's trial)
(Salman, at, trial)
(him, expected, trade)
(him, trade on, it)
(he, shared inside, information)
(it, was from, Maher)
(Michael, sharing, information)
(information, is with, his brother Michael)
(Salman, was, convicted)
(Salman, has, appeal to Ninth Circuit)
(Salman 's appeal, was, pending)
(tipper, breached, duty)
(he, made, gift to trading relative)
(he, made, gift of confidential information to trading)
(he, made, gift of information to trading)
(Ninth Circuit, follow far, Newman)
(he, made, gift of confidential information to trading relative)
(Ninth Circuit, follow so far, Newman)
(he, gift to, trading)
(he, gift of, confidential information)
(he, gift of, information)
(he, made, gift of information to trading relative)
(he, gift to, trading relative)
(he, made, gift of information)
(Dirks, allowed, infer)
(he, made, gift of confidential information)
(Dirks, allowed, Salman 's jury)
(Ninth Circuit, follow, Newman)
(he, made, gift to trading)
(Salman, has, jury)
(he, made, gift)
(Ninth Circuit, properly applied, Dirks)
(Ninth Circuit, affirm, Salman 's conviction)
(Ninth Circuit, applied, Dirks)
(Salman, has, conviction)
(tipper, making, gift of information)
(tipper, making gift to, trading)
(tipper, making, gift of confidential information)
(jury, could infer Under, Dirks)
(tipper, making gift to, trading relative)
(tipper, making, gift)
(gift, establish, benefit required)
(gift, establish, personal benefit)
(gift, establish, benefit)
(gift, establish, benefit required for tippee liability)
(gift, is, insufficient)
(gift, establish, personal benefit required)
(gift, establish, personal benefit required for tippee liability)
(insider, makes gift to, trading relative)
(trade, followed by, gift of profits)
(insider, makes, gift)
(trade, followed by, gift)
(insider, gift of, confidential information)
(insider, gift of, information)
(trade, followed by, gift to recipient)
(trade, trading by, insider)
(trade, trading by, insider himself)
(insider, makes, gift of information)
(holding, is in, Dirks)
(trade, followed by, gift of profits to recipient)
(insider, makes gift to, trading)
(insider, makes, gift of confidential information)
(tipper benefits, is, same thing followed)
(tipper personally benefits, is, same thing followed)
(thing, followed by, gift)
(tipper benefits, is, thing)
(tipper personally benefits, is same thing as, trading)
(tipper personally benefits, is same thing as, trading by tipper)
(tipper personally benefits, is, thing followed by gift)
(tipper benefits, is, same thing followed by gift)
(tipper benefits, is same thing as, trading by tipper)
(tipper personally benefits, is, same thing)
(tipper benefits, is thing as, trading)
(tipper personally benefits, is, thing as trading followed)
(tipper benefits, is, same thing as trading by tipper followed)
(same thing, followed by, gift)
(tipper benefits, is, thing followed)
(tipper personally benefits, is, thing)
(tipper personally benefits, is thing as, trading by tipper)
(tipper benefits, is, thing as trading by tipper followed)
(tipper benefits, is, same thing followed by gift of proceeds)
(tipper personally benefits, is, same thing as trading by tipper followed)
(tipper benefits, is thing as, trading by tipper)
(tipper personally benefits, is, same thing followed by gift of proceeds)
(tipper benefits, is same thing as, trading)
(thing, followed by, gift proceeds)
(tipper benefits, is, thing as trading followed)
(tipper personally benefits, is, same thing as trading followed)
(tipper personally benefits, is, thing followed by gift of proceeds)
(tipper personally benefits, is In, situations)
(same thing, followed by, gift proceeds)
(tipper benefits, is, thing followed by gift of proceeds)
(tipper personally benefits, is, same thing followed by gift)
(tipper benefits, is, same thing as trading followed)
(tipper personally benefits, is, thing followed)
(tipper benefits, is, thing followed by gift)
(tipper benefits, is, same thing)
(tipper personally benefits, is, thing as trading by tipper followed)
(tipper personally benefits, is thing as, trading)
(Maher, Here breached, his duty of trust)
(gift, is with, expectation)
(Maher, breached, his duty)
(he, trade on, it)
(Maher, disclosing, information)
(it, been, disclosed)
(Maher, breached, his duty of trust)
(Maher, disclosing information as, gift to his brother)
(Maher, disclosing information as, gift with expectation)
(Maher, disclosing, confidential information)
(Maher, disclosing information as, gift to his brother with expectation)
(Maher, disclosing information as, gift)
(Maher, Here breached, his duty)
(he, traded with, full knowledge)
(it, been, improperly disclosed)
(he, traded with, knowledge)
(he, traded on, information)
(rule, is, inconsistent)
(tipper, receive, something of pecuniary)
(tipper, also receive something in, exchange)
(tipper, also receive something in, exchange for gift)
(tipper, receive something in, exchange for gift to trading)
(tipper, also receive something in, exchange for gift to trading)
(tipper, receive, something)
(tipper, receive something in, exchange for gift)
(tipper, receive something in, exchange for gift to trading relative)
(Second Circuit, is in, Newman)
(tipper, also receive, something of pecuniary)
(tipper, receive something in, exchange)
(tipper, also receive, something)
(rule, is inconsistent with, Dirks)
(tipper, also receive something in, exchange for gift to trading relative)
(tipper, something of, pecuniary)
(c Salman 's arguments, are, rejected)
(Court, announced in, Dirks)
(nothing, is in, Court 's precedents)
(Court, in, precedents)
(Dirks, has, gift-giving standard)
(he, has demonstrated, that)
(heartland, concerning, gifts of confidential information to trading relatives)
(his conduct, is in, To contrary heartland)
(heartland, concerning, gifts of information)
(heartland, concerning, gifts of information to trading relatives)
(heartland, concerning, gifts)
(his conduct, is in, heartland)
(concerning, gifts of, confidential information)
(concerning, gifts of, information)
(his conduct, is in, To contrary heartland of Dirks 's rule)
(his conduct, is in, heartland of Dirks 's rule)
(Dirks, of, rule)
(heartland, concerning, gifts of confidential information)
(concerning, gifts to, trading relatives)
(heartland, concerning, gifts to trading relatives)
(Alito, delivered opinion for, Court)
(Alito, delivered, opinion)
(Alito, delivered opinion for, unanimous Court)
(opinion, is subject to, revision in print of United States Reports)
(opinion, is subject to, formal revision in preliminary print)
(opinion, is subject to, revision)
(opinion, is subject to, formal revision)
(opinion, is subject to, revision in print)
(opinion, is subject to, formal revision before publication)
(opinion, is subject to, formal revision in print of United States Reports)
(formal revision, is in, preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in print of United States Reports)
(opinion, is subject to, revision before publication)
(opinion, is subject to, formal revision in print)
(opinion, is, subject)
(opinion, is subject to, revision in preliminary print)
(opinion, is subject to, revision before publication in print)
(opinion, is subject to, formal revision in preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print of United States Reports)
(opinion, is subject to, revision in preliminary print of United States Reports)
(opinion, is subject to, formal revision before publication in print)
(opinion, is subject to, revision before publication in print of United States Reports)
(opinion, is subject to, formal revision before publication in preliminary print of United States Reports)
(Readers, notify, Reporter)
(Readers, notify, Reporter of Decisions)
(Supreme Court, is in, order)
(Readers, are, requested)
(typographical formal errors, of States is, Washington)
(typographical formal errors, of States is, D. C. 20543)
(Justice Alito, delivered, opinion)
(Justice Alito, delivered, opinion of Court)
(Securities Exchange Act, of Section is, b)
(connection, is with, sale of security)
(connection, is with, purchase of security)
(they, make ahead, appropriate disclosures)
(they, make, disclosures)
(they, make ahead, disclosures)
(they, make, appropriate disclosures)
(tippee, acquires, tipper 's duty disclose from trading)
(tipper, of, duty)
(tippee, acquires, tipper 's duty disclose)
(information, was disclosed in, breach)
(tippee, may commit securities fraud by, trading in disregard of knowledge)
(tippee, may commit securities fraud by, trading in disregard)
(information, was disclosed in, breach of tipper 's duty)
(tipper, has, duty disclose from trading)
(trading, is in, disregard of knowledge)
(tippee, may commit, securities fraud)
(information, was, disclosed)
(tippee, may commit securities fraud by, trading)
(tippee, has, liability for trading on inside information)
(tipper, inside information for, personal benefit)
(tipper, discloses, information for benefit)
(tipper, information for, benefit)
(tipper, discloses, information for personal benefit)
(tipper, discloses, inside information for benefit)
(tipper, discloses, inside information for personal benefit)
(tipper, discloses, inside information)
(tipper, inside information for, benefit)
(tipper, information for, personal benefit)
(tipper, discloses, information)
(tipper, of, duty)
(Petitioner Bassam Salman, challenges, his convictions for conspiracy)
(Petitioner Bassam Salman, challenges, his convictions)
(Salman, received, trading tips)
(Salman, from, brother-in-law)
(Salman, received, lucrative trading tips)
(Salman, traded on, information)
(Court, disagreed, holding)
(tipper, breached, duty)
(Dirks, allowed, infer)
(tipper, breached duty, he made)
(tipper, here breached duty, he made)
(tipper, here breached, duty)
(Dirks, allowed, jury)
(he, made, a)
(Court, applied, Dirks)
(Court, properly applied, Dirks)
(Dirks, Court of, Appeals)
(we, affirm, judgment)
(we, affirm below, judgment)
(Citigroup, in, healthcare investment banking group)
(Maher Kara, was, investment banker)
(investment banker, is in, Citigroup 's healthcare investment banking group)
(Maher Kara, was, investment banker in Citigroup 's healthcare investment banking group)
(He, dealt with, information about mergers)
(He, dealt with, confidential information)
(He, dealt with, highly confidential information)
(Citigroup, has, clients)
(He, dealt with, information)
(He, dealt with, highly confidential information about mergers)
(He, dealt with, confidential information about mergers)
(Maher, enjoyed, close relationship with his brother)
