(UNITED STATES, v. SHAW is, 2016)
(October 4 2016, Decided at_time, December 12 2016)
(Petitioner Shaw, identifying, numbers of bank account belonging)
(Petitioner Shaw, identifying, numbers of bank account belonging to bank customer Hsu)
(Hsu, has, funds)
(Petitioner Shaw, identifying, numbers of bank account)
(Petitioner Shaw, identifying, numbers)
(Shaw, defraud, institution)
(Shaw, was, convicted)
(Shaw, defraud, financial institution)
(it, crime to, knowingly execut)
(it, crime to, execut)
(bank fraud statute, of Subsection is, 1)
(Subsection, deprive, bank of money)
(Subsection, covers, schemes)
(Subsection, deprive, bank)
(customer, in, deposit account)
(Subsection, deprive bank in, customer 's deposit account)
(Shaw 's arguments, are, unpersuasive)
(Shaw, has, arguments in favor of claim)
(Shaw 's arguments, is in, favor of his claim)
(bank, First did have, property rights)
(bank, First did have, property rights in Hsu 's bank deposits)
(property rights, is in, Hsu 's bank deposits)
(bank, did have, property rights in Hsu 's bank deposits)
(Hsu, in, bank deposits)
(bank, did have, property rights)
(bank, has property interest, akin)
(customer, retains, ownership)
(bank, has, property interest in funds)
(customer, retains, ownership of funds)
(its role, is akin to, that)
(its role, is akin to, that of bailee)
(bank, has property interest, akin to that of bailee)
(its role, is, akin)
(property interest, is in, funds)
(bank, has property interest, akin to that)
(customer, ownership of, funds)
(bank, has, property interest)
(defendant, knew as, here)
(defendant, obtain, funds)
(bank depositor, from, account)
(defendant, misled, bank)
(bank, held, deposits)
(statute, demands, insisting)
(statute, insisting upon, scheme defraud)
(statute, demands, insisting upon scheme defraud)
(bank, suffered, financial loss)
(bank, suffered, ultimate financial loss)
(bank, suffered, loss)
(bank, suffered, ultimate loss)
(Shaw, cause, bank financial harm)
(statute, demands, showing)
(bank, showing, that)
(Shaw, may, may have ignorant of relevant property law)
(Shaw, may, may have ignorant)
(Shaw, may, may have ignorant of property law)
(Shaw, may, may have ignorant of relevant bank-related property law)
(Shaw, may, may have ignorant of bank-related property law)
(bank, possessed, Hsu 's account)
(property interest, is in, account)
(bank, possessed property interest in, fact)
(Hsu, has, account)
(Shaw, made, false statements to bank)
(bank, possessed, property interest)
(bank, possessed, property interest in account)
(Shaw, made, false statements)
(facts, are, sufficient)
(statute, requires, Government)
(such, was, his purpose)
(he, acted with, knowledge)
(he, just acted with, knowledge)
(such, was, also his purpose)
(he, harm, bank 's property interest)
(he, likely harm, bank 's property interest)
(bank, has, property interest)
(bank fraud statute, of subsection is, 2)
(use, obtain property under, custody)
(use, obtain, property)
(criminal use, obtain, property)
(Fifth, subsection of, bank fraud statute)
(criminal use, obtain property under, custody)
(use, obtain property under, custody of bank)
(criminal use, obtain property under, custody of bank)
(bank fraud statute, is, clear)
(bank fraud statute, is, clear enough)
(Breyer, delivered, opinion)
(Breyer, delivered opinion for, unanimous Court)
(Breyer, delivered opinion for, Court)
(opinion, is subject to, revision in print of United States Reports)
(opinion, is subject to, formal revision in preliminary print)
(opinion, is subject to, revision)
(opinion, is subject to, formal revision)
(opinion, is subject to, revision in print)
(opinion, is subject to, formal revision before publication)
(opinion, is subject to, formal revision in print of United States Reports)
(formal revision, is in, preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in print of United States Reports)
(opinion, is subject to, revision before publication)
(opinion, is subject to, formal revision in print)
(opinion, is, subject)
(opinion, is subject to, revision in preliminary print)
(opinion, is subject to, revision before publication in print)
(opinion, is subject to, formal revision in preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print of United States Reports)
(opinion, is subject to, revision in preliminary print of United States Reports)
(opinion, is subject to, formal revision before publication in print)
(opinion, is subject to, revision before publication in print of United States Reports)
(opinion, is subject to, formal revision before publication in preliminary print of United States Reports)
(Readers, notify, Reporter)
(Readers, notify, Reporter of Decisions)
(Supreme Court, is in, order)
(Readers, are, requested)
(typographical formal errors, of States is, Washington)
(typographical formal errors, of States is, D. C. 20543)
(Justice Breyer, delivered, opinion of Court)
(Justice Breyer, delivered, opinion)
(statute, makes, it crime knowingly)
(example, for execut is, federally insured bank)
(statute, makes, it crime)
(example, for execut is, e)
(federal statute, makes, it crime knowingly)
(federal statute, makes, it crime)
(petitioner, violating, provision)
(petitioner, was, convicted)
(relevant criminal statute, makes, it crime)
(relevant statute, makes, it crime)
(criminal statute, makes, it crime)
(statute, makes, it crime)
