(March 29 2017, Decided at_time, June 22 2017)
(Petitioners, were, indicted)
(Fuller, was attacked by, large group of individuals)
(Fuller, was attacked by, large group)
(Fuller, was attacked by, group)
(Fuller, was, attacked)
(Fuller, was attacked by, group of individuals)
(Harry Bennett, cooperated in, return for leniency)
(Its centerpiece, consisted of, testimony)
(Harry Bennett, confessed, participating in group attack)
(Harry Bennett, confessed, participating)
(Its evidentiary centerpiece, consisted of, testimony)
(Harry Bennett, cooperated in, return)
(Harry Bennett, cooperated with, Government)
(Harry Bennett, participating in, group attack)
(Bennett, has, testimony)
(Several Government witnesses, corroborated, aspects)
(Several Government witnesses, corroborated, aspects of Alston 's)
(other Government witnesses, corroborated, aspects)
(Several other Government witnesses, corroborated, aspects of Alston 's)
(Several other Government witnesses, corroborated, aspects)
(Government witnesses, corroborated, aspects of Alston 's)
(Government witnesses, corroborated, aspects)
(other Government witnesses, corroborated, aspects of Alston 's)
(persons, cross, street)
(several persons, cross, street)
(persons, cross street in, her direction)
(he, was in, park)
(he, was in, park among group)
(several persons, cross street in, her direction)
(he, was in, park among group of people)
(petitioner Overton, pointing to, Fuller)
(Maurice Thomas, identified, petitioners)
(Maurice Thomas, identified petitioners as, participants)
(he, saw, attack)
(they, heard, screams coming)
(Linda Jacobs, saw, petitioners)
(Linda Jacobs, saw, petitioners participating in attack)
(someone, gang of, boys)
(Linda Jacobs, saw, petitioners participating)
(Linda Jacobs, approached, group)
(they, heard, screams)
(gang, was beating, someone)
(gang, was beating, someone near garage)
(Government, played, videotape of petitioner Yarborough 's statement)
(he, was, part)
(Government, played, videotape)
(Government, Finally played, videotape)
(Government, Finally played, videotape of petitioner Yarborough 's statement)
(Government, Finally played videotape to, detectives)
(he, was, how part)
(Government, played videotape to, detectives)
(petitioner Yarborough, of, statement)
(None, rebutted, prosecution witnesses ' claims)
(seven petitioners, were, convicted)
(petitioners, were, convicted)
(petitioners, discovered, Long their convictions became)
(petitioners, discovered, their convictions became)
(Government, withheld, evidence from defense)
(Government, withheld, evidence)
(their convictions, became, final)
(their convictions, Long became, final)
(Government, withheld, evidence from defense at time)
(Government, withheld, evidence from defense at time of trial)
(they, argued In, postconviction proceedings)
(Brady, under guilt is, 373 U. S. 83)
(their, guilt, 373 U. S. 83)
(statement, coming from, closed garage)
(Fuller 's body, had, where had found)
(statement, coming from, garage)
(evidence, included, identity)
(Fuller 's body, had, had found)
(statement, groans, coming from garage)
(Fuller, has, body)
(Fuller 's body, had, had already found)
(statement, groans, coming from closed garage)
(Fuller 's body, had, where had already found)
(statement, groans, coming)
(evidence, included, identity of man)
(D. C. Superior Court, rejected, petitioners ' Brady claims)
(Petitioners, however do contest, materiality)
(Government, do contest, materiality of Brady information)
(Petitioners, do contest, materiality)
(Government, however do contest, materiality of Brady information)
(Petitioners, do contest, materiality of Brady information)
(Petitioners, however do contest, materiality of Brady information)
(Petitioners, however do contest, materiality of undisclosed Brady information)
(Government, do contest, materiality of undisclosed Brady information)
(Government, do contest, materiality)
(Government, however do contest, materiality)
(Petitioners, do contest, materiality of undisclosed Brady information)
(Government, however do contest, materiality of undisclosed Brady information)
(Such evidence, is, material)
(evidence, is, material)
(result, been, different)
(evidence, been, disclosed)
(suppressed evidence, undermines, confidence)
(suppressed evidence, undermines, confidence in outcome of trial)
(evidence, confidence in, outcome)
(confidence, is in, outcome of trial)
(evidence, undermines, confidence)
(evidence, undermines, confidence in outcome)
(evidence, confidence in, outcome of trial)
(suppressed evidence, undermines, confidence in outcome)
(suppressed evidence, confidence in, outcome of trial)
(evidence, undermines, confidence in outcome of trial)
(suppressed evidence, confidence in, outcome)
(Court, evaluate, s)
(Court, evaluate, evidence)
(Court, make, determination)
(Court, evaluate, withheld evidence)
(single perpetrator, attacked, Fuller)
(perpetrator, attacked, Fuller)
(Government, has, basic group attack theory)
(they, raising, alternative theory)
(they, raising, theory)
