(NORTH DAKOTA, v. BIRCHFIELD is, 2016)
(April 20 2016, Decided at_time, June 23 2016)
(States, fight, serious harms inflicted)
(States, fight, harms inflicted by drivers)
(States, fight, serious harms inflicted by drunk drivers)
(States, fight, harms)
(States, fight, harms inflicted)
(States, fight, serious harms)
(States, fight, serious harms inflicted by drivers)
(States, fight, harms inflicted by drunk drivers)
(BAC, is typically determined through, direct analysis of blood sample)
(BAC, is determined through, analysis)
(BAC, is typically determined through, analysis of blood sample)
(BAC, is, typically determined)
(BAC, is determined through, direct analysis)
(BAC, is typically determined through, direct analysis)
(BAC, is, determined)
(BAC, is determined through, analysis of blood sample)
(person, in, breath)
(BAC, is determined through, direct analysis of blood sample)
(BAC, is typically determined through, analysis)
(drivers ' cooperation, is with, such testing)
(drivers, submit to, BAC tests)
(motorist, of, license)
(States, however have toughened, their laws)
(States, imposing penalties on, recidivists)
(States, however have toughened, their drunk-driving laws)
(States, imposing penalties on, recidivists with BAC levels)
(recidivists, is with, particularly high BAC levels)
(States, have toughened, their laws)
(States, imposing, penalties)
(States, imposing, harsher penalties)
(States, imposing penalties on, recidivists with particularly high BAC levels)
(States, imposing penalties on, recidivists with high BAC levels)
(States, have toughened, their drunk-driving laws)
(States, now make, it crime refuse)
(States, make, it crime refuse)
(incentives, reject, testing)
(it, crime, refuse)
(strong incentives, reject, testing)
(three petitioners, were, In cases arrested on charges)
(three petitioners, were, In cases arrested on drunk-driving charges)
(three petitioners, were arrested In, cases)
(three petitioners, were arrested on, charges)
(three petitioners, were arrested on, drunk-driving charges)
(three petitioners, were, arrested)
(Birchfield, was charged with, misdemeanor violation)
(Birchfield, refused, let)
(his blood, be, drawn)
(Birchfield, was charged with, misdemeanor violation of refusal statute)
(Birchfield, was, charged)
(He, entered, conditional guilty plea)
(Amendment, criminalizing, his refusal)
(He, entered, plea)
(He, entered, guilty plea)
(Fourth Amendment, criminalizing, his refusal)
(He, entered, conditional plea)
(State District Court, rejected, his argument)
(Minnesota police, transported, him)
(officers, read, him)
(North Dakota, has, informs motorists)
(it, refuse, submit to BAC test)
(officers, There read, him)
(it, is crime, refuse)
(Minnesota, has, implied consent advisory)
(it, refuse, submit)
(Bernard, was charged in, first degree)
(Bernard, was charged with, test refusal)
(Bernard, was, charged with test refusal in degree)
(Bernard, was charged in, degree)
(Bernard, was, charged)
(Bernard, take, breath test)
(Bernard, was, charged with test refusal in first degree)
(Minnesota District Court, dismissed, charges)
(test refusal, is, itself)
(officer, read, North Dakota 's implied consent advisory)
(officer, read, North Dakota 's consent advisory)
(officer, informing, him)
(North Dakota, has, implied consent advisory)
(test refusal, is in, circumstances)
(test refusal, is itself, crime)
(Beylund, agreed, have)
(test, revealed, BAC level)
(Beylund 's license, was, suspended for two years after administrative hearing)
(Beylund 's license, was, suspended)
(Beylund, has, license)
(his consent, was coerced by, officer 's warning)
(Beylund 's license, was, suspended for two years after hearing)
(his consent, was, coerced)
(Beylund 's license, was suspended for, two years)
(State District Court, rejected, his argument)
(Beylund 's license, was suspended after, administrative hearing)
(officer, by, warning)
(Beylund 's license, was suspended after, hearing)
(Amendment, permits, warrantless breath tests incident to arrests)
(Amendment, permits, warrantless breath tests)
(Fourth Amendment, permits, warrantless breath tests incident)
(Amendment, permits, breath tests)
(Amendment, permits, breath tests incident to arrests)
(Amendment, permits, warrantless breath tests incident to arrests for driving)
(Amendment, permits, warrantless breath tests incident)
(Amendment, permits, breath tests incident to arrests for drunk driving)
(Fourth Amendment, permits, warrantless breath tests)
(Fourth Amendment, permits, breath tests incident to arrests for drunk driving)
(Amendment, permits, breath tests incident)
(Fourth Amendment, permits, warrantless breath tests incident to arrests for driving)
(Amendment, permits, breath tests incident to arrests for driving)
(Fourth Amendment, permits, breath tests incident to arrests for driving)
(Fourth Amendment, permits, breath tests)
(Fourth Amendment, permits, breath tests incident)
(Fourth Amendment, permits, breath tests incident to arrests)
(Fourth Amendment, permits, warrantless breath tests incident to arrests)
(Fourth Amendment, permits, warrantless breath tests incident to arrests for drunk driving)
(Amendment, permits, warrantless breath tests incident to arrests for drunk driving)
(search, governed by, Fourth Amendment)
(search, governed by, Amendment)
(Railway Labor Executives, ' Assn. is, 489 U. S. 602 616-617)
(Nation, has, founding)
(mere fact, justifies, full search of person)
(fact, justifies, full search of person)
(mere fact, justifies, full search)
(mere fact, justifies, search)
(mere fact, justifies, search of person)
(fact, justifies, full search)
(fact, justifies, search of person)
(fact, justifies, search)
(573 U. S. ___, is In, Riley)
(arrestee, of, cell phone)
(Court, apply doctrine to, searches)
(Court, apply doctrine to, searches of arrestee 's cell phone)
(Court, apply, doctrine)
(Court, determined, founding era guidance was lacking)
(Court, determined, era guidance was lacking)
(individual, upon, privacy)
(mode, is, proper)
(same mode, is, proper)
(mode, is, proper here)
(same mode, is, proper here)
(analysis, considering, impact on privacy interests)
(analysis, considering, impact of breath on individual privacy interests)
(analysis, considering, impact on individual privacy interests)
(analysis, considering, impact)
(analysis, considering, impact of breath on privacy interests)
(analysis, considering, impact of breath)
(626, at Skinner is, 489 U. S.)
(physical intrusion, is, almost negligible)
(physical intrusion, is, negligible)
(intrusion, is, negligible)
(intrusion, is, almost negligible)
(machine 's mouthpiece, exhale, lung air)
(machine 's mouthpiece, exhale, deep lung air)
(machine, has, mouthpiece)
(government, in, possession)
(Breath tests, also yield, BAC reading)
(Breath tests, also yield, only BAC reading)
(Breath tests, yield, BAC reading)
(Breath tests, yield, only BAC reading)
(participation, is in, breath test)
(participation, enhance, embarrassment inherent)
(subject, 's body is, Skinner)
(skin, extract, part)
(skin, extract, part of subject 's body)
(subject, of, body)
(skin, extract part at, 625)
(it, extract, information)
(blood test, also gives, law enforcement)
(it, extract information beyond, simple BAC reading)
(it, extract information beyond, BAC reading)
(blood test, gives, law enforcement)
(it, is, possible)
(it, is, from which possible)
(prospect, could cause anxiety for, person)
(prospect, could cause, anxiety)
(prospect, could cause anxiety for, person tested)
(Federal Government, preserving, safety)
(Federal Government, have, interest)
(Federal Government, have, paramount interest)
(States, have, paramount interest)
(traffic fatalities, cause at, id. 18)
(States, have, interest)
(consequences, were, adequate)
(consequences, persuade, dangerous offenders)
(consequences, persuade, most dangerous offenders)
(consequences, persuade, offenders)
(laws, provide, incentive cooperate)
(it, refuse, submit to BAC test)
(it, crime, refuse)
(laws, making, it crime refuse)
(it, refuse, submit)
(Court, has, decisions)
(legality, must, must judged on basis)
(legality, must, must judged on basis of rules)
(legality, must, must judged)
(legality, must, must judged on basis of categorical rules)
(___, at McNeely is, supra)
(Imposition, would likely swamp, courts)
(Imposition, would likely swamp courts given, enormous number of drunk-driving arrests)
(Imposition, would likely swamp courts with, little corresponding benefit)
(Imposition, would likely swamp courts given, number of drunk-driving arrests)
(Imposition, would likely swamp courts with, corresponding benefit)
(Imposition, would swamp courts given, number of arrests)
(Imposition, would swamp courts with, little corresponding benefit)
(Imposition, would swamp courts with, corresponding benefit)
(Imposition, would likely swamp courts given, number of arrests)
(Imposition, would likely swamp courts given, number)
(Imposition, would swamp courts given, enormous number of drunk-driving arrests)
(Imposition, would likely swamp courts with, benefit)
(Imposition, would likely swamp courts with, little benefit)
(Imposition, would swamp courts given, number)
(Imposition, would swamp courts with, benefit)
(Imposition, would swamp courts given, enormous number)
(Imposition, would swamp, courts)
(Imposition, would likely swamp courts given, enormous number)
(Imposition, would swamp courts with, little benefit)
(Imposition, would swamp courts given, number of drunk-driving arrests)
(Imposition, would swamp courts given, enormous number of arrests)
(Imposition, would likely swamp courts given, enormous number of arrests)
(other alternatives, are, poor substitutes)
(other alternatives, are, substitutes)
(alternatives, are, poor substitutes)
(alternatives, are, substitutes)
(loss, results from, body 's metabolism)
(loss, results from, body 's metabolism of alcohol)
(body, from, metabolism of alcohol)
(evidence, be, lost)
(State, is justifiably concerned In, instances)
(State, is concerned In, instances)
(State, however is justifiably concerned In, instances)
(State, however is concerned In, instances)
(Riley, encompasses, metabolization of alcohol)
(Riley, readily encompasses, metabolization)
(State 's interest, encompasses, metabolization in blood)
(State 's general interest, readily encompasses, metabolization of alcohol)
(State 's general interest, encompasses, metabolization in blood)
(Riley, readily encompasses, metabolization of alcohol)
(Riley, readily encompasses, metabolization in blood)
(State 's general interest, encompasses, metabolization of alcohol)
(Riley, readily encompasses, metabolization of alcohol in blood)
(State 's general interest, is in, evidence preservation)
(Riley, encompasses, metabolization)
(State 's interest, readily encompasses, metabolization in blood)
(State 's interest, encompasses, metabolization of alcohol in blood)
(State 's interest, encompasses, metabolization of alcohol)
(State 's general interest, encompasses, metabolization of alcohol in blood)
