(UNITED STATES, v. TAYLOR is, 2016)
(February 23 2016, Decided at_time, June 20 2016)
(commerce, attempting, do through robbery for his participation in two home invasions)
(Petitioner Taylor, was indicted under, Hobbs Act)
(commerce, attempting, do through robbery)
(commerce, attempting, do so through robbery)
(commerce, attempting, do so)
(his participation, is in, two home invasions targeting)
(commerce, attempting, do so through robbery for his participation in two home invasions)
(commerce, attempting, do through robbery for his participation)
(Petitioner Taylor, was, indicted)
(commerce, attempting, do)
(commerce, attempting, do so through robbery for his participation)
(Taylor, broke In, cases)
(gang members, demanded, location)
(demanded, location of, drugs)
(other gang members, broke In, cases)
(other gang members, left, handed)
(other gang members, left, empty handed)
(gang members, confronted, residents)
(other gang members, left, relatively empty handed)
(gang members, left, relatively empty handed)
(gang members, left, empty handed)
(gang members, left, handed)
(other gang members, demanded, location of drugs)
(gang members, broke In, cases)
(other gang members, confronted, residents)
(gang members, demanded, location of drugs)
(other gang members, demanded, location)
(Taylor 's trial, resulted in, hung jury)
(Taylor, has, trial)
(Taylor 's trial, resulted in, jury)
(Government, urged, trial court)
(Government, urged trial court At, his retrial)
(trial court, preclude, Taylor)
(evidence, was, convicted on counts)
(Circuit, affirmed, holding)
(Government, needed given, aggregate effect of drug)
(Government, needed given, aggregate effect of drug dealing)
(Government, needed given, aggregate effect of drug dealing on commerce)
(Taylor, rob, drug dealer)
(Government, needed, prove)
(Government, needed, only prove)
(Taylor, rob, drug dealer of drugs)
(Government, needed given, aggregate effect of drug dealing on interstate commerce)
(Fourth Circuit, affirmed, holding)
(Government, needed given, aggregate effect)
(Act, has, commerce element)
(prosecution, is in, Hobbs Act robbery case)
(defendant, rob, drug dealer)
(prosecution, satisfies, Act 's commerce element)
(defendant, rob, drug dealer of drugs)
(language, is, broad)
(language, is, unmistakably broad)
(Congress, b, Court has held)
(Congress, see, Filburn)
(Congress, see, Wickard)
(Congress, see, 317 U. S. 111 125)
(such class, distribution of, substances)
(One such class, distribution of, substances)
(One such class, distribution of, controlled substances)
(activities, such class of is, production)
(such class, distribution of, controlled substances)
(Hobbs Act, onto, commerce element)
(it, Grafting, holding)
(holding, is in, Raich)
(it, Grafting, holding in Raich)
(United States, has, jurisdiction)
(it, Grafting holding onto, Hobbs Act 's commerce element)
(Taylor, confuses standard with, meaning)
(Raich, be, distinguished)
(Taylor, confuses, standard)
(Taylor, standard of, proof)
(Hobbs Act, has, additional commerce element)
(Controlled Substances Act, lacks, Hobbs Act 's additional commerce element)
(Taylor, confuses, standard of proof)
(Controlled Substances Act, lacks, Hobbs Act 's commerce element)
(Hobbs Act 's commerce element, meaning of is, question)
(Hobbs Act, of, commerce element)
(meaning, is, question)
(Congress, of, Commerce Clause power)
(Raich, has, interpretation of scope of Commerce Clause power)
(Taylor 's gang, obtain, drug proceeds)
(Government, introducing, evidence)
(Taylor 's gang, targeted, drug dealers)
(Taylor 's gang, obtain, drugs)
(Taylor, has, gang)
(Government, Here met, its burden)
(Taylor 's gang, intentionally targeted, drug dealers)
(Government, met, its burden)
