(April 19 2016, Decided at_time, June 13 2016)
(Congress, enacted felony offense In, response to incidence of violence against women)
(Congress, enacted, felony offense of assault)
(Congress, enacted felony offense In, response to incidence of violence against Native American women)
(Congress, enacted, felony offense)
(Congress, enacted felony offense In, response to high incidence of violence against American women)
(Congress, enacted felony offense In, response to high incidence of domestic violence against women)
(Congress, enacted felony offense In, response to high incidence of domestic violence against Native women)
(Congress, enacted felony offense In, response to incidence of domestic violence)
(Congress, enacted felony offense In, response to high incidence of violence against women)
(Congress, enacted felony offense In, response to incidence of violence against Native women)
(Congress, enacted felony offense by, offender)
(felony offense, is in, Indian country)
(Congress, enacted felony offense In, response to incidence of violence against American women)
(Congress, enacted felony offense In, response to high incidence of domestic violence)
(Congress, enacted felony offense In, response to high incidence of domestic violence against American women)
(Congress, enacted felony offense by, habitual offender)
(Congress, enacted felony offense In, response to high incidence of domestic violence against Native American women)
(Congress, enacted, felony offense of domestic assault in country)
(Congress, enacted felony offense In, response to incidence of domestic violence against Native women)
(Congress, enacted felony offense In, response to high incidence of violence)
(Congress, enacted felony offense In, response to incidence of domestic violence against women)
(Congress, enacted felony offense In, response to incidence of violence)
(Congress, enacted felony offense In, response to incidence)
(Congress, enacted, felony offense of domestic assault)
(Congress, enacted, felony offense of assault in country)
(Congress, enacted, felony offense of assault in Indian country)
(Congress, enacted, felony offense in country)
(Congress, enacted felony offense In, response to high incidence of violence against Native women)
(Congress, enacted felony offense In, response to high incidence)
(Congress, enacted, felony offense of domestic assault in Indian country)
(Congress, enacted felony offense In, response to incidence of domestic violence against American women)
(Congress, enacted felony offense In, response to high incidence of violence against Native American women)
(Congress, enacted felony offense In, response to incidence of domestic violence against Native American women)
(Congress, enacted, felony offense in Indian country)
(Congress, enacted felony offense In, response)
(Sixth Amendment, with, right to counsel)
(case, raises, question)
(Sixth Amendment, guarantees, indigent defendants)
(state, in counsel is, Scott)
(appointed counsel, is in, state)
(Sixth Amendment, guarantees, defendants)
(ICRA, provides, defendants)
(ICRA, provides defendants In, particular)
(ICRA, provides, indigent defendants)
(ICRA, has, right to counsel)
(conviction, obtained in, violation)
(conviction, obtained in, violation defendant Sixth Amendment right counsel)
(conviction, obtained in, violation defendant Sixth Amendment right)
(conviction, obtained in, state court)
(defendant, of, Sixth Amendment right to counsel)
(Use, would cause, the accused in effect)
(Use, would cause, the accused in effect to suffe)
(deprivation, from suffe is, r)
(Use, would cause, the accused to suffe from deprivation of his Sixth Amendment right)
(Use, would cause, the accused in effect to suffe anew)
(Use, would cause, the accused to suffe anew from deprivation)
(Use, would cause, the accused in effect to suffe from deprivation)
(Use, would cause, the accused to suffe from deprivation)
(Use, would cause, the accused to suffe anew)
(Use, would cause, the accused in effect to suffe anew from deprivation of his Sixth Amendment right)
(Use, would cause, the)
(Use, would cause, the accused)
(Use, would cause, the accused to suffe)
(Use, would cause, the accused in effect to suffe from deprivation of his Sixth Amendment right)
(Use, would cause, the accused to suffe anew from deprivation of his Sixth Amendment right)
(Use, would cause, the accused in effect to suffe anew from deprivation)
(Court, by, holding in)
(Burgett 's principle, was limited by, Court 's holding)
(Burgett, has, principle)
(Burgett 's principle, was, limited)
(Respondent Michael Bryant, has, multiple tribal-court convictions for domestic assault)
(Respondent Michael Bryant, has, multiple tribal-court convictions)
(Respondent Michael Bryant, has, tribal-court convictions)
(Respondent Michael Bryant, has, tribal-court convictions for assault)
(Respondent Michael Bryant, has, multiple tribal-court convictions for assault)
(Respondent Michael Bryant, has, tribal-court convictions for domestic assault)
(he, was, sentenced)
(he, was sentenced For, most)
(he, was sentenced For, most of his convictions)
(tribal-court proceedings, complied Because of, his short prison terms)
(tribal-court proceedings, complied with, ICRA)
(prior tribal-court proceedings, complied Because of, his short prison terms)
(his convictions, were, valid)
(tribal-court proceedings, complied Because of, his prison terms)
(prior tribal-court proceedings, complied with, ICRA)
(his convictions, were, therefore valid)
(prior tribal-court proceedings, complied Because of, his prison terms)
(Bryant, was indicted on, two counts)
(Bryant, was indicted by, habitual offender in violation of § 117)
(Bryant, was, indicted on two counts of assault by offender)
(Bryant, was, indicted on two counts by habitual offender in violation of § 117)
(Bryant, was, indicted on two counts by offender)
(Bryant, was, indicted on two counts by habitual offender)
(Bryant, was indicted on, two counts of domestic assault)
(Bryant, was indicted by, habitual offender)
(Bryant, was, indicted on two counts by habitual offender in violation)
(Bryant, was, indicted on two counts of assault by offender in violation of § 117)
(Bryant, was, indicted on two counts of domestic assault by offender in violation of § 117)
(Bryant, was indicted by, offender in violation of § 117)
(Bryant, was, indicted on two counts by offender in violation)
(Bryant, was indicted by, offender in violation)
(Bryant, was, indicted on two counts of domestic assault by habitual offender in violation of § 117)
(Bryant, was indicted by, habitual offender in violation)
(Bryant, was, indicted on two counts of domestic assault by habitual offender)
(Bryant, was, indicted on two counts of assault by habitual offender in violation of § 117)
(Bryant, was indicted on, two counts of assault)
(Bryant, was, indicted on two counts of assault by offender in violation)
(Bryant, was, indicted on two counts of domestic assault by habitual offender in violation)
(Bryant, was indicted by, offender)
(Bryant, was, indicted on two counts of domestic assault by offender)
(Bryant, was, indicted on two counts of assault by habitual offender in violation)
(Bryant, was, indicted on two counts of assault by habitual offender)
(Bryant, was, indicted)
(he, committed in, 2011)
(habitual offender, is in, violation of § 117)
(Bryant, was, indicted on two counts of domestic assault by offender in violation)
(Bryant, was, indicted on two counts by offender in violation of § 117)
(he, Represented in, federal court)
(he, Represented by, appointed counsel)
(he, Represented in, court)
(he, Represented by, counsel)
(Bryant, reserving, right to appeal)
(Bryant, reserving, right)
(Bryant, pleaded, guilty)
(reserving, right to, appeal)
(Ninth Circuit, reversed, conviction)
(Ninth Circuit, directed, dismissal of indictment)
(Ninth Circuit, directed, dismissal)
(Bryant, has, uncounseled tribal-court convictions)
(Bryant, has, tribal-court convictions)
(Constitution, use in, § 117 prosecution)
(Constitution, use in, § prosecution)
(use, is in, § 117 prosecution)
(Bryant, has, tribal-court convictions)
(convictions valid, invoked in, proceeding)
(convictions, retain, status)
(convictions, invoked in, subsequent proceeding)
(convictions valid, retain, status)
(convictions, invoked in, proceeding)
(convictions valid, invoked in, subsequent proceeding)
(Bryant, has, sentence violating)
(his Sixth Amendment right, was honored in, federal court)
(his Sixth Amendment right, was, honored)
(his Sixth Amendment right, was honored in, court)
(Nichols, allowed, reliance on tribal-court convictions resulting in fines)
(Nichols, reliance on, tribal-court convictions resulting in fines)
(Nichols, allowed, reliance on tribal-court convictions resulting)
(Nichols, reliance on, uncounseled tribal-court convictions resulting)
(Nichols, reliance on, uncounseled tribal-court convictions resulting in fines)
(Nichols, reliance on, tribal-court convictions)
(Nichols, allowed, reliance)
(Nichols, allowed, reliance on uncounseled tribal-court convictions resulting)
(Nichols, allowed, reliance on uncounseled tribal-court convictions resulting in fines)
(Nichols, reliance on, uncounseled tribal-court convictions)
(Nichols, reliance on, tribal-court convictions resulting)
(Nichols, allowed, reliance on tribal-court convictions)
(Nichols, allowed, reliance on uncounseled tribal-court convictions)
(Neither, violates, Sixth Amendment)
(defendant, convicted in, tribal court)
(defendant, convicted in, court)
(Bryant, also invokes, Due Process Clause of Fifth Amendment)
(Bryant, also invokes, Clause)
(Bryant, invokes, Process Clause of Fifth Amendment)
(Bryant, invokes, Clause)
(Bryant, invokes, Due Clause)
(Bryant, also invokes, Due Clause of Fifth Amendment)
(Bryant, invokes, Due Process Clause of Fifth Amendment)
(Bryant, also invokes, Due Process Clause)
(Bryant, invokes, Due Clause of Fifth Amendment)
(Bryant, invokes, Process Clause)
(Bryant, invokes, Clause of Fifth Amendment)
(Bryant, also invokes, Process Clause of Fifth Amendment)
(Bryant, invokes, Due Process Clause)
(Bryant, also invokes, Due Clause)
