(November 2 2015, Decided at_time, May 23 2016)
(Petitioner Timothy Foster, was convicted of, capital murder)
(Petitioner Timothy Foster, was, convicted)
(Petitioner Timothy Foster, sentenced to, death)
(Petitioner Timothy Foster, sentenced in, Georgia court)
(State, used challenges During, jury selection at his trial)
(State, used, peremptory challenges)
(State, used challenges During, jury selection)
(State, used During, jury selection at his trial)
(State, used During, jury selection)
(State, used, challenges)
(State, has, use of strikes)
(State 's use, was racially motivated in, violation of Batson)
(State 's use, was motivated in, violation of Batson)
(State 's use, was motivated in, violation)
(State 's use, was racially motivated in, violation)
(State 's use, was, racially motivated)
(State 's use, was, motivated)
(trial court, rejected, claim)
(Foster, renewed, his Batson claim)
(proceeding, was, pending)
(copies, is with, legend indicating)
(document, is with, notes on Church of Christ)
(juror, has, response indicating)
(court, denied, relief)
(Foster 's Batson claim, been, adjudicated)
(Foster 's Batson claim, been adjudicated on, direct appeal)
(Foster 's Batson claim, been adjudicated on, appeal)
(Foster, has, Batson claim)
(Foster, has, renewed Batson claim)
(court, concluded, Foster 's renewed Batson claim fail)
(Foster 's renewed Batson claim, demonstrate, discrimination)
(court, concluded, Foster 's Batson claim fail)
(Foster 's Batson claim, demonstrate, purposeful discrimination)
(Foster 's Batson claim, demonstrate, discrimination)
(Foster 's renewed Batson claim, demonstrate, purposeful discrimination)
(Certificate, file, appeal)
(jurisdiction, review, judgment)
(jurisdiction, review, judgment of Georgia Supreme Court)
(jurisdiction, review, judgment of Georgia Supreme Court denying)
(Court, grounds for, judgment)
(Court, grounds for, unelaborated judgment)
(state law doctrine, examining, entire record)
(Foster, has, claim)
(state law doctrine, only examining, record)
(state law doctrine, examining, record)
(state law doctrine, only examining, entire record)
(state law doctrine, barred, Foster 's claim)
(Foster, has, renewed Batson claim)
(Foster 's Batson claim, was without, merit)
(Foster 's renewed Batson claim, was without, merit)
(state, habeas Based on, lengthy Batson analysis)
(state, habeas Based on, Batson analysis)
(state court 's application, depend on, ruling)
(state court 's application, thus depend on, federal ruling)
(state court 's application, thus depend on, ruling)
(state court 's application, depend on, federal ruling)
(state court 's application, depend on, federal constitutional ruling)
(state court 's application, depend on, constitutional ruling)
(state court, has, application of res judicata)
(court, of, holding)
(state court 's application, thus depend on, constitutional ruling)
(state court 's application, thus depend on, federal constitutional ruling)
(Foster, show, purposeful discrimination)
(Foster, show, discrimination)
(decision, was, erroneous)
(decision, was, clearly erroneous)
(preemptory challenge, been exercised on, basis)
(challenge, been exercised on, basis)
(showing, has, has made)
(trial court, third must determine in, light)
(challenge, been, exercised)
(trial court, must determine in, light of parties ' submissions)
(trial court, third must determine in, light of parties ' submissions)
(trial court, must determine in, light)
(preemptory challenge, been exercised on, basis of race)
(preemptory challenge, been, exercised)
(defendant, shown, discrimination)
(challenge, been exercised on, basis of race)
(defendant, shown, purposeful discrimination)
(Batson 's step, is at, issue)
(Batson 's step, is at, issue here)
(Batson 's third step, is at, issue)
(Batson 's third step, is at, issue here)
(step, turns on, factual findings made by lower courts)
(step, turns on, factual findings made by courts)
(Court, will defer, erroneous)
(step, turns on, findings made)
(step, turns on, findings made by courts)
(Court, will defer to, findings)
(step, turns on, factual findings made)
(they, are, clearly erroneous)
(step, turns on, factual findings)
(step, turns on, findings made by lower courts)
(they, are, erroneous)
(Court, will defer, clearly erroneous)
(step, turns on, findings)
(purposeful discrimination, is in, State 's strikes of two black prospective jurors)
(b Foster, established, discrimination)
(b Foster, established, discrimination in State 's strikes of two black prospective jurors)
(b Foster, established, purposeful discrimination in State 's strikes of two black jurors)
(State, in, strikes of two black prospective jurors)
(b Foster, established, purposeful discrimination in State 's strikes of two jurors)
(b Foster, established, discrimination in State 's strikes of two jurors)
(b Foster, established, purposeful discrimination in State 's strikes of two prospective jurors)
(b Foster, established, discrimination in State 's strikes of two prospective jurors)
(b Foster, established, purposeful discrimination in State 's strikes)
(b Foster, established, discrimination in State 's strikes of two black jurors)
(b Foster, established, purposeful discrimination in State 's strikes of two black prospective jurors)
(b Foster, established, purposeful discrimination)
(b Foster, established, discrimination in State 's strikes)
(record, belies, much)
(record, belies, much of prosecution 's reasoning)
(prosecution, of, reasoning)
(trial court, accepted, prosecution 's justifications for strikes)
(prosecution, has, justifications for strikes)
(Shirley Powell, was, excused)
(Shirley Powell, was excused for, cause on morning)
(strikes, were, exercised)
(Shirley Powell, was excused for, cause)
(prosecution, explained to, trial court)
(prosecution, on, list of efinite NO 's)
(explanation, is flatly contradicted by, evidence showing)
(Garrett, has, name)
(Garrett 's name, appeared on, prosecution 's list of efinite NO 's)
(Garrett 's name, appeared on, prosecution 's list of NO 's)
(explanation, is, flatly contradicted)
(explanation, is flatly contradicted by, evidence)
(explanation, is contradicted by, evidence showing)
