(KERNAN, DE-PARTMENT OF, CORRECTIONS)
(state prisoner, seeking, federal habeas relief)
(state prisoner, seeking first, habeas relief)
(state prisoner, seeking federal habeas relief to, exhaus remedies)
(state prisoner, seeking, habeas relief)
(state prisoner, seeking habeas relief first to, exhaus remedies available)
(state prisoner, seeking federal habeas relief to, exhaus remedies available courts State)
(Antiterrorism, requires, state prisoner)
(state prisoner, seeking habeas relief first to, exhaus remedies)
(state prisoner, seeking federal habeas relief first to, exhaus remedies available courts)
(state prisoner, seeking federal habeas relief first to, exhaus remedies available courts State)
(state prisoner, seeking federal habeas relief first to, exhaus remedies available)
(state prisoner, seeking federal habeas relief first to, exhaus remedies)
(state prisoner, seeking habeas relief to, exhaus remedies available courts State)
(state prisoner, seeking habeas relief first to, exhaus remedies available courts)
(state prisoner, seeking federal habeas relief to, exhaus remedies available courts)
(state prisoner, seeking habeas relief to, exhaus remedies)
(state prisoner, seeking habeas relief first to, exhaus remedies available courts State)
(Effective Death Penalty Act, requires, state prisoner)
(state prisoner, seeking federal habeas relief to, exhaus remedies available)
(state prisoner, seeking habeas relief to, exhaus remedies available courts)
(state prisoner, seeking first, federal habeas relief)
(state prisoner, seeking habeas relief to, exhaus remedies available)
(prisoner, has, federal claim)
(state courts, adjudicate, prisoner 's federal claim)
(state courts, adjudicate, prisoner 's claim)
(Ninth Circuit, is in, case)
(California, of, summary denial of habeas petition)
(Respondent Antonio Hinojosa, was serving, sentence for robbery)
(California prison officials, validated, him)
(California prison officials, placed, him)
(Respondent Antonio Hinojosa, was serving, 16-year sentence for armed robbery)
(Respondent Antonio Hinojosa, was serving, sentence for armed robbery)
(Respondent Antonio Hinojosa, was serving, sentence)
(Respondent Antonio Hinojosa, was serving, 16-year sentence for robbery)
(Respondent Antonio Hinojosa, was serving, 16-year sentence)
(California law, had permitted by, virtue of their affiliations)
(prisoners, placed in, housing unit)
(California law, had permitted prisoners by, solely virtue of their affiliations)
(Hinojosa, of, offense)
(prisoners, placed in, secured housing unit)
(California law, had permitted prisoners At, time of Hinojosa 's offense)
(California law, had permitted prisoners by, solely virtue)
(California law, had permitted by, virtue of their prison-gang affiliations)
(California law, had permitted by, solely virtue of their affiliations)
(California law, had permitted by, virtue)
(California law, had permitted by, solely virtue)
(California law, had permitted by, solely virtue of their prison-gang affiliations)
(California law, had permitted prisoners by, virtue of their affiliations)
(California law, had permitted prisoners by, virtue of their prison-gang affiliations)
(California law, had permitted, prisoners placed)
(California law, had permitted prisoners, continue)
(California law, had permitted At, time of Hinojosa 's offense)
(California law, had permitted prisoners by, solely virtue of their prison-gang affiliations)
(California law, had permitted prisoners At, time)
(California law, had permitted, prisoners)
(California law, had permitted, continue)
(California law, had permitted prisoners by, virtue)
(California law, had permitted At, time)
(California Legislature, amended law In, 2010)
(California Legislature, amended, law)
(prison-gang associates, placed in, secured housing unit)
(associates, placed in, housing unit)
(prison-gang associates, could earn, future credits)
(associates, could earn, future good-time credits)
(prison-gang associates, could earn, future good-time credits)
(associates, could earn, future credits)
(prison-gang associates, placed in, housing unit)
(associates, placed in, secured housing unit)
(they, would retain, credits already earned)
(Federal Constitution 's prohibition, applying law to, him)
(Federal Constitution 's prohibition, applying, law)
(Federal Constitution, has, prohibition of ex post facto laws)
(Hinojosa, filed, arguing)
(state, habeas, petition)
(Federal Constitution 's prohibition, applying, new law)
(inmate, is, confined)
(Challenges, should, should entertained)
(inmate, of, confinement)
(inmate, is, wherein confined)
(petition, is, DENIED)
(Hinojosa, file, new petition)
(Hinojosa, file petition in, Kings County Superior Court)
(Hinojosa, file petition in, venue)
(Hinojosa, file petition in, correct venue)
(Hinojosa, file, petition)
(Hinojosa, sought, writ of habeas corpus)
(Hinojosa, sought writ in, Supreme Court)
(Hinojosa, sought, original writ)
(Hinojosa, sought, original writ of habeas corpus)
(Hinojosa, sought writ in, Supreme Court of California)
(Hinojosa, sought, writ)
(District Court, denied, Hinojosa 's ex post claim under AEDPA 's deferential review)
(District Court, denied, Hinojosa 's ex post facto claim under AEDPA 's review)
(District Court, Adopting, Magistrate Judge 's findings)
(AEDPA, under, deferential review)
(Hinojosa, has, ex post facto claim under deferential review)
(Magistrate Judge, has, findings)
(District Court, denied, Hinojosa 's ex post facto claim under AEDPA 's deferential review)
(District Court, denied, Hinojosa 's ex post facto claim)
(District Court, Adopting, recommendation)
(District Court, denied, Hinojosa 's ex post claim under AEDPA 's review)
(District Court, denied, Hinojosa 's ex post claim)
(panel, looked to, last decision)
(panel, looked through, Supreme Court)
(panel, looked to, reasoned decision)
(panel, looked through, Supreme Court of California 's summary denial)
(Hinojosa, has, claim)
(panel, looked to, decision)
(Superior Court, has, dismissal for improper venue)
(California, of, summary denial)
(panel, looked in, Ylst)
(panel, looked to, last reasoned decision)
(Superior Court, has, decision)
(AEDPA, from, strictures)
(court, thus freed, itself)
(Hinojosa, has, petition for habeas relief)
(court, freed, itself)
(court, granted, Hinojosa 's petition for habeas relief)
(court, granted, Hinojosa 's petition)
(we, said In, Ylst)
(silence, implies, consent)
(courts, behave, affirming)
(courts, generally behave, affirming without discussion)
(courts, affirming without, further discussion)
(courts, generally behave accordingly, affirming without further discussion)
(courts, generally behave accordingly, affirming)
(courts, behave accordingly, affirming)
(courts, behave, affirming without discussion)
(courts, behave accordingly, affirming without further discussion)
(We, adopted, presumption)
(courts, affirming without, discussion)
(courts, generally behave, affirming without further discussion)
(courts, behave, affirming without further discussion)
(courts, generally behave, affirming)
(courts, behave accordingly, affirming without discussion)
(courts, generally behave accordingly, affirming without discussion)
(evidence, can refute, it)
(strong evidence, can refute, it)
(we, make, presumption irrebuttable)
(It, is, refuted)
(It, is, amply refuted)
(It, is, refuted here)
(It, is, amply refuted here)
(Hinojosa, writ of, habeas corpus)
(Hinojosa, original writ of, habeas corpus)
(State Supreme Court, has, denial)
(It, quite rested upon, ground)
(It, rested upon, ground)
(It, quite obviously rested upon, different ground)
(It, obviously rested upon, ground)
(It, quite obviously rested upon, ground)
(It, obviously rested upon, different ground)
(It, quite rested upon, different ground)
(It, rested upon, different ground)
(Ylst 's look-through approach, is, inapplicable)
(Ylst 's look-through approach, is, therefore inapplicable)
(Ylst 's approach, is, therefore inapplicable)
(Ylst, has, look-through approach)
(Ylst 's approach, is, inapplicable)
(Hinojosa, resists, conclusion)
(California, of, summary denial of petition)
(Hinojosa, of, petition)
(California 's summary denial, Court of was, therefore merits)
(Supreme Court, was on, merits)
(Supreme Court, was on, therefore merits)
(California 's summary denial, Court of was, merits)
(AEDPA, through, deferential lens)
(Hinojosa, has, ex post facto claim through deferential lens)
