(UNITED STATES, v. OCASIO is, 2016)
(October 6 2015, Decided at_time, May 2 2016)
(other officers, routed vehicles from, accident scenes)
(officers, routed vehicles in, exchange for payments from shopowners)
(other officers, routed vehicles from, accident scenes to auto repair shop)
(he, routed, damaged vehicles)
(he, routed vehicles from, accident scenes)
(he, routed vehicles in, exchange for payments)
(other officers, routed, damaged vehicles)
(other officers, routed vehicles in, exchange)
(officers, routed vehicles from, accident scenes to auto repair shop)
(other officers, routed, vehicles)
(he, routed, vehicles)
(officers, routed vehicles in, exchange for payments)
(officers, routed, vehicles)
(he, routed vehicles from, accident scenes to auto repair shop)
(he, routed vehicles in, exchange for payments from shopowners)
(officers, routed vehicles in, exchange)
(other officers, routed vehicles in, exchange for payments)
(officers, routed, damaged vehicles)
(he, routed vehicles in, exchange)
(officers, routed vehicles from, accident scenes)
(other officers, routed vehicles in, exchange for payments from shopowners)
(Petitioner, was, charged)
(Petitioner, was charged in, violation of 18 U. S. C. § 371)
(Petitioner, was charged in, violation of Hobbs Act)
(Petitioner, was, charged in violation in violation of 18 U. S. C. § 371)
(Petitioner, was charged in, violation)
(Petitioner, was charged in, violation)
(Petitioner, was, charged in violation of Hobbs Act in violation)
(Petitioner, obtaining, money)
(Petitioner, obtaining money from, shopowners)
(Petitioner, obtaining money under, color of right)
(Petitioner, obtaining money under, color)
(Petitioner, obtaining money under, color of official right)
(Petitioner, was, charged in violation in violation)
(Petitioner, was, charged in violation of Hobbs Act in violation of 18 U. S. C. § 371)
(District Court, rejected, petitioner 's argument)
(petitioner, has, argument)
(Petitioner, was convicted on, counts)
(Petitioner, challenges, his conspiracy conviction)
(Petitioner, now challenges, his conspiracy conviction)
(agreement, is with, owner of property)
(he, reached, agreement with owner)
(defendant, may, may convicted)
(he, reached, agreement with owner of property)
(he, reached, agreement)
(it, crime to, conspire)
(petitioner, was, convicted)
(Section 371, has, use of term)
(conspiracy, characteristic of is, under established case law joint commitment)
(characteristic, is, commitment)
(conspiracy, characteristic of is, under case law commitment)
(fundamental characteristic, is, joint commitment)
(conspiracy, fundamental characteristic of is, under case law joint commitment)
(fundamental characteristic, is commitment under, case law)
(conspiracy, characteristic of is, joint commitment)
(conspiracy, fundamental characteristic of is, joint commitment)
(fundamental characteristic, is, commitment)
(fundamental characteristic, is commitment under, established case law)
(conspiracy, fundamental characteristic of is, commitment)
(conspiracy, fundamental characteristic of is, under case law commitment)
(characteristic, is commitment under, case law)
(fundamental characteristic, is joint commitment under, case law)
(characteristic, is, joint)
(conspiracy, fundamental characteristic of is, under established case law joint commitment)
(conspiracy, characteristic of is, commitment)
(fundamental characteristic, is joint commitment under, established case law)
(characteristic, is joint commitment under, case law)
(characteristic, is commitment under, established case law)
(conspiracy, characteristic of is, under established case law commitment)
(characteristic, is joint commitment under, established case law)
(characteristic, is, joint commitment)
(conspiracy, characteristic of is, under case law joint commitment)
(conspiracy, fundamental characteristic of is, under established case law commitment)
(underlying crime, be committed by, member)
(underlying crime, be committed by, member of conspiracy)
