(March 22 2017, Decided at_time, May 30 2017)
(Los Angeles County Sheriff 's Department, received, word)
(parolee-at-large, been seen at, certain residence)
(Los Angeles County Sheriff 's Department, received word from, informant)
(parolee-at-large, been seen at, residence)
(armed parolee-at-large, been seen at, residence)
(Los Angeles County Sheriff 's Department, received word from, confidential informant)
(Los Angeles County Sheriff, has, Department)
(parolee-at-large, been, seen)
(armed parolee-at-large, been seen at, certain residence)
(armed parolee-at-large, been, seen)
(Deputies Conley, searched, back)
(other officers, searched, main house)
(other officers, searched, house)
(officers, searched, main house)
(Pederson, searched, back)
(officers, searched, house)
(deputies, opened, door)
(deputies, opened, door of shack)
(deputies, opened door Without, search warrant)
(Mendez, rose from, bed)
(he, kill, pests)
(Deputy Conley, yelled, Gun)
(deputies, shooting, Mendez times)
(deputies, shooting, Mendez multiple times)
(deputies, opened, fire)
(deputies, immediately opened, fire)
(Mendez, sued, Deputies Conley)
(Garcia, sued Deputies Conley under, 42 U. S. C. § 1983)
(Garcia, sued, Deputies Conley)
(Garcia, pressing, three Fourth Amendment claims)
(Mendez, sued Deputies Conley under, 42 U. S. C. § 1983)
(Garcia, pressing, three Amendment claims)
(District Court, awarded, Mendez damages)
(District Court, awarded Mendez damages On, two claims)
(District Court, awarded, Mendez nominal damages)
(District Court, awarded Mendez damages On, first two claims)
(Ninth Circuit, under, provocation rule)
(court, found On, force claim)
(deputies ' use, was, reasonable)
(provocation, is, Fourth)
(deputies ' use, held, them liable)
(officer, has, otherwise reasonable use of force unreasonable)
(provocation, is, independent)
(court, found On, excessive force claim)
(warrantless entry, violated, clearly established law)
(officers, were, entitled)
(warrantless entry, violated, law)
(officers, were entitled to, qualified immunity)
(entry, violated, clearly established law)
(officers, were entitled to, qualified immunity on knock-and-announce claim)
(warrantless entry, violated, established law)
(officers, were entitled to, immunity on claim)
(officers, were entitled to, immunity on knock-and-announce claim)
(entry, violated, law)
(officers, were entitled to, qualified immunity on claim)
(entry, violated, established law)
(officers, were entitled to, immunity)
(Ninth Circuit, held On, appeal)
(liability, basic notions of, cause)
(liability, basic notions of, proximate cause)
(It, also affirmed, District Court 's application)
(basic notions, support liability without, provocation rule)
(notions, support liability without, provocation rule)
(liability, notions of, proximate cause)
(notions, support, liability)
(District Court, has, application of provocation rule)
(liability, notions of, cause)
(basic notions, support, liability)
(basic notions, support liability without, even provocation rule)
(notions, support liability without, even provocation rule)
(It, affirmed, District Court 's application of provocation rule)
(It, held in, alternative)
(It, also affirmed, District Court 's application of provocation rule)
(It, affirmed, District Court 's application)
(provocation rule, is, incompatible)
(Court, with, excessive force jurisprudence)
(operative question, is in, such cases)
(Amendment violation, was somehow tied to, eventual use)
(Fourth Amendment violation, was tied to, use)
