(UNITED STATES, v. LOCKHART is, 2016)
(November 3 2015, Decided at_time, March 1 2016)
(Petitioner Avondale Lockhart, pleaded, guilty)
(Lockhart, had, conviction for first-degree abuse)
(Lockhart, had, state-court conviction for first-degree abuse)
(inter alia, convictions for, crimes)
(Lockhart, had, conviction for first-degree sexual abuse)
(Lockhart, had, prior conviction for first-degree abuse)
(Lockhart, had, prior conviction for sexual abuse)
(Lockhart, had, prior conviction)
(Lockhart, had, state-court conviction)
(Lockhart, had, conviction for sexual abuse)
(Lockhart, had, state-court conviction for first-degree sexual abuse)
(Lockhart, had, prior state-court conviction for first-degree abuse)
(Lockhart, had, conviction)
(he, was, subject)
(Lockhart, had, prior conviction for abuse)
(Lockhart, had, prior state-court conviction for sexual abuse)
(Lockhart, had, prior state-court conviction for first-degree sexual abuse)
(Lockhart, had, prior state-court conviction for abuse)
(Lockhart, had, prior state-court conviction)
(Lockhart, had, state-court conviction for sexual abuse)
(Lockhart, had, state-court conviction for abuse)
(Lockhart, had, prior conviction for first-degree sexual abuse)
(Lockhart, had, conviction for abuse)
(involving, minor or ward applied to, three state crimes)
(his prior conviction, involving, minor applied to three state crimes)
(his prior conviction, involving, applied to three state crimes)
(his conviction, involving, applied to three state crimes)
(his conviction, involving, minor applied to three state crimes)
(involving, applied to, three state crimes)
(involving, minor applied to, three state crimes)
(District Court, applied, minimum)
(District Court, applied, mandatory minimum)
(Lockhart 's conviction, is, encompassed)
(Lockhart, has, prior conviction)
(Lockhart 's conviction, is encompassed by, 2)
(Lockhart 's prior conviction, is, encompassed)
(Lockhart 's prior conviction, is encompassed by, 2)
(natural reading, supports, conclusion)
(reading, supports, conclusion)
(it, follows, phrase)
(it, immediately follows, phrase)
(clause, be, read)
(limiting clause, be, read)
(clause, be, ordinarily read)
(limiting clause, be, ordinarily read)
(rule, be overcome by, other indicia of meaning)
(rule, be overcome by, indicia)
(rule, be, overcome)
(§ 2252, has, context)
(rule, be overcome by, other indicia)
(rule, be overcome by, indicia of meaning)
(enhancement, be, can also triggered by inter alia)
(sexual abuse offense, enumerated in, Chapter 109A Federal Criminal Code)
(prior federal sexual abuse offense, enumerated in, Chapter 109A Federal Criminal Code)
(federal abuse offense, enumerated in, Chapter 109A)
(abuse offense, enumerated in, Chapter 109A Federal Criminal Code)
(enhancement, be, can triggered by inter alia)
(federal sexual abuse offense, enumerated in, Chapter 109A)
(prior federal abuse offense, enumerated in, Chapter 109A Federal Criminal Code)
(prior federal abuse offense, enumerated in, Chapter 109A)
(sexual abuse offense, enumerated in, Chapter 109A)
(federal sexual abuse offense, enumerated in, Chapter 109A Federal Criminal Code)
(abuse offense, enumerated in, Chapter 109A)
(enhancement, be, can triggered)
(prior sexual abuse offense, enumerated in, Chapter 109A)
(prior abuse offense, enumerated in, Chapter 109A Federal Criminal Code)
(enhancement, be, can also triggered)
(prior abuse offense, enumerated in, Chapter 109A)
(prior federal sexual abuse offense, enumerated in, Chapter 109A)
(prior sexual abuse offense, enumerated in, Chapter 109A Federal Criminal Code)
(federal abuse offense, enumerated in, Chapter 109A Federal Criminal Code)
(headings, is in, Chapter 109A mirror)
