(October 13 2015, Decided at_time, January 25 2016)
(Petitioner Montgomery, was old, 17 years)
(Petitioner Montgomery, was, old)
(jury, returned, verdict)
(Montgomery, was taken into, custody)
(Court, decided, taken into custody)
(Eighth Amendment 's prohibition, mandatory life without, parole for homicide offenders)
(Eighth Amendment 's prohibition, life without, parole for homicide offenders)
(Eighth Amendment 's prohibition, mandatory life without, parole for juvenile homicide offenders)
(Court, decided, taken)
(Eighth Amendment, has, prohibition)
(Eighth Amendment 's prohibition, life without, parole for juvenile homicide offenders)
(Montgomery, was, taken)
(life, violates, Eighth Amendment 's prohibition)
(Eighth Amendment 's prohibition, mandatory life without, parole)
(mandatory life, violates, Eighth Amendment 's prohibition)
(Eighth Amendment 's prohibition, life without, parole)
(Miller, rendered, his mandatory sentence illegal)
(Miller, rendered, his sentence illegal)
(Miller, rendered, his life-without-parole sentence illegal)
(Miller, rendered, his mandatory life-without-parole sentence illegal)
(Montgomery, sought, state collateral relief)
(his application, was, denied)
(trial court, denied, his motion)
(Court, has, jurisdiction decide)
(Louisiana Supreme Court, give, effect)
(Louisiana Supreme Court, give, retroactive effect)
(Louisiana Supreme Court, give effect to, Miller)
(Teague, set, forth framework)
(Teague, set, framework for retroactive application of new constitutional rule)
(Teague, set, framework for application of new constitutional rule)
(Teague, set, framework for application of rule)
(Teague, set, forth framework for application of new rule)
(Teague, set, forth framework for retroactive application of constitutional rule)
(Teague, set, forth framework for application of new constitutional rule)
(Teague, set, framework for application)
(Teague, set, framework for retroactive application)
(Teague, set, forth framework for retroactive application)
(Teague, set, forth framework for application)
(Teague, set, framework for application of new rule)
(Teague, set, framework for retroactive application of constitutional rule)
(Teague, set, framework)
(Teague, set, forth framework for application of rule)
(Teague, set, forth framework for retroactive application of rule)
(Teague, set, framework for retroactive application of rule)
(Teague, set, framework for application of constitutional rule)
(Teague, set, forth framework for application of constitutional rule)
(Teague, set, framework for retroactive application of new rule)
(Teague, set, forth framework for retroactive application of new rule)
(Teague, set, forth framework for retroactive application of new constitutional rule)
(courts, give effect to, rules of law)
(courts, give effect to, new watershed procedural rules)
(courts, give effect to, substantive rules of constitutional law)
(courts, give effect to, watershed rules)
(courts, give, retroactive effect)
(courts, give effect to, procedural rules)
(courts, give, effect)
(courts, give effect to, new procedural rules)
(courts, give effect to, new watershed rules)
(courts, give effect to, rules of constitutional law)
(courts, give effect to, new rules)
(courts, give effect to, watershed procedural rules)
(courts, give effect to, substantive rules of law)
(courts, give effect to, substantive rules)
(courts, give effect to, rules)
(courts, give effect to, rules)
(prohibiting, category of, punishment)
(rules, prohibiting, category for class of defendants)
(rules, prohibiting, category)
(forbidding, criminal punishment of, primary conduct)
(rules, prohibiting, certain category of punishment)
(prohibiting, category for, class of defendants)
(forbidding, criminal punishment of, certain primary conduct)
(rules, prohibiting, certain category of punishment for class)
(rules, prohibiting, certain category of punishment for class of defendants)
(forbidding, punishment of, primary conduct)
(forbidding, criminal punishment of, conduct)
(prohibiting, certain category of, punishment)
(forbidding, criminal punishment of, certain conduct)
(rules, prohibiting, category of punishment for class of defendants)
(rules, include, rules)
(rules, include, rules)
(rules, prohibiting, category for class)
(prohibiting, category for, class)
(rules, include rules because of, their status)
(rules, include rules because of, their status)
(forbidding, punishment of, certain conduct)
(rules, prohibiting, category of punishment)
(forbidding, punishment of, conduct)
(rules, prohibiting, certain category for class)
(rules, prohibiting, certain category)
(rules, prohibiting, certain category for class of defendants)
(prohibiting, certain category for, class)
(forbidding, punishment of, certain primary conduct)
(prohibiting, certain category for, class of defendants)
(rules, prohibiting, category of punishment for class)
(Teague, was interpretation of, federal habeas statute)
(Teague, was interpretation of, habeas statute)
(Teague, was, interpretation)
(States, are, required)
(outcome, rule of, constitutional law)
(rule, controls, outcome)
(new rule, controls, outcome)
(state collateral review courts, give, retroactive effect)
(outcome, new rule of, law)
(Constitution, requires, state collateral review courts)
(new substantive rule, controls, outcome of case)
(substantive rule, controls, outcome)
(rule, controls, outcome of case)
(outcome, new rule of, constitutional law)
(outcome, substantive rule of, law)
(outcome, rule of, law)
(outcome, new substantive rule of, constitutional law)
(state collateral review courts, give, effect)
(new rule, controls, outcome of case)
(substantive rule, controls, outcome of case)
