(SAMUELS ET AL., v. BRUCE is, 2016)
(November 4 2015, Decided at_time, January 12 2016)
(prisoners, nonetheless pay, partial filing fee set as 20 percent of greater)
(average monthly deposits, is in, prisoner 's account)
(prisoners, pay, initial filing fee set)
(prisoners, nonetheless pay, filing fee set as 20 percent of greater)
(prisoners, pay, partial filing fee set as 20 percent of greater)
(prisoners, pay, initial partial filing fee set as 20 percent of greater)
(prisoners, pay, initial partial filing fee set)
(prisoners, pay, initial partial filing fee)
(prisoners, nonetheless pay, initial filing fee set)
(prisoners, nonetheless pay, partial filing fee)
(prisoners, pay, initial filing fee)
(prisoners, nonetheless pay, initial partial filing fee set)
(prisoner, in, account)
(prisoners, pay, filing fee set as 20 percent)
(prisoners, nonetheless pay, filing fee set)
(prisoners, nonetheless pay, partial filing fee set)
(prisoners, nonetheless pay, initial filing fee)
(prisoners, pay, filing fee)
(prisoners, nonetheless pay, initial partial filing fee set as 20 percent)
(prisoners, nonetheless pay, filing fee set as 20 percent)
(prisoners, pay, filing fee set as 20 percent of greater)
(prisoners, nonetheless pay, initial partial filing fee)
(prisoners, pay, initial partial filing fee set as 20 percent)
(prisoners, pay, partial filing fee set as 20 percent)
(prisoners, pay, filing fee set)
(prisoners, nonetheless pay, initial filing fee set as 20 percent of greater)
(prisoners, nonetheless pay, partial filing fee set as 20 percent)
(prisoners, pay, partial filing fee)
(prisoners, nonetheless pay, initial filing fee set as 20 percent)
(prisoners, pay, initial filing fee set as 20 percent of greater)
(prisoners, nonetheless pay, initial partial filing fee set as 20 percent of greater)
(prisoners, nonetheless pay, filing fee)
(prisoners, pay, partial filing fee set)
(prisoners, pay, initial filing fee set as 20 percent)
(They, must pay remainder in, monthly installments of 20 percent of preceding month 's income)
(They, must pay remainder in, installments of 20 percent of preceding month 's income)
(They, must pay remainder in, installments of 20 percent of month 's income)
(They, credited to, prisoner 's account)
(They, must pay, remainder)
(prisoner, to, account)
(They, must pay remainder in, monthly installments)
(They, must pay remainder in, monthly installments of 20 percent)
(preceding month, of, income)
(They, must pay, remainder of fee)
(They, must pay remainder in, monthly installments of 20 percent of month 's income)
(They, must pay remainder in, installments)
(They, must pay remainder in, installments of 20 percent)
(prisoner, i.e. files lawsuit at_time, time)
(prisoner, files lawsuit at_time, time)
(calculation, is In, contest)
(Bruce 's payments, were due simultaneously with, payments)
(Bruce 's monthly payments, were due simultaneously with, payments in earlier cases)
(Bruce 's monthly payments, were due with, payments)
(Bruce 's payments, were due simultaneously with, monthly payments in cases)
(Bruce 's payments, were due with, monthly payments)
(Bruce 's monthly payments, were due with, payments in cases)
(Bruce, has, monthly payments)
(Bruce 's payments, were due simultaneously with, payments in cases)
(Bruce 's monthly payments, were, due simultaneously)
(Bruce 's monthly payments, were due with, monthly payments in cases)
(Bruce 's payments, were due with, monthly payments in earlier cases)
(Bruce 's monthly payments, were, due)
(Bruce 's payments, were, due simultaneously)
(Bruce 's monthly payments, were due with, monthly payments)
(Bruce 's monthly payments, were due with, monthly payments in earlier cases)
(Bruce 's monthly payments, were due simultaneously with, monthly payments in cases)
(Bruce 's payments, were due with, payments)
(Bruce 's payments, were due simultaneously with, monthly payments in earlier cases)
(Bruce 's monthly payments, were due simultaneously with, payments)
(Bruce 's monthly payments, were due simultaneously with, payments in cases)
(Bruce 's monthly payments, were due with, payments in earlier cases)
(Bruce 's payments, were due with, payments in cases)
(monthly payments, is in, earlier cases)
(Bruce 's payments, were due simultaneously with, payments in earlier cases)
(Bruce 's payments, were due simultaneously with, monthly payments)
(Bruce 's payments, were, due)
(D. C. Circuit, disagreed, holding)
(Bruce 's payments, were due with, monthly payments in cases)
(Bruce 's payments, were due with, payments in earlier cases)
(Bruce 's monthly payments, were due simultaneously with, monthly payments in earlier cases)
(Bruce 's monthly payments, were due simultaneously with, monthly payments)
(filing fees, are, paid)
(payments, be forwarded to, clerk)
(he, would pay, 20 percent of his monthly income)
(payments, be forwarded to, clerk of court)
(payments, be, forwarded)
(nouns, appear in, b)
(he, would pay, 20 percent of his income)
(he, would pay, 20 percent)
(clerk, receive payment at_time, month)
(Government, urges approach In, contrast)
(Government, urges, per-case approach)
(Government, urges, approach)
(it, treat paragraph 's, payments)
(it, treat, paragraph)
(it, treat paragraph 's, subsequent payments)
(it, be, anomalous)
(it, treat paragraph 's, monthly payments)
(it, treat paragraph 's, subsequent monthly payments)
(b Section 1915, has, text)
(its provision, calls for, monthly 20 percent payments for action pursued)
(its allied provision, calls for, 20 percent payments for action pursued)
(its allied provision, calls for, monthly 20 percent payments simultaneously for action pursued)
(its provision, so calls for, monthly 20 percent payments simultaneously for action pursued)
(its allied provision, so calls for, monthly 20 percent payments for action pursued)
(its allied provision, so calls for, 20 percent payments simultaneously for action pursued)
(its provision, so calls for, 20 percent payments simultaneously for action pursued)
(its allied provision, calls for, monthly 20 percent payments for action pursued)
(prisoner, brings action at_time, time)
(its provision, calls for, 20 percent payments simultaneously for action pursued)
(its provision, so calls for, monthly 20 percent payments for action pursued)
(its provision, calls for, monthly 20 percent payments simultaneously for action pursued)
(its allied provision, calls for, 20 percent payments simultaneously for action pursued)
(its allied provision, so calls for, 20 percent payments for action pursued)
(prisoner, files, appeal)
(its provision, so calls for, 20 percent payments for action pursued)
(its provision, calls for, 20 percent payments for action pursued)
(its allied provision, so calls for, monthly 20 percent payments simultaneously for action pursued)
(subsection, is written from, perspective)
(subsection, is written from, perspective of single case)
(whole, as subsection is, b)
(subsection, is, written)
(subsection, is written from, perspective of case)
(GINSBURG, delivered, opinion)
(GINSBURG, delivered opinion for, Court)
(GINSBURG, delivered opinion for, unanimous Court)
(opinion, is subject to, revision in print of United States Reports)
(opinion, is subject to, formal revision in preliminary print)
(opinion, is subject to, revision)
(opinion, is subject to, formal revision)
(opinion, is subject to, revision in print)
(opinion, is subject to, formal revision before publication)
(opinion, is subject to, formal revision in print of United States Reports)
(formal revision, is in, preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in print of United States Reports)
(opinion, is subject to, revision before publication)
(opinion, is subject to, formal revision in print)
(opinion, is, subject)
(opinion, is subject to, revision in preliminary print)
(opinion, is subject to, revision before publication in print)
(opinion, is subject to, formal revision in preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print of United States Reports)
(opinion, is subject to, revision in preliminary print of United States Reports)
(opinion, is subject to, formal revision before publication in print)
(opinion, is subject to, revision before publication in print of United States Reports)
(opinion, is subject to, formal revision before publication in preliminary print of United States Reports)
(Readers, notify, Reporter)
(Readers, notify, Reporter of Decisions)
(Supreme Court, is in, order)
(Readers, are, requested)
(typographical formal errors, of States is, Washington)
(typographical formal errors, of States is, D. C. 20543)
(ANTOINE BRUCE, PETITIONER v., CHARLES E. SAMUELS)
(JUSTICE GINSBURG, delivered, opinion of Court)
