(Sergeant Randy Baker, is with, warrant for his arrest)
(Baker, approached, Leija 's car)
(Leija, has, car)
(Baker, informed, him)
(Leija, headed for, Interstate 27)
(he, was under, arrest)
(Baker, was joined by, Trooper Gabriel Rodriguez)
(Baker, was quickly joined by, Trooper Gabriel Rodriguez)
(Baker, was joined by, Trooper Gabriel Rodriguez of Texas Department of Public Safety)
(Baker, gave, chase)
(Baker, was, joined)
(Baker, was joined by, Trooper Gabriel Rodriguez of Texas Department)
(Baker, was quickly joined by, Trooper Gabriel Rodriguez of Texas Department of Public Safety)
(Baker, was quickly joined by, Trooper Gabriel Rodriguez of Texas Department)
(Baker, was, quickly joined)
(Leija, entered, interstate)
(Leija, led officers on, 18-minute chase at speeds)
(Leija, led officers on, 18-minute chase)
(Leija, led, officers)
(Leija, led officers on, chase at speeds)
(Leija, led officers on, chase)
(Leija, called during, chase)
(Leija, called Tulia Police dispatcher during, chase)
(Leija, called during, Twice chase)
(Leija, called Tulia Police dispatcher during, Twice chase)
(Leija, called, Tulia Police dispatcher)
(dispatcher, relayed, Leija 's threats)
(Leija, has, threats)
(Baker, maintained, their pursuit)
(law enforcement officers, set up, tire spikes)
(law enforcement officers, set up tire spikes at, three locations)
(Rodriguez, maintained, their pursuit)
(other law enforcement officers, set up, tire spikes)
(other law enforcement officers, set up tire spikes at, three locations)
(Officer Troy Ducheneaux, manned spike strip at, first location Leija)
(Officer Troy Ducheneaux, manned spike strip at, location Leija)
(Officer Troy Ducheneaux, manned, spike strip)
(Officer Troy Ducheneaux, manned spike strip beneath, overpass at Cemetery Road)
(Officer Troy Ducheneaux, manned spike strip beneath, overpass)
(Ducheneaux, had received, training on deployment of strips)
(Ducheneaux, had received, training on deployment of spike strips)
(Ducheneaux, had received, training on deployment of strips including)
(Ducheneaux, had received, training on deployment)
(Ducheneaux, had received, training on deployment of spike strips including)
(Ducheneaux, had received, training)
(He, drove to, Cemetery Road overpass)
(Mullenix, began Upon, learning)
(Mullenix, began Upon, learning of spike strip positions)
(Mullenix, however began Upon, learning)
(Mullenix, began Upon, learning of other spike strip positions)
(Mullenix, began, consider)
(Leija, at, car)
(Mullenix, however began, consider)
(Mullenix, however began Upon, learning of spike strip positions)
(Mullenix, however began Upon, learning of other spike strip positions)
(he, radioed idea to, Rodriguez)
(he, radioed, idea)
(Rodriguez, responded, 10-4)
(DPS dispatcher, inform, his supervisor)
(Mullenix, asked, DPS dispatcher)
(Byrd, has, response)
(Mullenix, receiving, Byrd 's response)
(Mullenix, exited, his vehicle)
(Mullenix, armed with, his service rifle)
(Byrd, has, response)
(Mullenix, still hear, Byrd 's response to stand by see)
(Mullenix, hear, Byrd 's response to stand by see)
(Mullenix, still hear, Byrd 's response to stand)
(Mullenix, hear, Byrd 's response to stand)
(Mullenix 's plan, shoot, vehicle)
(he, discussed, Mullenix waited)
(Mullenix 's plan, shoot vehicle to, best)
(Mullenix, has, plan)
(Mullenix, waited, Leija arrive)
(Randall County Sheriff, has, Deputy Tom Shipman)
(Shipman, also informed, Mullenix)
(Shipman, informed, Mullenix)
(Rodriguez, is in, pursuit)
(Leija 's vehicle, is with, Rodriguez in pursuit)
(Leija, has, vehicle with Rodriguez in pursuit)
(he, spotted, Leija 's vehicle with Rodriguez)
(he, spotted, Leija 's vehicle with Rodriguez in pursuit)
(Mullenix, took up, his position)
(Mullenix, took up, his shooting position)
(he, spotted, Leija 's vehicle)
(Mullenix, fired, six shots)
(Leija, approached, overpass)
(Leija, has, car)
(Leija 's car, rolled, times)
(Leija 's car, rolled, half times)
(Leija 's car, hit, median)
(it, engaged, spike strip)
(four, struck, his body)
(Leija, been, killed)
(It, was, later)
(Mullenix, by, shots)
(four, struck, his upper body)
(Mullenix, of, shots)
(Respondents, sued Mullenix under, Rev. Stat)
(Respondents, sued, Mullenix)
(he, using, force)
(he, using, excessive force against Leija)
(he, using, excessive force)
(he, violated, Amendment)
(he, violated, Fourth Amendment)
(he, using, force against Leija)
(District Court, denied, his motion)
(t, acted as, peace officer would have acted in same circumstances)
(Mullenix, moved on, ground)
(t, acted as, trained peace officer would have acted)
(t, are, genuine issues)
(Mullenix, moved on, ground of immunity)
(t, are issues of, fact Trooper Mullenix acted recklessly)
(t, acted as, trained peace officer would have acted in circumstances)
(t, acted as, peace officer would have acted)
(t, acted as, trained peace officer would have acted in same circumstances)
(t, are genuine issues of, fact Trooper Mullenix acted)
(t, acted as, peace officer would have acted in circumstances)
(t, are, issues)
(Mullenix, moved on, ground of qualified immunity)
(t, are genuine issues of, fact Trooper Mullenix acted recklessly)
(t, are issues of, fact Trooper Mullenix acted)
(immediacy, is, disputed fact)
(jury, find in, plaintiffs ' favor)
(court, precluding, us)
(Mullenix, acted objectively reasonably as, matter of law)
(officer, in, favor)
(risk, immediacy of is, disputed fact)
(court, agreed with, District Court)
(Mullenix, acted as, matter)
(jury, find in, officer 's favor)
(Mullenix, acted reasonably as, matter)
(Mullenix, acted objectively reasonably as, matter)
(Mullenix, acted as, matter of law)
(reasonable jury, find in, plaintiffs ' favor)
