(UNITED STATES, v. MCFADDEN is, 2015)
(April 21 2015, Decided at_time, June 18 2015)
(21 U. S. C. § 802, identifies, category of substances substantially similar to those)
(21 U. S. C. § 802, identifies, category similar to those listed on substances schedules)
(I, controlled substances, intended for consumption)
(21 U. S. C. § 802, identifies, category substantially similar to those listed on controlled substances schedules)
(21 U. S. C. § 802, identifies, category similar)
(21 U. S. C. § 802, identifies, category of substances substantially similar)
(I, controlled, substances)
(Petitioner McFadden, was arrested, § 813)
(21 U. S. C. § 802, identifies, category substantially similar to those listed on federal controlled substances schedules)
(21 U. S. C. § 802, identifies, category substantially similar to those)
(21 U. S. C. § 802, identifies, category substantially similar to those listed on federal substances schedules)
(I, controlled substances, intended for human consumption)
(21 U. S. C. § 802, identifies, category similar to those listed on federal controlled substances schedules)
(21 U. S. C. § 802, identifies, category of substances substantially similar to those listed on federal controlled substances schedules)
(21 U. S. C. § 802, identifies, category of substances similar to those listed on controlled substances schedules)
(21 U. S. C. § 802, identifies, category similar to those listed on federal substances schedules)
(21 U. S. C. § 802, identifies, category similar to those)
(they, are intended for, human consumption)
(21 U. S. C. § 802, identifies, category substantially similar to those listed on substances schedules)
(21 U. S. C. § 802, identifies, category of substances similar to those listed on federal controlled substances schedules)
(21 U. S. C. § 802, identifies, category of substances similar to those listed on substances schedules)
(they, are intended for, consumption)
(21 U. S. C. § 802, identifies, category substantially similar)
(21 U. S. C. § 802, identifies, category of substances substantially similar to those listed on substances schedules)
(21 U. S. C. § 802, identifies, category of substances substantially similar to those listed on controlled substances schedules)
(21 U. S. C. § 802, identifies, category of substances similar to those)
(21 U. S. C. § 802, identifies, category of substances similar to those listed on federal substances schedules)
(21 U. S. C. § 802, identifies, category of substances substantially similar to those listed)
(courts, treat, analogues)
(21 U. S. C. § 802, identifies, category of substances similar)
(21 U. S. C. § 802, identifies, category similar to those listed)
(21 U. S. C. § 802, identifies, category of substances)
(21 U. S. C. § 802, identifies, category similar to those listed on controlled substances schedules)
(21 U. S. C. § 802, identifies, category substantially similar to those listed)
(21 U. S. C. § 802, identifies, category of substances similar to those listed)
(I, controlled substances, intended)
(category similar, instructs, courts)
(Petitioner McFadden, was, arrested)
(they, are, intended)
(21 U. S. C. § 802, identifies, category of substances substantially similar to those listed on federal substances schedules)
(category, instructs, courts)
(21 U. S. C. § 802, identifies, category)
(substance, is with, substantially similar effects on central nervous system as controlled substance)
(it, need only find, that)
(it, need find, that)
(McFadden, was, convicted)
(Circuit, affirmed, holding)
(Analogue Act 's intent element, required, proof)
(substance, be consumed by, humans)
(McFadden, intended, consumed by humans)
(Analogue Act 's intent element, required, only proof)
(substance, be, consumed)
(McFadden, intended, substance)
(McFadden, intended, consumed)
(Fourth Circuit, affirmed, holding)
(Analogue Act, has, intent element)
(he, dealing with, substance regulated)
(he, dealing with, substance)
(he, dealing with, substance regulated under Controlled Substances Act)
(one, must look to, CSA)
(ordinary meaning, requires, defendant)
(substance, listed on, drug schedules)
(meaning, requires, defendant)
(substance, listed on, federal drug schedules)
(unspecified substance, listed on, federal drug schedules)
(unspecified substance, listed on, drug schedules)
(he, distributing, substance listed)
(he, distributing, substance)
(he, distributing, substance listed on schedules)
(analogue, is in, fact)
(CSA, has, mental-state requirement)
(Analogue Act, extends, that)
(Government, prove in, prosecutions dealing with analogues)
(Government, prove in, prosecutions)
(Government, prove in, even prosecutions dealing)
(Government, prove in, even prosecutions dealing with analogues)
(Government, prove in, prosecutions dealing)
(substance, was, controlled)
(Government, prove in, even prosecutions)
(knowledge requirement, can, can established in two ways by evidence)
(substance, has, identity)
(knowledge requirement, can, can established)
(knowledge requirement, can, can established in two ways)
(defendant, is with, knowledge of features defining as controlled substance analogue)
(knowledge, with defendant is, §)
(conclusion, is, inconsistent)
(conclusion, is inconsistent with, text)
(conclusion, is inconsistent with, text of statutes)
(Government, has, interpretation fares any better)
(he, dealing with, controlled substance)
(Government, has, contention)
(he, dealing with, substance)
(it, fall within, scope)
(substance, has, features)
(it, fall within, scope of Analogue Act)
(fact, can, can established)
(fact, can, can established in two ways identified)
(fact, can, can established in two ways)
(substance, is, controlled)
(fact, can, can established in two ways previously identified)
(McFadden, Contrary to, submission)
(scienter requirement, adopted, even ambiguous)
(Court, under, precedents)
(scienter requirement, alleviate, s vagueness concerns)
