(UNITED STATES, v. ELONIS is, 2015)
(December 1 2014, Decided at_time, June 1 2015)
(imagery, language concerning, kindergarten class)
(petitioner Anthony Douglas Elonis Tone Dougie, used, networking Web site)
(imagery, graphically violent language concerning, kindergarten class)
(petitioner Anthony Douglas Elonis, used, networking Web site)
(his wife, left, him)
(his, wife, co-workers)
(imagery, violent language concerning, his wife)
(petitioner Anthony Douglas Elonis, used, social networking Web site)
(imagery, violent language concerning, kindergarten class)
(imagery, language concerning, his wife)
(petitioner Anthony Douglas Elonis Tone Dougie, used, social networking Web site)
(his, wife, kindergarten class)
(imagery, violent language concerning, co-workers)
(imagery, graphically violent language concerning, co-workers)
(imagery, graphically violent language concerning, his wife)
(imagery, language concerning, co-workers)
(posts, were, often interspersed)
(posts, were interspersed with, disclaimers)
(Elonis, exercising, his First Amendment rights)
(posts, were often interspersed with, disclaimers)
(posts, were, interspersed)
(Elonis 's former employer, informed, Federal Bureau of Investigation of posts)
(agency, arrested, him)
(Elonis 's former employer, informed, Federal Bureau)
(Elonis, has, Facebook activity)
(Elonis 's former employer, informed, Federal Bureau of Investigation)
(Elonis, has, former employer)
(agency, eventually arrested, him)
(agency, monitoring, Elonis 's Facebook activity)
(He, was, charged)
(Elonis, requested, jury instruction)
(Government, was required, prove)
(Elonis, requested jury instruction At, trial)
(Government, was, required)
(he, communicate, true threat)
(he, communicate, threat)
(Elonis, be found, guilty)
(his statements, be, interpreted)
(Elonis, be found, person would foresee)
(Elonis, be found, reasonable person would foresee)
(his statements, be interpreted as, threat)
(Elonis, be, found)
(District Court, told, jury)
(District Court, Instead told, jury)
(Elonis, was, convicted)
(Elonis, renewed, his jury instruction challenge on appeal)
(Elonis, renewed, his jury instruction challenge)
(person, would view as, threat)
(reasonable person, would view as, threat)
(Third Circuit, affirmed, holding)
(Third Circuit, has, instruction requiring with communication of threat)
(d, preclude, courts)
(requirement, is in, Section 875)
(he, can, can found)
(rule, reflects, principle)
(rule, reflects, basic principle)
(defendant, must, must blameworthy in mind)
(defendant, must, must blameworthy)
(wrongdoing, be, conscious)
(mind, is necessary element in, indictment of crime)
(guilty mind, is, element)
(necessary element, is in, indictment of crime)
(mind, is, necessary element)
(mind, is, necessary)
(mind, is, element)
(mind, is element in, indictment of crime)
(guilty mind, is necessary element in, indictment of crime)
(guilty mind, is, necessary element)
(guilty mind, is element in, indictment of crime)
(statutes, are, generally interpreted)
(criminal statutes, are, Thus generally interpreted)
(criminal statutes, are, generally interpreted)
(criminal statutes, are, interpreted)
(statutes, are, interpreted)
(statutes, are, Thus interpreted)
(criminal statutes, are, Thus interpreted)
(statutes, are, Thus generally interpreted)
(defendant, must have, knowledge)
(his conduct, fit, definition)
(his conduct, fit, definition of offense)
(defendant act, is, knowingly sufficient)
(statute, require, intent)
(defendant act, is, sufficient)
(statute, require, specific intent)
(presumption, is in, favor of scienter requirement)
(72, at Video is, 513 U. S.)
(it, contained, threat)
(communication, was, transmitted)
(crucial element, is, at 73 threatening nature of communication)
(crucial element, id. is nature at, 73)
(element, id. is nature of, communication)
(element, is threatening nature of, communication)
(state requirement, must apply, at 73 threatening nature of communication)
(element, separating, innocence)
(state requirement, must apply, nature)
(crucial element, separating legal innocence from, conduct)
(crucial element, is, nature)
(element, id. is threatening nature of, communication)
(crucial element, is, id. at 73 threatening nature of communication)
(crucial element, id. is threatening nature at, 73)
(state requirement, must apply, id. threatening nature of communication)
(element, is, id. threatening nature)
(crucial element, id. is nature of, communication)
(mental state requirement, must apply, id. nature)
(element, is threatening nature at, 73)
(crucial element, is nature at, 73)
(state requirement, must apply, at 73 nature)
(state requirement, must apply, threatening nature of communication)
(element, is, id. at 73 threatening nature of communication)
(element, separating legal innocence from, conduct)
(crucial element, separating innocence from, conduct)
(crucial element, is, at 73 nature of communication)
(state requirement, must apply, at 73 nature of communication)
(element, is, at 73 threatening nature of communication)
(crucial element, separating innocence from, wrongful conduct)
(element, is, threatening nature)
(element, separating, legal innocence)
(crucial element, separating, legal innocence)
(element, id. is nature at, 73)
(state requirement, must apply, nature of communication)
(state requirement, must apply, id. at 73 nature)
(crucial element, separating, innocence)
(state requirement, must apply, id. at 73 threatening nature of communication)
