(February 28 2017, Decided at_time, April 3 2017)
(Petitioner Dean, committed, two robberies of drug dealers)
(his brother, committed, two robberies of drug dealers)
(his brother, committed, two robberies)
(Petitioner Dean, committed, two robberies)
(victim, is with, gun)
(Dean, premises for, valuables)
(Dean, searched, premises for valuables)
(Dean, searched, premises)
(Dean 's brother, threatened victim During, robbery)
(Dean, has, brother)
(Dean, was, convicted of multiple robbery in violation of 18 U. S. C. § 924)
(Dean, was, convicted of robbery in violation)
(Dean, was, convicted of robbery in violation of 18 U. S. C. § 924)
(Dean, was convicted of, robbery)
(Dean, was convicted in, violation)
(Dean, was, convicted)
(Dean, was convicted of, multiple robbery)
(Dean, was convicted in, violation of 18 U. S. C. § 924)
(Dean, was, convicted of multiple robbery in violation)
(firearm, is in, furtherance of underlying crime)
(first conviction, carries, §)
(conviction, carries, five-year mandatory minimum penalty)
(conviction, carries, minimum penalty)
(conviction, carries, §)
(first conviction, carries, mandatory minimum penalty)
(first conviction, carries, minimum penalty)
(conviction, carries, five-year minimum penalty)
(first conviction, carries, five-year minimum penalty)
(first conviction, carries, five-year mandatory minimum penalty)
(conviction, carries, mandatory minimum penalty)
(his mandatory minimum sentences, impose, sentences)
(his mandatory sentences, impose, one-day sentences)
(his lengthy sentences, impose, sentences)
(his lengthy minimum sentences, impose sentences for, counts)
(his lengthy minimum sentences, impose, one-day sentences)
(his sentences, impose, sentences)
(his lengthy mandatory minimum sentences, impose, sentences)
(his minimum sentences, impose sentences for, counts)
(his mandatory sentences, impose, concurrent one-day sentences)
(his sentences, impose, one-day sentences)
(his lengthy sentences, impose, one-day sentences)
(District Court, consider, his sentences)
(his mandatory sentences, impose sentences for, counts)
(his lengthy mandatory minimum sentences, impose sentences for, counts)
(Dean, urged, District Court)
(his lengthy mandatory sentences, impose, sentences)
(his minimum sentences, impose, concurrent one-day sentences)
(his lengthy minimum sentences, impose, sentences)
(his lengthy mandatory sentences, impose, concurrent sentences)
(his sentences, impose, concurrent one-day sentences)
(Dean, urged District Court At, sentencing)
(his lengthy minimum sentences, impose, concurrent sentences)
(his mandatory minimum sentences, impose, concurrent one-day sentences)
(his lengthy sentences, impose, concurrent one-day sentences)
(his mandatory sentences, impose, sentences)
(his lengthy sentences, impose, concurrent sentences)
(his lengthy mandatory minimum sentences, impose, concurrent one-day sentences)
(his mandatory minimum sentences, impose sentences for, counts)
(District Court, consider, his lengthy sentences)
(his sentences, impose, concurrent sentences)
(his lengthy mandatory minimum sentences, impose, one-day sentences)
(his lengthy sentences, impose sentences for, counts)
(his lengthy mandatory sentences, impose sentences for, counts)
(his mandatory minimum sentences, impose, one-day sentences)
