(UNITED STATES, v. HENDERSON is, 2015)
(February 24 2015, Decided at_time, May 18 2015)
(petitioner Tony Henderson, was, required)
(petitioner Tony Henderson, being, charged)
(petitioner Tony Henderson, was required, charged)
(Henderson, was prohibited as, felon)
(Henderson, ultimately pleaded, guilty)
(Henderson, was prohibited under, 18 U. S. C. § 922)
(Henderson, was, prohibited)
(Henderson, was, as felon prohibited under 18 U. S. C. § 922)
(Henderson, pleaded, guilty)
(Henderson, was prohibited under, g)
(agency, refused, do)
(agency, refused, do so)
(Henderson 's transfer, give, constructive possession)
(Henderson 's transfer, give, possession in violation)
(Henderson 's transfer, give, constructive possession of firearms)
(Henderson, has, requested transfer)
(Henderson 's transfer, give, possession in violation of § 922)
(Henderson 's requested transfer, give, constructive possession in violation of § 922)
(Henderson 's requested transfer, possession in, violation)
(Henderson 's requested transfer, give, constructive possession of firearms in violation)
(Henderson 's transfer, possession in, violation of § 922)
(court, denied, motion)
(Henderson 's transfer, give, constructive possession of firearms in violation of § 922)
(Henderson 's requested transfer, give, constructive possession of firearms)
(Henderson 's requested transfer, give, possession in violation)
(Henderson 's requested transfer, give, constructive possession)
(Henderson 's transfer, give, constructive possession in violation)
(Henderson, filed, motion)
(Henderson 's transfer, constructive possession of, firearms)
(Henderson 's transfer, give, constructive possession in violation of § 922)
(Henderson 's transfer, constructive possession in, violation)
(Henderson 's requested transfer, give, constructive possession in violation)
(court, motion on, ground)
(Henderson 's requested transfer, give, constructive possession of firearms in violation of § 922)
(Henderson 's requested transfer, constructive possession of, firearms)
(Henderson 's requested transfer, give, possession of firearms in violation)
(Henderson 's requested transfer, give, possession of firearms)
(constructive possession, is in, violation of § 922)
(Henderson 's transfer, possession of, firearms)
(Henderson 's requested transfer, give, possession of firearms in violation of § 922)
(Henderson 's transfer, give, him)
(Henderson 's requested transfer, give, possession)
(Henderson 's requested transfer, possession of, firearms)
(Henderson 's transfer, possession in, violation)
(Henderson 's transfer, constructive possession in, violation of § 922)
(Henderson 's transfer, give, constructive possession of firearms in violation)
(Henderson 's requested transfer, possession in, violation of § 922)
(court, denied, motion on ground)
(Henderson 's transfer, give, possession of firearms)
(Henderson, filed motion in, federal district court)
(Henderson 's transfer, give, possession of firearms in violation of § 922)
(Henderson 's requested transfer, give, possession in violation of § 922)
(Henderson 's requested transfer, constructive possession in, violation of § 922)
(Henderson, filed motion in, district court)
(Henderson 's transfer, give, possession)
(Henderson 's requested transfer, give, him)
(Henderson 's transfer, give, possession of firearms in violation)
(Henderson 's requested transfer, constructive possession in, violation)
(felon, of, lawfully owned firearms)
(property, obtained during, course of proceeding to its owner)
(property, obtained during, course of proceeding to its rightful owner)
(property, obtained during, course of criminal proceeding to its rightful owner)
(authority, order, law enforcement)
(property, obtained during, course of criminal proceeding to its owner)
(property, obtained during, course of criminal proceeding)
(property, obtained during, course)
(property, obtained during, course of proceeding)
(equitable authority, order, law enforcement)
(it, prevents, court)
(it, ordering, transfer)
(it, ordering, transfer of felon 's guns)
(it, ordering, transfer to someone willing)
(it, also prevents, court)
(felon, of, guns)
(it, ordering, transfer to someone)
(it, ordering, transfer of felon 's guns to someone)
(felon, to, instructions about future use)
(it, ordering, transfer of felon 's guns to someone willing)
(he, would lack control during, disposition)
(Government 's reading, would prohibit felon, disposing)
(he, would lack, control)
(he, even would lack control during, disposition)
(Government 's reading, would prohibit felon After, all)
(Government 's reading, would prohibit, felon)
(Government 's reading, disposing of, his firearms)
(Government, has, reading of § 922)
(he, even would lack, control)
(Government 's reading, would prohibit felon, disposing of his firearms)
(§ 922, has, scope)
(statute, has, goal keeping away felons)
(Government, has, insistence)
(Government 's reading, is, thus overbroad)
(Government 's reading, is, overbroad)
(Government, has, reading of § 922)
(felon, of, guns)
(guns, be turned over to, firearms dealer)
(felon, of, control)
(result, is, order)
(power, accommodate, felon 's transfer request)
(felon, has, transfer request)
(equitable power, accommodate, felon 's transfer request)
(KAGAN, delivered opinion for, unanimous Court)
(KAGAN, delivered, opinion)
(KAGAN, delivered opinion for, Court)
(opinion, is subject to, revision in print of United States Reports)
(opinion, is subject to, formal revision in preliminary print)
(opinion, is subject to, revision)
(opinion, is subject to, formal revision)
(opinion, is subject to, revision in print)
(opinion, is subject to, formal revision before publication)
(opinion, is subject to, formal revision in print of United States Reports)
(formal revision, is in, preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in print of United States Reports)
(opinion, is subject to, revision before publication)
(opinion, is subject to, formal revision in print)
(opinion, is, subject)
(opinion, is subject to, revision in preliminary print)
(opinion, is subject to, revision before publication in print)
(opinion, is subject to, formal revision in preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print of United States Reports)
(opinion, is subject to, revision in preliminary print of United States Reports)
(opinion, is subject to, formal revision before publication in print)
(opinion, is subject to, revision before publication in print of United States Reports)
(opinion, is subject to, formal revision before publication in preliminary print of United States Reports)
(Readers, notify, Reporter)
(Readers, notify, Reporter of Decisions)
(Supreme Court, is in, order)
(Readers, are, requested)
(typographical formal errors, of States is, Washington)
(typographical formal errors, of States is, D. C. 20543)
(JUSTICE KAGAN, delivered, opinion of Court)
(JUSTICE KAGAN, delivered, opinion)
(Government agencies, sometimes come into, possession of firearms owned)
(Government agencies, sometimes come into, possession)
(Government agencies, come into, possession of firearms lawfully owned by individuals)
(Government agencies, come into, possession of firearms)
(Government agencies, sometimes come into, possession of firearms lawfully owned by individuals)
(Government agencies, come into, possession of firearms owned)
(Government agencies, sometimes come into, possession of firearms)
(Government agencies, come into, possession of firearms owned by individuals)
(Government agencies, come into, possession of firearms lawfully owned)
(Government agencies, sometimes come into, possession of firearms lawfully owned)
(Government agencies, sometimes come into, possession of firearms owned by individuals)
(Government agencies, come into, possession)
(felon, seeks, transfer of his guns to firearms dealer for future sale on market)
(felon, instead seeks, transfer of his guns to firearms dealer for future sale)
(felon, seeks, transfer of his guns to firearms dealer for future sale on open market)
(felon, seeks, transfer to firearms dealer for future sale on market)
(felon, seeks, transfer to firearms dealer)
(felon, transfer of, his guns)
(felon, instead seeks, transfer)
(felon, instead seeks, transfer to firearms dealer)
(felon, instead seeks, transfer to firearms dealer for future sale on open market)
(felon, seeks, transfer to firearms dealer for future sale on open market)
(felon, seeks, transfer)
(felon, seeks, transfer of his guns)
(felon, instead seeks, transfer of his guns to firearms dealer)
(felon, seeks, transfer of his guns to firearms dealer)
(felon, instead seeks, transfer to firearms dealer for future sale on market)
(felon, instead seeks, transfer of his guns to firearms dealer for future sale on market)
(felon, transfer to, firearms dealer for future sale on open market)
(felon, seeks, transfer of his guns to firearms dealer for future sale)
(felon, instead seeks, transfer of his guns to firearms dealer for future sale on open market)
