(December 10 2014, Decided at_time, April 22 2015)
(tort claim, be, forever barred)
(claimant, meets, two deadlines)
(tort claim, be, barred)
(claim, must, must presented to appropriate federal agency for administrative review within two years accrues)
(claim, must, First must presented to appropriate agency for administrative review within two years accrues)
(claim, must, must presented to federal agency for review)
(claim, must, First must presented to agency)
(claim, must, First must presented to appropriate federal agency for administrative review within two years accrues)
(claim, must, must presented to appropriate agency for review within two years accrues)
(claim, must, must presented to appropriate agency for administrative review within two years accrues)
(claim, must, First must presented to appropriate agency for review)
(claim, must, must presented to federal agency for administrative review within two years accrues)
(claim, must, must presented to appropriate agency for review)
(claim, must, First must presented for administrative review within two years accrues)
(claim, must, First must presented to appropriate agency for administrative review)
(claim, must, First must presented)
(claim, must, First must presented to appropriate agency for review within two years accrues)
(claim, must, First must presented to federal agency for review within two years accrues)
(claim, must, must presented to appropriate agency for administrative review)
(claim, must, must presented for administrative review)
(claim, must, First must presented for review within two years accrues)
(claim, must, must presented to agency for administrative review)
(claim, must, must presented to federal agency)
(claim, must, First must presented to federal agency for administrative review)
(claim, must, must presented to agency for review)
(claim, must, First must presented for administrative review)
(claim, must, must presented to appropriate federal agency for review)
(claim, must, First must presented to federal agency)
(claim, must, must presented to appropriate federal agency)
(claim, must, First must presented to appropriate agency)
(claim, must, must presented to agency)
(claim, must, First must presented to appropriate federal agency for review within two years accrues)
(claim, must, must presented to federal agency for administrative review)
(claim, must, First must presented to appropriate federal agency for administrative review)
(claim, must, First must presented for review)
(claim, must, must presented)
(claim, must, must presented to appropriate federal agency for review within two years accrues)
(claim, must, First must presented to federal agency for administrative review within two years accrues)
(claim, must, First must presented to federal agency for review)
(claim, must, First must presented to agency for administrative review within two years accrues)
(claim, must, must presented to agency for review within two years accrues)
(claim, must, must presented for review within two years accrues)
(claim, must, First must presented to appropriate federal agency)
(claim, must, must presented to federal agency for review within two years accrues)
(claim, must, First must presented to agency for administrative review)
(claim, must, must presented to appropriate agency)
(claim, must, must presented for administrative review within two years accrues)
(claim, must, First must presented to appropriate federal agency for review)
(claim, must, must presented for review)
(claim, must, First must presented to agency for review within two years accrues)
(claim, must, First must presented to agency for review)
(claim, must, must presented to agency for administrative review within two years accrues)
(claim, must, must presented to appropriate federal agency for administrative review)
(claimant, Second may file, suit)
(claimant, Second may file suit in, federal court)
(claimant, may file suit within, six months)
(agency, of, denial)
(claimant, may file, suit)
(claimant, may file suit in, court)
(agency, denies, claim)
(claimant, Second may file suit within, six months)
(claimant, may file suit in, federal court)
(claimant, Second may file suit of, agency 's denial)
(claimant, Second may file suit in, court)
(claimant, may file suit of, agency 's denial)
(respondents, is in, Nos. 13-1074 respectively)
(Kwai Fun Wong, respondents in, Nos. 13-1074 respectively)
(Wong, file, her FTCA claim)
(her untimely filing, be excused, Government had in her view)
(June, present, her FTCA claim)
(her untimely filing, be excused, Government had)
(her filing, be excused, Government had in her view)
(Government, had in, her view)
(facts, vital to, her claim)
(her filing, be excused, Government had)
(her untimely filing, be, excused)
(her filing, be, excused)
(time bars, are jurisdictional despite, justification for delay)
(time bars, are, despite justification for delay jurisdictional to tolling)
(time bars, are, despite justification for delay jurisdictional to equitable tolling)
(§ 2401, has, time bars)
(District Court, dismissed FTCA claim In, case)
(Ninth Circuit, reversed in, cases)
(§ 2401, has, time bars)
(Section 2401, has, time limits)
(time bars, be, tolled)
(Court, adopted, presumption)
(Court, adopted, rebuttable presumption)
(such time bars, be, equitably tolled)
(Court, There adopted, presumption)
(such time bars, be, tolled)
(time bars, be, equitably tolled)
(Court, There adopted, rebuttable presumption)
(Irwin 's presumption, be, may of course rebutted)
(Irwin, has, presumption)
(Irwin 's presumption, be, may rebutted)
(statute, is, jurisdictional)
(Court, said at_time, clear statement rule)
(Court, said at_time, statement rule)
(something, tag, statute of limitations)
(something special, tag statute as, jurisdictional)
(something special, tag, statute of limitations)
(something special, tag, statute)
(something, tag statute as, jurisdictional)
(something, tag, statute)
(it, Instead reads like, ordinary statute)
(it, reads like, ordinary statute of limitations)
(it, reads like, run-of-the-mill statute of limitations)
(it, reads like, run-of-the-mill statute)
(it, Instead reads like, ordinary statute of limitations)
(it, Instead reads like, statute)
(it, reads like, ordinary run-of-the-mill statute of limitations)
(it, reads like, ordinary run-of-the-mill statute)
(it, Instead reads like, ordinary run-of-the-mill statute of limitations)
(it, reads like, ordinary statute)
(it, Instead reads like, ordinary run-of-the-mill statute)
(it, Instead reads like, run-of-the-mill statute)
(it, reads like, statute)
(it, reads like, statute of limitations)
(it, Instead reads like, statute of limitations)
(it, Instead reads like, run-of-the-mill statute of limitations)
(context, confirms, reading)
(Statutory context, confirms, reading)
(FTCA 's grant, here appears in, b)
(FTCA 's jurisdictional grant, appears in, b)
(FTCA 's grant, appears in, b)
(FTCA 's jurisdictional grant, here appears in, b)
(FTCA, has, jurisdictional grant)
(Congress, has, separation of filing deadline from jurisdictional grant)
(Court, has, cases)
(2401, has, legislative history)
(Government, has, two principal arguments treating by precedents)
(Court, by, precedents)
(commonplace, is in, statutes of limitations enacted around time of FTCA)
(Court, Indeed has construed, language)
(Clayton Act, in, statute of limitations)
(Court, has construed, same language)
(Court, Indeed has construed, same language)
(Court, has construed, language)
(Tucker Act, has, statute of limitations)
(language, is, jurisdictionally significant)
(two decisions, addressing, Tucker Act 's statute of limitations)
(language, is, significant)
(Court, has dismissed idea in, two decisions)
(two decisions, addressing, Tucker Act 's statute)
(Court, has dismissed, idea)
(phrase, is, thus nothing)
(phrase, shall, shall barred)
(phrase, is, nothing)
(phrase, shall, shall forever barred)
(it, is condition on, FTCA 's waiver)
(it, is condition on, FTCA 's waiver of immunity)
(FTCA, on, waiver of sovereign immunity)
(it, is, condition)
(it, is condition on, FTCA 's waiver of sovereign immunity)
(argument, is, foreclosed)
(Government 's invocation, is, also inapt here)
(Government 's invocation, is, also peculiarly inapt)
(Government 's invocation, is, peculiarly inapt here)
