(UNITED STATES, v. RODRIGUEZ is, 2015)
(January 21 2015, Decided at_time, April 21 2015)
(Officer Struble, stopped petitioner Rodriguez, driving on highway shoulder)
(Officer Struble, stopped petitioner Rodriguez, violation of Nebraska law)
(Officer Struble, stopped, petitioner Rodriguez)
(Officer Struble, stopped petitioner Rodriguez, violation)
(Officer Struble, stopped petitioner Rodriguez, driving)
(Officer Struble, driving on, highway shoulder)
(he, asked, Rodriguez)
(Struble, attended to, everything)
(he, asked Rodriguez, Struble attended to everything relating)
(driver, has, licenses of Rodriguez)
(he, asked Rodriguez, Struble attended to everything relating to stop including inter alia)
(Struble, attended to, everything relating)
(he, asked Rodriguez, Struble attended)
(Struble, attended to, everything relating to stop including inter alia)
(he, asked Rodriguez, Struble attended to everything)
(Struble, attended to, everything relating to stop)
(he, asked Rodriguez, Struble attended to everything relating to stop)
(Struble, detained, him)
(presence, is in, vehicle)
(search, revealed, methamphetamine)
(ensuing search, revealed, methamphetamine)
(Struble, issued, written warning)
(Struble, issued, warning)
(Struble, issued warning, dog alerted)
(Rodriguez, was indicted on, federal drug charges)
(Rodriguez, was, indicted)
(Rodriguez, was indicted on, drug charges)
(Struble, conduct sniff, dog)
(Struble, prolonged traffic stop without, reasonable suspicion)
(evidence, seized from, vehicle)
(Struble, prolonged, traffic stop)
(evidence, seized on, ground)
(Struble, prolonged traffic stop without, suspicion)
(He, moved, suppress)
(evidence, seized among, others)
(Struble, conduct, dog)
(Magistrate Judge, recommended, denial of motion)
(Magistrate Judge, recommended, denial)
(he, concluded Under, Eighth Circuit precedent)
(he, however concluded Under, Eighth Circuit precedent)
(Rodriguez, on, Fourth Amendment rights)
(District Court, denied, motion suppress)
(Rodriguez, was sentenced to, five years in prison)
(Rodriguez, was sentenced to, five years)
(Rodriguez, entered, plea)
(Rodriguez, entered, guilty plea)
(Rodriguez, entered, conditional plea)
(five years, is in, prison)
(Rodriguez, was, sentenced)
(Rodriguez, entered, conditional guilty plea)
(minute delay, was, acceptable de minimis intrusion)
(minute delay, was, de minimis intrusion)
(court, reach, question)
(minute delay, was, acceptable de minimis intrusion on Rodriguez 's liberty)
(reasonable suspicion, continue, Rodriguez 's detention)
(Struble, had, suspicion continue)
(Struble, had, reasonable suspicion continue)
(suspicion, continue, Rodriguez 's detention)
(minute delay, was, de minimis intrusion on Rodriguez 's liberty)
(minute delay, was, acceptable de minimis intrusion on Rodriguez 's personal liberty)
(delay, was, acceptable)
(minute delay, was, de minimis intrusion on Rodriguez 's personal liberty)
(Rodriguez, on, personal liberty)
(Rodriguez, has, detention)
(Constitution, has, shield against unreasonable seizures)
(Absent reasonable suspicion, extension of, traffic stop)
(seizure, by, mission)
(Its duration, is, determined)
(Its tolerable duration, is, determined)
(tasks, are, reasonably should have completed)
(tasks, are, should have completed)
(tasks, are, when should have completed)
(tasks, tied to, traffic infraction)
(tasks, are, when reasonably should have completed)
(406, at Caballes is, dog)
(it, is prolonged beyond, time required)
(it, is prolonged beyond, time)
(406, at Caballes is, 543 U. S.)
(it, is prolonged beyond, time reasonably required)
(it, is, prolonged)
(automobile, has, registration)
(driver 's license, inspecting, proof)
