(UNITED STATES, v. YATES is, 2015)
(November 5 2014, Decided at_time, February 25 2015)
(federal agent, conducting, inspection of fishing vessel in Gulf of Mexico)
(ship 's catch, contained grouper in, violation of federal conservation regulations)
(commercial fishing vessel, is in, Gulf of Mexico)
(agent, conducting, offshore inspection of commercial fishing vessel in Gulf of Mexico)
(agent, conducting, inspection of commercial fishing vessel in Gulf of Mexico)
(agent, conducting, offshore inspection of fishing vessel in Gulf)
(federal agent, conducting, offshore inspection of commercial fishing vessel in Gulf)
(federal agent, conducting, offshore inspection of commercial fishing vessel)
(federal agent, conducting, offshore inspection of fishing vessel)
(agent, conducting, offshore inspection)
(federal agent, conducting, offshore inspection of commercial fishing vessel in Gulf of Mexico)
(ship 's catch, contained grouper in, violation of conservation regulations)
(ship, has, catch)
(federal agent, conducting, inspection)
(federal agent, conducting, inspection of fishing vessel)
(agent, conducting, inspection of fishing vessel in Gulf)
(federal agent, conducting, inspection of commercial fishing vessel in Gulf)
(federal agent, conducting, inspection of fishing vessel in Gulf)
(federal agent, conducting, offshore inspection of fishing vessel in Gulf)
(ship 's catch, contained, grouper)
(agent, conducting, inspection)
(agent, conducting, inspection of commercial fishing vessel)
(agent, conducting, inspection of fishing vessel in Gulf of Mexico)
(ship 's catch, contained, undersized red grouper)
(agent, conducting, offshore inspection of commercial fishing vessel)
(ship 's catch, contained grouper in, violation)
(agent, conducting, offshore inspection of fishing vessel)
(federal agent, conducting, offshore inspection)
(agent, conducting, offshore inspection of fishing vessel in Gulf of Mexico)
(federal agent, conducting, offshore inspection of fishing vessel in Gulf of Mexico)
(agent, conducting, offshore inspection of commercial fishing vessel in Gulf)
(ship 's catch, contained, red grouper)
(agent, conducting, inspection of fishing vessel)
(agent, conducting, inspection of commercial fishing vessel in Gulf)
(federal agent, conducting, inspection of commercial fishing vessel)
(federal agent, conducting, inspection of commercial fishing vessel in Gulf of Mexico)
(ship 's catch, contained, undersized grouper)
(officer, keep, ship returned to port)
(officer, keep, fish segregated from rest of catch)
(officer, keep, fish segregated)
(officer, instructed, ship 's captain)
(fish, segregated from, rest)
(officer, instructed, petitioner Yates)
(officer, keep, undersized fish segregated)
(ship, returned to, port)
(officer, keep, undersized fish segregated from rest of catch)
(ship, has, captain)
(undersized fish, segregated from, rest of catch)
(officer, keep, undersized fish segregated from rest)
(undersized fish, segregated from, rest)
(officer, keep, ship returned)
(ship, 's captain is, petitioner Yates)
(officer, keep, fish segregated from rest)
(fish, segregated from, rest of catch)
(crew member, throw overboard, fish)
(Yates, told crew member, officer departed)
(crew member, throw, fish)
(Yates, instead told, crew member)
(crew member, throw overboard, undersized fish)
(crew member, throw, undersized fish)
(Yates, told, crew member)
(Yates, instead told crew member, officer departed)
(Yates, was, For offense charged in violation of 18 U. S. C. § 1519)
(Yates, was charged, destroying)
(Yates, was charged For, offense)
(Yates, was, For offense charged in violation)
(Yates, was, charged)
(Yates, was charged in, violation)
(Yates, was charged in, violation of 18 U. S. C. § 1519)
(false entry, is in, record)
(person, be fined, he alters)
(person, be, fined)
(person, be fined, he knowingly alters)
(Yates, moved At, trial)
(Yates, moved for, judgment)
(Yates, moved on, § 1519 charge)
(Yates, moved for, judgment of acquittal)
(§ 1519 's reference, subsumes, objects used)
(§ 1519 's reference, subsumes, objects)
(Yates, Pointing as, provision of Sarbanes-Oxley Act)
(Yates, Pointing to, § 1519 's origin)
(Yates, Pointing as, provision)
(investors, restore trust in, markets)
(investors, restore trust following, collapse of Enron Corporation)
(§ 1519, has, reference to tangible object)
(investors, restore trust in, financial markets)
(§ 1519, to, origin)
(investors, restore trust following, collapse)
(investors, restore, trust)
(Yates, Pointing as, provision of Sarbanes-Oxley Act of 2002)
(2002, of Act is, law designed)
(Yates, has, motion)
(him, violating, § 1519)
(jury, found, him guilty)
(District Court, denied, Yates 's motion)
(§ 1519, applies to, destruction)
(Eleventh Circuit, affirmed, conviction)
(§ 1519, applies to, destruction of fish)
