(HOLT, DEPARTMENT OF, CORRECTION)
(October 7 2014, Decided at_time, January 20 2015)
(n o government, impose, substantial burden on exercise of institutionalized person)
(burden, furthering, interest)
(n o government, substantial burden on, religious exercise of institutionalized person)
(n o government, impose, substantial burden on religious exercise of institutionalized person)
(n o government, burden on, religious exercise of person)
(n o government, impose, burden on religious exercise)
(n o government, impose, burden on religious exercise of person)
(n o government, burden on, religious exercise)
(n o government, burden on, religious exercise of institutionalized person)
(n o government, impose, burden on religious exercise of institutionalized person)
(n o government, impose, substantial burden on religious exercise of person)
(n o government, impose, burden)
(n o government, impose burden, government demonstrates)
(burden, furthering, compelling governmental interest)
(n o government, burden on, exercise of institutionalized person)
(n o government, burden on, exercise)
(n o government, impose, substantial burden on exercise)
(n o government, substantial burden on, religious exercise)
(n o government, substantial burden on, exercise)
(burden, furthering, governmental interest)
(n o government, impose, substantial burden on exercise of person)
(n o government, substantial burden on, exercise of institutionalized person)
(n o government, impose, substantial burden on religious exercise)
(burden, furthering, compelling interest)
(n o government, substantial burden on, exercise of person)
(n o government, impose, burden on exercise of institutionalized person)
(n o government, impose, burden on exercise)
(n o government, impose, burden on exercise of person)
(n o government, impose, substantial burden)
(n o government, burden on, exercise of person)
(n o government, substantial burden on, religious exercise of person)
(devout Muslim, wishes, grow)
(Muslim, grow, 1/2 inch beard)
(devout Muslim, grow, 1/2 inch beard)
(Muslim, wishes, grow)
(1/4 inch beards, inmates with, skin conditions)
(inmates, grow, 1/4 inch beards)
(1/4 inch beards, inmates with, diagnosed skin conditions)
(Respondent Arkansas Department, prohibits, its prisoners)
(inmates, is with, diagnosed skin conditions)
(Petitioner, sought, exemption on religious grounds)
(he, maintain, 1/2 inch beard)
(Petitioner, sought, exemption on grounds)
(he, would, would allowed)
(Petitioner, sought, exemption)
(Prison officials, denied, his request)
(petitioner, sued in, Federal District Court)
(Department witnesses, testified At, evidentiary hearing before Magistrate Judge)
(inmate, disguise, his identity)
(inmate, could shave, his beard)
(beards, compromised, prison safety)
(Department witnesses, testified At, evidentiary hearing)
(Department witnesses, testified At, hearing)
(they, could, could used)
(inmate, could quickly shave, his beard)
(beards, compromised prison safety, could used)
(they, hide, contraband)
(Department witnesses, testified At, hearing before Magistrate Judge)
(prison officials, are entitled to, deference on security matters)
(prison officials, are, entitled)
(petitioner, exercise, his religion)
(Magistrate Judge, recommended, emphasizing)
(petitioner, has, complaint)
(prison, permitted, petitioner)
(Magistrate Judge, dismissing, petitioner 's complaint)
(prison officials, are entitled to, deference)
(courts, defer on, matters of security)
(courts, defer on, matters)
(District Court, adopted recommendation in, full)
(grooming policy, furthering, its compelling security interests)
(courts, defer to, prison officials)
(policy, furthering, its security interests)
(policy, furthering, its compelling security interests)
(District Court, adopted, recommendation)
(Department, satisfied, its burden showing)
(grooming policy, furthering, its security interests)
(Eighth Circuit, affirmed, holding)
(Department 's grooming policy, violates, RLUIPA)
(it, insofar prevents, petitioner)
(Department, has, grooming policy)
(Department 's policy, violates, RLUIPA)
(it, prevents, petitioner)
(it, prevents petitioner, growing)
(it, growing, 1/2 inch beard)
(it, insofar prevents petitioner, growing)
(his exercise, is grounded in, sincerely held belief)
(his religious exercise, is grounded in, belief)
(his exercise, is grounded in, held belief)
(his exercise, is grounded in, held religious belief)
(his religious exercise, is grounded in, held belief)
(challenging party, bears, burden proving)
(his religious exercise, is grounded in, held religious belief)
(party, bears, burden proving)
(party, bears, initial burden proving)
(his exercise, is grounded in, religious belief)
(his exercise, is, grounded)
(his religious exercise, is grounded in, religious belief)
(his exercise, is grounded in, sincerely held religious belief)
(his religious exercise, is grounded in, sincerely held religious belief)
(challenging party, bears, initial burden proving)
(his religious exercise, is grounded in, sincerely held belief)
(government, has, action)
(his religious exercise, is, grounded)
(his exercise, is grounded in, belief)
(he, easily satisfies, second obligation)
(he, easily satisfies, obligation)
(he, satisfies, obligation)
(petitioner, has, sincerity)
(he, satisfies, second obligation)
(Department 's policy forces, him, choose)
(conduct, in engag is, ing)
(engag, is in, conduct)
(Department, has, policy forces)
(District Court, misunderstood, analysis)
(District Court, reaching, opposite conclusion)
(District Court, reaching, conclusion)
(attempt, even proved, unsuccessful)
(burden, was, slight)
(his religion, credit, him)
(his religion, attempting, attempt proved)
(burden, was slight, petitioner testified)
(petitioner, on, religious exercise)
(attempt, proved, unsuccessful)
(his religion, attempting, even attempt proved)
(RLUIPA, applies regardless to, exercise)
(RLUIPA, applies to, exercise)
(RLUIPA, however applies to, religious exercise)
(RLUIPA, however applies regardless to, religious exercise)
(RLUIPA, applies to, religious exercise)
(RLUIPA, however applies to, exercise)
(RLUIPA, applies regardless to, religious exercise)
(RLUIPA, however applies regardless to, exercise)
(petitioner, on, testimony)
(RLUIPA, has, guarantees)
(petitioner, has, belief)
(petitioner 's belief, were, Even idiosyncratic)
(petitioner 's belief, were, idiosyncratic)
(party, satisfies, his burden)
(burden, shifts to, government)
(burden, shifts, show)
(challenging party, satisfies, his burden)
(___, at Lobby is, supra)
(Department, fails, show)
(interest, is, compromised)
(inmate, grow, inch beard)
(contraband, lack of, corresponding policy)
(contraband, lack of, policy)
(its argument, is, unavailing)
(interest, is compromised, allowing)
(inmate, grow, 1/2 inch beard)
(interest, allowing, inmate)
(regulating, length of, hair)
(regulating, length on, head)
(Gonzales, do, Vegetal 546 U. S. 418 434)
(Gonzales, do, 546 U. S. 418 434)
(it, still have, show)
(1/2 inch beard, furthers, its interest)
(inch beard, rooting out, contraband)
(its policy, furthering, that)
(1/2 inch beard, rooting out, contraband)
(inch beard, furthers, its interest)
(it, have, show)
(___, at Lobby is, supra)
(its security concerns, simply searching, 1/2 inch beard)
(its policy, violates RLUIPA, applied in present circumstances)
(its policy, applied in, present circumstances)
(Department 's policy, furthers, its compelling interest)
(Department 's grooming policy, furthers, its interest in prisoner identification)
(its policy, violates RLUIPA, applied)
(Department 's policy, Even furthers, its interest in prisoner identification)
(its policy, violates, RLUIPA)
(Department 's grooming policy, Even furthers, its interest in prisoner identification)
(Department 's policy, Even furthers, its interest)
(its policy, still violates, RLUIPA)
(its policy, applied in, circumstances)
(Department, has, grooming policy)
(Department 's grooming policy, Even furthers, its compelling interest)
(Department 's grooming policy, Even furthers, its compelling interest in prisoner identification)
(Department 's policy, furthers, its interest)
(its policy, still violates RLUIPA, applied in circumstances)
(its policy, violates RLUIPA, applied in circumstances)
(its policy, still violates RLUIPA, applied in present circumstances)
(Department 's grooming policy, Even furthers, its interest)
(Department 's policy, furthers, its compelling interest in prisoner identification)
(its compelling interest, is in, prisoner identification)
(Department 's grooming policy, furthers, its interest)
(Department 's grooming policy, furthers, its compelling interest in prisoner identification)
(Department 's policy, Even furthers, its compelling interest)
(Department 's grooming policy, furthers, its compelling interest)
(Department 's policy, furthers, its interest in prisoner identification)
(Department 's policy, Even furthers, its compelling interest in prisoner identification)
(its policy, still violates RLUIPA, applied)
(Department, has, identification concerns)
(Department, fails, show)
(security risk, is, why so different)
(security risk, is so different from, risk)
(security risk, is, why different from risk of prisoner)
(It, also fails, show)
(security risk, is so different from, risk of prisoner)
(security risk, is, so different)
(security risk, is, why so different from risk)
(security risk, is, why so different from risk of prisoner)
(It, fails, show)
(security risk, is, why different from risk)
(security risk, is, why different)
(security risk, is different from, risk)
(security risk, is different from, risk of prisoner)
(security risk, presented by, prisoner)
(security risk, is, different)
(prisoners, is with, medical conditions)
(Department, explain, substantial underinclusiveness of its policy)
(security interests, c In addition to, Department 's failure prove)
(Department, explain, underinclusiveness of its policy)
(Department, explain, underinclusiveness)
(Department, adequately explain, underinclusiveness)
(Department, adequately explain, underinclusiveness of its policy)
(Department, adequately explain, substantial underinclusiveness of its policy)
(petitioner, has, proposed alternatives)
(it, permits, 1/4 inch beards)
(Department, In addition to, failure prove)
(Department, adequately explain, substantial underinclusiveness)
(its security interests, c In addition to, Department 's failure prove)
(Department, explain, substantial underinclusiveness)
(its interests, be, achieved)
(inmates, vast majority of, States)
(Federal Government, vast majority of, States)
(inmates, majority of, States)
(Federal Government, majority of, States)
(Federal Government, permit, inmates)
(majority, permit, inmates)
(vast majority, permit, inmates)
(prison, offer, persuasive reasons)
(prison, offer, reasons)
(evidence, requires prison at, minimum)
(evidence, requires, prison)
(Such evidence, requires, prison)
(Such evidence, requires prison at, minimum)
(ALITO, delivered, opinion)
(ALITO, delivered opinion for, unanimous Court)
(ALITO, delivered opinion for, Court)
(SOTOMAYOR, filed, opinion)
(SOTOMAYOR, filed, concurring opinion)
(opinion, is subject to, revision in print of United States Reports)
(opinion, is subject to, formal revision in preliminary print)
(opinion, is subject to, revision)
(opinion, is subject to, formal revision)
(opinion, is subject to, revision in print)
(opinion, is subject to, formal revision before publication)
(opinion, is subject to, formal revision in print of United States Reports)
(formal revision, is in, preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in print of United States Reports)
(opinion, is subject to, revision before publication)
(opinion, is subject to, formal revision in print)
(opinion, is, subject)
(opinion, is subject to, revision in preliminary print)
(opinion, is subject to, revision before publication in print)
(opinion, is subject to, formal revision in preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print of United States Reports)
(opinion, is subject to, revision in preliminary print of United States Reports)
(opinion, is subject to, formal revision before publication in print)
(opinion, is subject to, revision before publication in print of United States Reports)
(opinion, is subject to, formal revision before publication in preliminary print of United States Reports)
(Readers, notify, Reporter)
(Readers, notify, Reporter of Decisions)
(Supreme Court, is in, order)
(Readers, are, requested)
(typographical formal errors, of States is, Washington)
(typographical formal errors, of States is, D. C. 20543)
(JUSTICE ALITO, delivered, opinion)
(JUSTICE ALITO, delivered, opinion of Court)
(Petitioner Gregory Holt, known as, Abdul Maalik Muhammad)
(Petitioner Gregory Holt, is, Arkansas inmate)
(Petitioner Gregory Holt, known as, Abdul Maalik Muhammad)
(Petitioner Gregory Holt, is, Arkansas inmate)
(Petitioner Gregory Holt, also known as, Abdul Maalik Muhammad)
(Petitioner Gregory Holt, also known as, Abdul Maalik Muhammad)
(they, have, condition)
(Correction, of, grooming policy)
(they, have, particular condition)
(they, have, dermatological condition)
(Petitioner, has, objection shaving with Arkansas Department of grooming policy)
(they, have, particular dermatological condition)
(Religious Land Use, applied in, case)
(Department 's policy, violates, Religious Land Use)
(Department, has, policy)
(2000, of Use is, 114 Stat)
(Department 's policy, violates, 114 Stat)
(Department 's policy, applied in, case)
(Department 's policy, violates, Institutionalized Persons Act)
(We, conclude in, case)
(Department 's policy, substantially burdens, petitioner 's exercise)
(Department 's policy, burdens, petitioner 's exercise)
(Department, has, policy)
(Department 's policy, substantially burdens, petitioner 's religious exercise)
(Department 's policy, burdens, petitioner 's religious exercise)
(petitioner, has, religious exercise)
(its compelling interest, prohibition against, petitioner 's beard)
(prohibition, furthers, its interest about contraband)
(petitioner, against, beard)
(prohibition, furthers, its interest)
(its interest, prohibition against, petitioner 's beard)
(prohibition, furthers, its compelling interest)
(prohibition, furthers, its compelling interest about contraband)
(its policy, furthering, its interests)
(Department, failed, show)
(its policy, furthering, its compelling interests)
(We, thus reverse, decision of United States Court)
(We, reverse, decision of United States Court)
(We, thus reverse, decision of United States Court of Appeals)
(We, thus reverse, decision)
(We, reverse, decision of United States Court for Eighth Circuit)
(We, reverse, decision for Eighth Circuit)
(We, thus reverse, decision of United States Court of Appeals for Eighth Circuit)
(We, reverse, decision of United States Court of Appeals for Eighth Circuit)
(We, reverse, decision of United States Court of Appeals)
(We, thus reverse, decision for Eighth Circuit)
(We, reverse, decision)
(We, thus reverse, decision of United States Court for Eighth Circuit)
(Congress, enacted, RFRA)
(Congress, enacted, Religious Freedom Restoration Act)
(1993, of Act is, RFRA)
(Congress, enacted, RLUIPA)
(Congress, enacted, its sister statute)
(Congress, enacted, Religious Freedom Restoration Act of 1993)
(Congress, enacted, 107 Stat)
(RFRA, was enacted after, three years)
(RFRA, was, enacted)
(Employment Div., Dept. of, Human Resources)
(our decision, is in, Employment Div.)
(Smith, repudiated, method of analysis used)
(Smith, repudiated, method of analysis used in exercise cases)
(Smith, repudiated, method of analysis)
(Smith, repudiated, method of analysis used in exercise cases like Wisconsin)
(Smith, largely repudiated, method of analysis used in exercise cases like Wisconsin)
(Smith, largely repudiated, method of analysis used in prior free exercise cases)
(Smith, repudiated, method)
(Smith, largely repudiated, method of analysis used in free exercise cases like Wisconsin)
