(February 27 2017, Decided at_time, May 30 2017)
(Petitioner, citizen of, Mexico)
(Petitioner, citizen of, Mexico)
(unlawful sexual intercourse, is with, minor)
(California, defines, minor)
(Department, initiated, removal proceedings)
(Department, initiated removal proceedings Based on, conviction)
(Department, initiated removal proceedings under, INA)
(sexual abuse § 1101, including A is, iii)
(Immigration Judge, ordered, petitioner removed to Mexico)
(petitioner, removed to, Mexico)
(Immigration Judge, ordered, petitioner removed)
(Immigration Judge, ordered, petitioner)
(petitioner 's crime, constituted, abuse)
(petitioner 's crime, dismissed, his appeal)
(petitioner 's crime, constituted, sexual abuse of minor)
(petitioner 's crime, sexual abuse of, minor)
(petitioner 's crime, abuse of, minor)
(petitioner 's crime, constituted, sexual abuse)
(petitioner, has, crime)
(petitioner 's crime, constituted, abuse of minor)
(divided Court, denied, his petition)
(Court, denied, his petition for review)
(Court, denied, his petition)
(divided Court, denied, his petition for review)
(generic federal definition, requires, age of victim)
(sexual intercourse, based on, ages of participants)
(generic federal definition, requires, age)
(generic definition, age of, victim)
(definition, age of, victim)
(intercourse, based on, solely ages)
(definition, requires, age)
(generic federal definition, requires age In, context)
(federal definition, age of, victim)
(sexual intercourse, based on, ages)
(sexual intercourse, based on, solely ages of participants)
(intercourse, based on, ages)
(generic federal definition, age of, victim)
(federal definition, requires age In, context)
(sexual intercourse, based on, solely ages)
(generic definition, requires, age)
(definition, requires age In, context)
(generic definition, requires age In, context)
(definition, requires, age of victim)
(intercourse, based on, solely ages of participants)
(generic definition, requires, age of victim)
(federal definition, requires, age of victim)
(intercourse, based on, ages of participants)
(federal definition, requires, age)
(state statute, fits within, generic federal definition)
(state statute, categorically fits within, definition)
(state statute, categorically fits within, generic federal definition of corresponding felony)
(state statute, categorically fits within, generic definition)
(defining, crime of, conviction)
(state statute, categorically fits within, generic definition of corresponding felony)
(state statute, fits within, generic definition of felony)
(state statute, fits within, generic definition of corresponding felony)
(state statute, categorically fits within, generic federal definition of corresponding aggravated felony)
(state statute, fits within, generic federal definition of corresponding felony)
(state statute, fits within, federal definition of felony)
(state statute, fits within, generic federal definition of felony)
(alien, has, conviction)
(state statute, categorically fits within, generic federal definition)
(state statute, fits within, definition of corresponding aggravated felony)
(state statute, fits within, generic definition)
(state statute, categorically fits within, definition of corresponding felony)
(state statute, categorically fits within, generic definition of aggravated felony)
(state statute, categorically fits within, federal definition of corresponding aggravated felony)
(state statute, fits within, definition of aggravated felony)
(state statute, defining, crime)
(state statute, categorically fits within, federal definition of aggravated felony)
(state statute, fits within, generic definition of aggravated felony)
(state statute, fits within, federal definition of corresponding aggravated felony)
(state statute, fits within, federal definition of aggravated felony)
(state statute, categorically fits within, definition of corresponding aggravated felony)
(state statute, fits within, generic definition of corresponding aggravated felony)
(state statute, fits within, definition of felony)
(state statute, categorically fits within, generic federal definition of felony)
(state statute, fits within, definition of corresponding felony)
(state statute, fits within, generic federal definition of corresponding aggravated felony)
(state statute, categorically fits within, definition of aggravated felony)
(state statute, fits within, federal definition of corresponding felony)
(state statute, categorically fits within, generic definition of corresponding aggravated felony)
(state statute, categorically fits within, generic definition of felony)
(state statute, categorically fits within, federal definition)
