ineffective	  criminal_triples/case_11.txt	  his attorney	 provided	 ineffective assistance	  When Lee learned of this consequence, he filed a motion to vacate his conviction and sentence, arguing that his attorney had provided constitutionally ineffective assistance
weak	  criminal_triples/case_11.txt	  Lee	 be deported	 weak	  At an evidentiary hearing, both Lee and his plea-stage counsel testified that "deportation was the determinative issue" to Lee in deciding whether to accept a plea, and Lee's counsel acknowledged that although Lee's defense to the charge was weak, if he had known Lee would be deported upon pleading guilty, he would have advised him to go to trial
guilty	  criminal_triples/case_11.txt	  Lee	 pleading	 guilty	  At an evidentiary hearing, both Lee and his plea-stage counsel testified that "deportation was the determinative issue" to Lee in deciding whether to accept a plea, and Lee's counsel acknowledged that although Lee's defense to the charge was weak, if he had known Lee would be deported upon pleading guilty, he would have advised him to go to trial
errors	  criminal_triples/case_11.txt	  counsel	 for	 errors	  (a) When a defendant claims that his counsel's deficient performance deprived him of a trial by causing him to accept a plea, the defendant can show prejudice by demonstrating a "reasonable probability that, but for counsel's errors, he would not have pleaded guilty and would have insisted on going to trial.
rejected	  criminal_triples/case_11.txt	  he	 rejected	 plea	  In the unusual circumstances of this case, Lee has adequately demonstrated a reasonable probability that he would have rejected the plea had he known that it would lead to mandatory deportation: Both Lee and his attorney testified that "deportation was the determinative issue" to Lee; his responses during his plea colloquy confirmed the importance he placed on deportation; and he had strong connections to the United States, while he had no ties to South Korea
out	  criminal_triples/case_11.txt	  Lee	 set out	 graduating	  After graduating from a business high school in Manhattan, Lee set out on his own to Memphis, Tennessee, where he started working at a restaurant
guilt	  criminal_triples/case_11.txt	  Lee	 of	 guilt	  But, "[i]n light of the overwhelming evidence of Lee's guilt," Lee "would have almost certainly" been found guilty and received "a significantly longer prison sentence, and subsequent deportation," had he gone to trial
nothing	  criminal_triples/case_11.txt	  he	 gain	 nothing	  Lee had "no bona fide defense, not even a weak one," so he "stood to gain nothing from going to trial but more prison time.
below	  criminal_triples/case_11.txt	  counsel 's representation	 fell below	 objective standard of reasonableness	  To demonstrate that counsel was constitutionally ineffective, a defendant must show that counsel's representation "fell below an objective standard of reasonableness" and that he was prejudiced as a result
standard	  criminal_triples/case_11.txt	  counsel 's representation	 fell below	 objective standard of reasonableness	  To demonstrate that counsel was constitutionally ineffective, a defendant must show that counsel's representation "fell below an objective standard of reasonableness" and that he was prejudiced as a result
