from	 criminal_triples/case_11.txt	 Petitioner Jae Lee	 moved from	 South Korea 	 Petitioner Jae Lee moved to the United States from South Korea with his parents when he was 13
to	 criminal_triples/case_11.txt	 Petitioner Jae Lee	 moved to	 United States 	 Petitioner Jae Lee moved to the United States from South Korea with his parents when he was 13
with	 criminal_triples/case_11.txt	 Petitioner Jae Lee	 moved with	 his parents 	 Petitioner Jae Lee moved to the United States from South Korea with his parents when he was 13
his	 criminal_triples/case_11.txt	 Petitioner Jae Lee	 moved with	 his parents 	 Petitioner Jae Lee moved to the United States from South Korea with his parents when he was 13
parents	 criminal_triples/case_11.txt	 Petitioner Jae Lee	 moved with	 his parents 	 Petitioner Jae Lee moved to the United States from South Korea with his parents when he was 13
he	 criminal_triples/case_11.txt	 he	 living as	 lawful permanent resident 	 In the 35 years he has spent in this country, he has never returned to South Korea, nor has he become a U. S. citizen, living instead as a lawful permanent resident
living	 criminal_triples/case_11.txt	 he	 living as	 lawful permanent resident 	 In the 35 years he has spent in this country, he has never returned to South Korea, nor has he become a U. S. citizen, living instead as a lawful permanent resident
as	 criminal_triples/case_11.txt	 he	 living as	 lawful permanent resident 	 In the 35 years he has spent in this country, he has never returned to South Korea, nor has he become a U. S. citizen, living instead as a lawful permanent resident
lawful	 criminal_triples/case_11.txt	 he	 living as	 lawful permanent resident 	 In the 35 years he has spent in this country, he has never returned to South Korea, nor has he become a U. S. citizen, living instead as a lawful permanent resident
permanent	 criminal_triples/case_11.txt	 he	 living as	 lawful permanent resident 	 In the 35 years he has spent in this country, he has never returned to South Korea, nor has he become a U. S. citizen, living instead as a lawful permanent resident
resident	 criminal_triples/case_11.txt	 he	 living as	 lawful permanent resident 	 In the 35 years he has spent in this country, he has never returned to South Korea, nor has he become a U. S. citizen, living instead as a lawful permanent resident
has	 criminal_triples/case_11.txt	 he	 has become	 living as lawful permanent resident 	 In the 35 years he has spent in this country, he has never returned to South Korea, nor has he become a U. S. citizen, living instead as a lawful permanent resident
become	 criminal_triples/case_11.txt	 he	 has become	 living as lawful permanent resident 	 In the 35 years he has spent in this country, he has never returned to South Korea, nor has he become a U. S. citizen, living instead as a lawful permanent resident
citizen	 criminal_triples/case_11.txt	 he	 has become	 U. S. citizen 	 In the 35 years he has spent in this country, he has never returned to South Korea, nor has he become a U. S. citizen, living instead as a lawful permanent resident
instead	 criminal_triples/case_11.txt	 he	 has become	 living instead as permanent resident 	 In the 35 years he has spent in this country, he has never returned to South Korea, nor has he become a U. S. citizen, living instead as a lawful permanent resident
spent	 criminal_triples/case_11.txt	 he	 has spent In	 35 years 	 In the 35 years he has spent in this country, he has never returned to South Korea, nor has he become a U. S. citizen, living instead as a lawful permanent resident
years	 criminal_triples/case_11.txt	 he	 has spent In	 35 years 	 In the 35 years he has spent in this country, he has never returned to South Korea, nor has he become a U. S. citizen, living instead as a lawful permanent resident
in	 criminal_triples/case_11.txt	 he	 has spent in	 country 	 In the 35 years he has spent in this country, he has never returned to South Korea, nor has he become a U. S. citizen, living instead as a lawful permanent resident
country	 criminal_triples/case_11.txt	 he	 has spent in	 country 	 In the 35 years he has spent in this country, he has never returned to South Korea, nor has he become a U. S. citizen, living instead as a lawful permanent resident
officials	 criminal_triples/case_11.txt	 officials	 received tip from	 confidential informant 	 In 2008, federal officials received a tip from a confidential informant that Lee had sold the informant ecstasy and marijuana
received	 criminal_triples/case_11.txt	 officials	 received tip from	 confidential informant 	 In 2008, federal officials received a tip from a confidential informant that Lee had sold the informant ecstasy and marijuana
tip	 criminal_triples/case_11.txt	 officials	 received tip from	 confidential informant 	 In 2008, federal officials received a tip from a confidential informant that Lee had sold the informant ecstasy and marijuana
confidential	 criminal_triples/case_11.txt	 officials	 received tip from	 confidential informant 	 In 2008, federal officials received a tip from a confidential informant that Lee had sold the informant ecstasy and marijuana
informant	 criminal_triples/case_11.txt	 officials	 received tip from	 confidential informant 	 In 2008, federal officials received a tip from a confidential informant that Lee had sold the informant ecstasy and marijuana
sold	 criminal_triples/case_11.txt	 Lee	 sold	 informant ecstasy 	 In 2008, federal officials received a tip from a confidential informant that Lee had sold the informant ecstasy and marijuana
federal	 criminal_triples/case_11.txt	 federal officials	 received tip In	 2008 	 In 2008, federal officials received a tip from a confidential informant that Lee had sold the informant ecstasy and marijuana
