,,,Subject,Relationship,Object,Original Sentence
alarming,alarming,criminal_triples/case_20.txt,law,creates,criminal prohibition of alarming breadth,"They stated that the law impermissibly ""creates a criminal prohibition of alarming breadth and extends well beyond the evils the State seeks to combat."
below,below,criminal_triples/case_11.txt,counsel 's representation,fell below,objective standard of reasonableness,"To demonstrate that counsel was constitutionally ineffective, a defendant must show that counsel's representation ""fell below an objective standard of reasonableness"" and that he was prejudiced as a result"
bias,bias,criminal_triples/case_13.txt,courts,give to,trial courts ' findings on questions of juror bias,"First, it ignores the deference that appellate courts must give to trial courts' findings on questions of juror bias"
challenges,challenges,criminal_triples/case_11.txt,Court 's standard,generate,volume of challenges to existing plea agreements,"For one thing, the Court's artificially cabined standard for prejudice in the plea context is likely to generate a high volume of challenges to existing and future plea agreements"
criticism,criticism,criminal_triples/case_18.txt,Judge Alcala,recounting,criticism of factors,"Judge Alcala questioned the legitimacy of the seven Briseno factors, recounting wide criticism of the factors and explaining how they deviate from the current medical consensus"
demanding,demanding,criminal_triples/case_20.txt,he,more demanding standard of,review,"Packingham responds that the challenged statute is ""unlike any law this Court has considered as a time, place, or manner restriction,"" Brief for Petitioner 37, and he advocates a more demanding standard of review, id., at 37-39"
difficult,difficult,criminal_triples/case_16.txt,it,is,difficult,"The Government claims that the ""corrupt state of mind"" requirement will cure any overbreadth problem, but it is difficult to imagine a scenario when that requirement will make a practical difference in the context of federal tax prosecutions"
difficulties,difficulties,criminal_triples/case_18.txt,Moore,had,difficulties beginning at age,The evidence revealed that Moore had significant mental and social difficulties beginning at an early age
difficulty,difficulty,criminal_triples/case_20.txt,there may have difficulty,is in,past,"While in the past there may have been difficulty in identifying the most important places (in a spatial sense) for the exchange of views, today the answer is clear"
explicit,explicit,criminal_triples/case_14.txt,petitioner Marcelo Manrique,possessing,depiction of minor engaging in sexually explicit conduct,"After federal agents found more than 300 files containing child pornography on his computer, petitioner Marcelo Manrique pleaded guilty to possessing a visual depiction of a minor engaging in sexually explicit conduct, in violation of 18 U. S. C. §§2252(a)(4)(B) and (b)(2)"
illness,illness,criminal_triples/case_17.txt,Mr. McWilliams,mimic,illness,"One of them, Dr. Kamal Nagi, wrote that ""Mr. McWilliams is grossly exaggerating his psychological symptoms to mimic mental illness."
invite,invite,criminal_triples/case_19.txt,petitioners,Indeed invite,Brief,"Indeed, petitioners invite us to measure the Colorado scheme against traditional practice, reminding us that our "" 'first due process cases' "" recognized that "" 'traditional practice provides a touchstone for constitutional analysis,' "" Brief for Petitioners 26 (quoting Honda Motor Co. v. Oberg, 512 U. S. 415, 430 (1994))"
leave,leave,criminal_triples/case_13.txt,it,permitted,leave,"Just before it permitted Gattie to leave, the court advised Tharpe's lawyers that it might ""totally discoun[t]"" Gattie's first affidavit, and it again invited them to ask Gattie questions about its contents"
