a	 criminal_triples/case_16.txt	 Internal Revenue Code	 of 7212 is	 a 	 A clause in §7212(a) of the Internal Revenue Code makes it a felony "corruptly or by force" to "endeavo[r] to obstruct or imped[e] the due administration of this title.
abilities	 criminal_triples/case_18.txt	 Moore	 of	 intellectual abilities 	 Addressing that question here, the CCA referred to Moore's education in "normal classrooms during his school career," his father's reactions to his academic challenges, and his sister's perceptions of Moore's intellectual abilities
ability	 criminal_triples/case_11.txt	 defendant	 has	 ability show 	 * In other words, the defendant's ability to show that he would have gone to trial is necessary, but not sufficient, to establish prejudice
abounds	 criminal_triples/case_16.txt	 redundancy	 better abounds in	 criminal law 	 For better or worse, redundancy abounds in both the criminal law and the Tax Code
about	 criminal_triples/case_11.txt	 Lee 's counsel	 giving	 advice about deportation consequences of plea 	 Applying our two-part test for ineffective assistance claims from Strickland v. Washington, 466 U. S. 668 (1984), the District Court concluded that Lee's counsel had performed deficiently by giving improper advice about the deportation consequences of the plea
above	 criminal_triples/case_15.txt	 only events	 is in	 above chronology 	 And the only events in the above chronology that occurred within that time frame are the dismissal of the charge against him and his release from custody
absence	 criminal_triples/case_11.txt	 evidence	 changed outcome in	 absence of counsel 's error 	 In particular, the "assessment" will primarily turn on "a prediction whether," in the absence of counsel's error, "the evidence" of the defendant's innocence or guilt "likely would have changed the outcome" of the proceeding
absent	 criminal_triples/case_11.txt	 hypothetical trial	 played out	 absent error 	 Rather than asking how a hypothetical trial would have played out absent the error, the Court considered whether there was an adequate showing that the defendant, properly advised, would have opted to go to trial
absolute	 criminal_triples/case_11.txt	 defendant	 show	 probability of result based on purely hypothetical plea offer subject to absolute executive discretion 	 [A] defendant has no right to be offered a plea," Missouri v. Frye, 566 U. S. 134, 148 (2012); Lafler v. Cooper, 566 U. S. 156, 168 (2012), and this Court has never concluded that a defendant could show a "reasonable probability" of a different result based on a purely hypothetical plea offer subject to absolute executive discretion
abstract	 criminal_triples/case_16.txt	 criminal statute	 of	 highly abstract general statutory language places 	 Regardless, to rely upon prosecutorial discretion to narrow the otherwise wide-ranging scope of a criminal statute's highly abstract general statutory language places great power in the hands of the prosecutor
abuser	 criminal_triples/case_20.txt	 factors	 make	 internet tool for child abuser 	 Several factors make the internet a powerful tool for the would-be child abuser
accept	 criminal_triples/case_11.txt	 Lee	 in	 decision accept 	 At an evidentiary hearing on Lee's motion, both Lee and his plea-stage counsel testified that "deportation was the determinative issue in Lee's decision whether to accept the plea.
accepted	 criminal_triples/case_11.txt	 Lee	 accepted	 plea 	 Based on that assurance, Lee accepted a plea and was sentenced to a year and a day in prison
accepting	 criminal_triples/case_11.txt	 he	 accepting	 plea 	 Lee seeks to vacate his conviction on the ground that, in accepting the plea, he received ineffective assistance of counsel in violation of the Sixth Amendment
accepts	 criminal_triples/case_11.txt	 defendant	 accepts	 Hill 	 It instead concludes that one standard applies when a defendant goes to trial (Strickland); another standard applies when a defendant accepts a plea (Hill); and yet another standard applies when counsel does not apprise the defendant of an available plea or when the defendant rejects a plea (Frye and Lafler)
access	 criminal_triples/case_17.txt	 State	 provide defendant with	 access 	 Ake v. Oklahoma, 470 U. S. 68, 83, clearly established that when an indigent "defendant demonstrates . . . that his sanity at the time of the offense is to be a significant fact at trial, the State must" provide the defendant with "access to a competent psychiatrist who will conduct an appropriate examination and assist in evaluation, preparation, and presentation of the defense.
accessing	 criminal_triples/case_20.txt	 it	 accessing	 enormous number of websites 	 §14-202.5 compels the conclusion that it prohibits sex offenders from accessing an enormous number of websites
accord	 criminal_triples/case_11.txt	 140	 at accord is	 U. S. 	 Hill, supra, at 57 (emphasis added); accord, Frye, 566, U. S., at 140 ("Hill established that claims of ineffective assistance of counsel in the plea bargain context are governed by the two-part test set forth in Strickland"); Lafler, 566 U. S., at 162-163 (applying Strickland)
