able	  criminal_triples/case_11.txt	  defendant	 will	 will rarely able	  And a defendant facing such long odds will rarely be able to show prejudice from accepting a guilty plea that offers him a better resolution than would be likely after trial
absolutely	  criminal_triples/case_14.txt	  District Court	 was	 absolutely required	  The Government agrees that the District Court was "absolutely" required to advise Manrique of his right to appeal the restitution order, and anticipates that the required advice "will prevent cases like this from arising again in the future.
academic	  criminal_triples/case_18.txt	  CCA	 history of	 academic failure	  Among alternative causes for Moore's adaptive deficits, the CCA suggested, were an abuse-filled childhood, undiagnosed learning disorders, multiple elementary-school transfers, racially motivated harassment and violence at school, and a history of academic failure, drug abuse, and absenteeism
accuracy	  criminal_triples/case_15.txt	  accuracy	 depends on	 meaning of legal process	  The Court reads Albright v. Oliver, 510 U. S. 266 (1994), and Gerstein v. Pugh, 420 U. S. 103 (1975), to mean that the Fourth Amendment can be violated "when legal process itself goes wrong," ante, at 9, but the accuracy of that interpretation depends on the meaning of "legal process.
accurate	  criminal_triples/case_17.txt	  Dr. Woods 's diagnosis	 was	 even accurate	  And even if Dr. Woods's diagnosis was accurate, the court stated, it "[would] not find that a failure to present" evidence of this sort "made a difference in the outcome.
accurately	  criminal_triples/case_18.txt	  SEM-generated range	 accurately reflected	 prisoner 's IQ .1 in its catalog	  Hall provided no definitive guidance on this sort of approach: recognizing the inherent imprecision of IQ tests, but considering additional evidence to determine whether an SEM-generated range of scores accurately reflected a prisoner's actual IQ.1 Indeed, in its catalog of States that "ha[d] taken a position contrary to that of Florida," the Court in Hall included a State that granted trial courts discretion to draw "reasonable inferences" about IQ scores and, where appropriate, decline to consider the full range of the SEM
adequately	  criminal_triples/case_11.txt	  Lee	 adequately demonstrated	 probability	  In the unusual circumstances of this case, we conclude that Lee has adequately demonstrated a reasonable probability that he would have rejected the plea had he known that it would lead to mandatory deportation
advances	  criminal_triples/case_20.txt	  Internet media	 will	 Like other inventions heralded as advances will exploited	  Like other inventions heralded as advances in human progress, the Internet and social media will be exploited by the criminal mind
advantage	  criminal_triples/case_16.txt	  someone	 obtain	 advantage	  Yet, practically speaking, we struggle to imagine a scenario where a taxpayer would "willfully" violate the Tax Code (the mens rea requirement of various tax crimes, including misdemeanors, see, e.g., 26 U. S. C. §§7203, 7204, 7207) without intending someone to obtain an unlawful advantage
affirm	  criminal_triples/case_11.txt	  I	 would affirm	 Court	  I would therefore affirm the Court of Appeals on the ground that the Sixth Amendment does not apply to the allegedly ineffective assistance in this case
